# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/mpox-otoole-2023.fasta <DASH-DASH>v0-steps 200000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/mpox-otoole-2023.log <DASH-DASH>v0-log-every 10000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/mpox-otoole-2023.trees <DASH-DASH>v0-tree-every 100000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/mpox-otoole-2023.dphy <DASH-DASH>v0-delphy-snapshot-every 100000 <DASH-DASH>v0-mpox-hack
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	apobec3.clock.rate	non_apobec3.clock.rate	age(OP415257|9000312|UK|2022-08)	age(MK783032|3030|Nigeria_Rivers_State|2017-11)	age(NC_063383|MPXV-M5312_HM12_Rivers|Nigeria_Rivers_State|2018-08)	treeLikelihood_really_logG	branchRates	coalescent	
0	464	-234508	43825.2	-278333	5.64691	2017	44.5963	3	0	1	0.359355	0.158973	0.159095	0.322577	0	0.001	0	4.78442	3.99749	-278333	0.0	-103.066	
10000	457	-226818	43824.7	-270642	5.82233	2016.78	46.8033	8.43669	0.2228	1	0.359355	0.158973	0.159095	0.322577	0.000157474	1.03424e-05	0	4.69534	3.98947	-270642	0.0	-102.497	
20000	441	-226586	43820.5	-270407	5.88844	2016.76	48.3397	7.13092	0.128289	1	0.359355	0.158973	0.159095	0.322577	0.00016559	9.70192e-06	0	4.76829	4.00328	-270407	0.0	-106.822	
30000	433	-226463	43823.5	-270286	5.98061	2016.61	48.6782	23.2447	0.449651	1	0.359355	0.158973	0.159095	0.322577	0.000162195	1.1327e-05	0	4.73939	3.99445	-270286	0.0	-102.669	
40000	427	-226361	43821.5	-270182	6.06168	2016.59	47.6839	75.5752	0.563209	1	0.359355	0.158973	0.159095	0.322577	0.000163305	9.80544e-06	0	4.74391	3.99122	-270182	0.0	-103.48	
50000	423	-226303	43821.3	-270124	5.99397	2016.59	49.585	93.5078	0.793007	1	0.359355	0.158973	0.159095	0.322577	0.000143328	7.23621e-06	0	4.68571	3.94234	-270124	0.0	-103.432	
60000	415	-226187	43820.7	-270007	6.01432	2016.59	50.1853	138.863	0.770541	1	0.359355	0.158973	0.159095	0.322577	0.000145917	9.13561e-06	0	4.7157	4.001	-270007	0.0	-103.602	
70000	413	-226168	43815.6	-269984	6.16584	2016.49	51.2839	629.063	1.15598	1	0.359355	0.158973	0.159095	0.322577	0.000147291	8.79394e-06	0	4.74478	4.02739	-269984	0.0	-107.246	
80000	411	-226124	43819.3	-269943	6.48477	2016.17	50.9276	279.836	0.966717	1	0.359355	0.158973	0.159095	0.322577	0.000142458	8.52836e-06	0	4.81999	4.04296	-269943	0.0	-104.31	
90000	408	-226074	43824	-269898	6.19823	2016.4	50.4434	77.7272	0.705012	1	0.359355	0.158973	0.159095	0.322577	0.000132264	9.10967e-06	0	4.7327	4.00546	-269898	0.0	-100.927	
100000	405	-226027	43819.5	-269847	6.4616	2016.19	51.2534	126.715	0.75422	1	0.359355	0.158973	0.159095	0.322577	0.000133186	7.48951e-06	0	4.77449	3.98678	-269847	0.0	-104.97	
110000	389	-225748	43825.9	-269574	6.52008	2016.09	47.6177	128.518	0.788134	1	0.359355	0.158973	0.159095	0.322577	0.000136459	8.72681e-06	0	4.7199	4.00431	-269574	0.0	-98.5136	
120000	388	-225748	43824.1	-269572	6.66962	2015.95	49.7172	37.7091	0.562226	1	0.359355	0.158973	0.159095	0.322577	0.000125814	7.5049e-06	0	4.7214	4.03143	-269572	0.0	-101.523	
130000	387	-225716	43827.2	-269544	6.47296	2016.19	47.7702	34.9921	0.464165	1	0.359355	0.158973	0.159095	0.322577	0.000127102	7.93127e-06	0	4.76468	4.07005	-269544	0.0	-98.5282	
140000	381	-225637	43822.7	-269460	6.12162	2016.54	49.8716	71.8943	0.614825	1	0.359355	0.158973	0.159095	0.322577	0.000134652	5.61983e-06	0	4.76295	4.04804	-269460	0.0	-102.308	
150000	380	-225608	43825.9	-269434	6.36854	2016.3	48.4009	55.8946	0.648276	1	0.359355	0.158973	0.159095	0.322577	0.000143772	7.31089e-06	0	4.77394	4.05674	-269434	0.0	-99.4013	
160000	378	-225555	43828.4	-269384	6.25027	2016.38	46.6644	62.9313	0.660866	1	0.359355	0.158973	0.159095	0.322577	0.000148364	5.04311e-06	0	4.77814	3.9683	-269384	0.0	-96.7407	
170000	378	-225565	43825.1	-269390	6.13171	2016.51	47.5568	46.8866	0.663799	1	0.359355	0.158973	0.159095	0.322577	0.00014676	5.61717e-06	0	4.75629	4.02766	-269390	0.0	-100.349	
180000	378	-225582	43823.7	-269406	6.22312	2016.39	49.6976	87.3196	0.743934	1	0.359355	0.158973	0.159095	0.322577	0.000142927	6.14699e-06	0	4.72286	3.96668	-269406	0.0	-101.109	
190000	378	-225573	43826.1	-269399	6.1313	2016.5	48.8569	23.6535	0.394591	1	0.359355	0.158973	0.159095	0.322577	0.000137482	6.63251e-06	0	4.79733	3.97624	-269399	0.0	-100.068	
200000	378	-225553	43826.9	-269380	6.19225	2016.47	46.4325	52.7391	0.52994	1	0.359355	0.158973	0.159095	0.322577	0.000145235	6.01144e-06	0	4.78436	4.03811	-269380	0.0	-98.4452	
210000	376	-225513	43829.6	-269343	6.21762	2016.41	45.8921	26.8252	0.498681	1	0.359355	0.158973	0.159095	0.322577	0.000144838	7.37451e-06	0	4.73192	4.03141	-269343	0.0	-96.3932	
220000	376	-225509	43829.7	-269339	6.07774	2016.57	45.3583	20.1248	0.360202	1	0.359355	0.158973	0.159095	0.322577	0.000137744	6.61628e-06	0	4.79415	4.06493	-269339	0.0	-96.5676	
230000	376	-225509	43832.1	-269341	6.21536	2016.41	45.63	21.9362	0.439164	1	0.359355	0.158973	0.159095	0.322577	0.000147511	7.74435e-06	0	4.71184	4.00236	-269341	0.0	-94.1304	
240000	373	-225479	43827.7	-269307	6.04924	2016.61	47.2172	54.2589	0.638305	1	0.359355	0.158973	0.159095	0.322577	0.000133695	6.56804e-06	0	4.79458	4.04531	-269307	0.0	-97.6379	
250000	372	-225466	43828	-269294	6.25205	2016.39	47.3896	52.9093	0.626077	1	0.359355	0.158973	0.159095	0.322577	0.000133334	6.65493e-06	0	4.73271	3.98827	-269294	0.0	-97.3226	
260000	372	-225437	43830.8	-269267	5.99812	2016.6	44.1941	30.0041	0.575026	1	0.359355	0.158973	0.159095	0.322577	0.000146389	6.82661e-06	0	4.75637	3.94846	-269267	0.0	-95.0541	
