item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    394.1768 0.320726 2.016893 394      391      398      17703672 39.54546 394.1716
posterior_for_Delphy       -8469.84 3.049747 62.92091 -8467.61 -8589.8  -8344.29 1644741. 425.6594 NaN     
prior_for_Delphy           -996.764 1.216775 21.75701 -996.998 -1039.84 -955.099 2189686. 319.7261 NaN     
likelihood_really_logG     -7473.07 2.077543 44.64142 -7470.34 -7565.48 -7390.18 1516295. 461.7172 NaN     
rootHeight                 6.217899 0.024649 0.702375 6.11678  5.03057  7.6286   862223.9 811.9700 6.17993 
age(root)                  1997.764 0.024626 0.701924 1997.87  1996.36  1998.95  861711.8 812.4525 1997.764
treeLength                 67.97537 0.381195 7.007296 67.4396  54.7198  81.5332  2071831. 337.9135 67.62066
skygrid.isloglinear        0        0        0        0        0        0        NaN      NaN      NaN     
skygrid.precision          5.09935  NaN      NaN      5.09935  5.09935  5.09935  100000   7001     5.09935 
skygrid.logPopSize1        1.623225 0.009137 0.481221 1.60261  0.723128 2.6026   252403.4 2773.733 1.545249
skygrid.logPopSize2        1.504779 0.009342 0.410877 1.48618  0.699854 2.31589  361934.6 1934.327 1.444989
skygrid.logPopSize3        1.097044 0.01114  0.433275 1.08308  0.283509 1.97719  462797.0 1512.758 NaN     
skygrid.logPopSize4        0.711243 0.011694 0.46043  0.710116 -0.19148 1.59501  451603.9 1550.252 NaN     
skygrid.logPopSize5        0.432671 0.009959 0.464661 0.4264   -0.46079 1.3387   321633.6 2176.699 NaN     
skygrid.logPopSize6        0.365167 0.007503 0.463919 0.354683 -0.52904 1.27321  183109.4 3823.395 NaN     
skygrid.logPopSize7        0.544424 0.006233 0.445502 0.537565 -0.33993 1.38407  137023.1 5109.356 NaN     
skygrid.logPopSize8        0.935878 0.006132 0.422636 0.932124 0.095085 1.74787  147384.6 4750.156 NaN     
skygrid.logPopSize9        1.274319 0.006812 0.430766 1.26243  0.425372 2.10223  175072.4 3998.916 NaN     
skygrid.logPopSize10       1.378043 0.008743 0.453922 1.36256  0.530165 2.30181  259703.8 2695.762 NaN     
skygrid.logPopSize11       1.332044 0.009527 0.484332 1.32442  0.37163  2.26608  270902.5 2584.324 NaN     
skygrid.logPopSize12       1.34489  0.007669 0.49541  1.32795  0.388797 2.32118  167748.2 4173.515 NaN     
skygrid.logPopSize13       1.465158 0.00808  0.528489 1.45207  0.446887 2.52517  163646.1 4278.133 NaN     
skygrid.logPopSize14       1.651339 0.008998 0.564593 1.6349   0.530558 2.76328  177815.7 3937.222 NaN     
skygrid.logPopSize15       1.886949 0.009503 0.592624 1.86838  0.750969 3.04977  180037.0 3888.643 NaN     
skygrid.logPopSize16       2.145733 0.009872 0.600948 2.1413   1.06564  3.40452  188920.7 3705.786 NaN     
skygrid.logPopSize17       2.416112 0.009961 0.575253 2.40528  1.35348  3.55466  209929.6 3334.926 2.342927
skygrid.logPopSize18       2.687748 0.009604 0.515361 2.68748  1.67121  3.66603  243128.7 2879.544 2.636287
skygrid.logPopSize19       2.964682 0.010014 0.409906 2.95711  2.17576  3.75117  417827.4 1675.572 2.935987
skygrid.logPopSize20       2.724469 0.014027 0.41714  2.72042  1.91218  3.55004  791625.0 884.3833 2.692028
skygrid.logPopSize21       1.843716 0.026187 0.531303 1.84332  0.772891 2.81412  1700815. 411.6260 NaN     
skygrid.logPopSize22       1.073391 0.020464 0.499698 1.04774  0.122905 2.0518   1174150. 596.2607 NaN     
skygrid.logPopSize23       0.701502 0.013178 0.435457 0.691952 -0.13649 1.56071  641148.8 1091.946 NaN     
