item                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                              667.1574 0.114373 1.271485 667      665      669      11328859 123.5870 667.1562
posterior_for_Delphy                 -16149.7 350.9550 19361.27 -17694.4 -51187.5 23357.1  460038.2 3043.442 NaN     
prior_for_Delphy                     33085.01 349.6697 19291.65 31540    -1832.42 72475.7  459977.0 3043.847 NaN     
likelihood_really_logG               -49234.7 2.087864 81.76878 -49234.4 -49389.5 -49071.1 912826.4 1533.807 NaN     
rootHeight                           0.423123 0.000702 0.028791 0.421546 0.368702 0.477983 833339.8 1680.106 0.422161
age(root)                            2019.929 0.000705 0.029028 2019.93  2019.88  2019.99  825182.6 1696.715 2019.929
treeLength                           22.3497  0.061608 1.045085 22.3177  20.3609  24.3431  4865510. 287.7601 22.32532
exponential.popSize                  6.448859 0.036255 1.20197  6.33227  4.33073  8.88267  1273846. 1099.111 6.340278
exponential.growthRate               11.87819 0.041899 1.442044 11.8409  9.11361  14.7425  1181951. 1184.566 11.78986
kappa                                5.300884 0.003934 0.457094 5.27908  4.41974  6.21098  103704.5 13500.85 5.281337
frequencies1                         0.296114 2.71E-5  0.002608 0.296097 0.290953 0.301172 150677.3 9292.042 0.296102
frequencies2                         0.181602 2.23E-5  0.002207 0.18164  0.177117 0.185699 142458.9 9828.093 0.181589
frequencies3                         0.193116 2.33E-5  0.00226  0.193112 0.188585 0.197452 148513.3 9427.437 0.193103
frequencies4                         0.329168 2.85E-5  0.002702 0.329161 0.324134 0.33479  155700.8 8992.244 0.329157
alpha                                0.185396 0.000584 0.031356 0.181921 0.127809 0.247416 486333.2 2878.890 0.18285 
clock.rate                           0.001005 2.68E-6  6.23E-5  0.001004 0.000883 0.001126 2593805. 539.7860 0.001003
meanRate                             0.001005 2.68E-6  6.23E-5  0.001004 0.000883 0.001126 2593805. 539.7860 0.001003
age(NC_045512.2|NC_045512.2|2019-12) 0.388956 0.000402 0.023306 0.386068 0.353445 0.431008 415973.6 3365.838 0.388266
treeLikelihood_really_logG           -49234.7 2.087864 81.76878 -49234.4 -49389.5 -49071.1 912826.4 1533.807 NaN     
branchRates                          0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                           -1109.19 3.720039 63.13592 -1108.74 -1232.05 -990.925 4860724. 288.0434 NaN     
