replicate	mu	alpha	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.8430813124108416	0.17261055634807418	1.0	1.0	0.9514978601997147	0.07560627674750357	0.3166904422253923	0.8459343794579173	0.7574893009985735	0.23680456490727533
sim_001	0.6747503566333809	0.3252496433666191	0.3666191155492154	0.651925820256776	0.4579172610556348	0.5221112696148359	0.9957203994293866	0.008559201141226819	0.5035663338088445	0.3152639087018545
sim_004	0.9158345221112696	0.9258202567760342	0.19686162624821682	0.11982881597717546	0.39229671897289586	0.7860199714693296	0.05563480741797432	0.5634807417974322	0.49072753209700426	0.05420827389443652
sim_006	0.1783166904422254	0.0042796005706134095	0.3166904422253923	0.11982881597717546	0.41797432239657634	0.7118402282453637	0.03138373751783167	0.7988587731811697	0.6433666191155493	0.9614835948644793
sim_010	0.6733238231098431	0.8958630527817404	0.26676176890156916	0.03566333808844508	0.3252496433666191	0.6533523537803139	0.5320970042796006	0.7703281027104137	0.2396576319543509	0.8644793152639088
sim_011	0.992867332382311	0.5606276747503567	0.6333808844507846	0.992867332382311	0.9543509272467903	0.717546362339515	0.5392296718972895	0.028530670470756064	0.7646219686162625	0.11982881597717546
sim_012	0.09415121255349501	0.20827389443651925	0.6804564907275321	0.4222539229671897	0.10413694721825963	0.19115549215406563	0.7261055634807418	0.4051355206847361	0.7546362339514978	0.7360912981455064
sim_014	0.5520684736091298	0.4136947218259629	0.26961483594864477	0.19543509272467904	0.3594864479315264	0.7631954350927247	0.7132667617689016	0.03566333808844508	0.2396576319543509	0.11697574893009986
sim_015	0.4764621968616263	0.5620542082738944	0.536376604850214	0.3666191155492154	0.8302425106990015	0.8502139800285307	0.275320970042796	0.9315263908701854	0.12268188302425106	0.1840228245363766
sim_017	0.6291012838801712	0.9686162624821684	0.2225392296718973	0.369472182596291	0.005706134094151213	0.6162624821683309	0.9015691868758916	0.02282453637660485	0.9101283880171184	0.20684736091298145
sim_018	0.44650499286733236	0.3880171184022825	0.854493580599144	0.9300998573466477	0.12410841654778887	0.9343794579172611	0.6490727532097005	0.3637660485021398	0.1797432239657632	0.4222539229671897
sim_019	0.644793152639087	0.9472182596291013	0.5492154065620543	0.20542082738944364	0.8530670470756063	0.7617689015691869	0.5663338088445078	0.2724679029957204	0.25962910128388017	0.5263908701854494
sim_020	0.7417974322396577	0.884450784593438	0.6533523537803139	0.7403708987161198	0.6875891583452212	0.7446504992867332	0.8345221112696148	0.7617689015691869	0.09700427960057062	0.2582025677603424
sim_022	0.4793152639087018	0.7717546362339515	0.6005706134094151	0.24964336661911554	0.717546362339515	0.181169757489301	0.06276747503566334	0.34950071326676174	0.9900142653352354	0.7988587731811697
sim_023	0.7432239657631954	0.651925820256776	0.3252496433666191	0.07703281027104136	0.4593437945791726	0.3437945791726106	0.42510699001426533	0.9172610556348074	0.37660485021398005	0.5007132667617689
sim_024	0.09985734664764621	0.8002853067047075	0.8373751783166904	0.5306704707560628	0.905848787446505	0.2724679029957204	0.738944365192582	0.43794579172610554	0.5649072753209701	0.7717546362339515
sim_025	0.025677603423680456	0.7489300998573466	0.8830242510699001	0.5620542082738944	0.44935805991440797	0.024251069900142655	0.362339514978602	1.0	0.16975748930099857	0.948644793152639
sim_026	0.572039942938659	0.12125534950071326	0.18972895863052783	0.4122681883024251	0.37660485021398005	0.7018544935805991	0.42938659058487877	0.5677603423680456	0.03138373751783167	0.5392296718972895
sim_028	0.6704707560627675	0.9900142653352354	0.6647646219686163	0.8459343794579173	0.10841654778887304	0.42082738944365194	0.8359486447931527	0.7631954350927247	0.08559201141226819	0.24108416547788872
sim_032	0.7931526390870185	0.4136947218259629	0.5106990014265336	0.81169757489301	0.7047075606276747	0.14407988587731813	0.5848787446504993	0.9101283880171184	0.6119828815977175	0.14265335235378032
sim_033	0.7988587731811697	0.06276747503566334	0.008559201141226819	0.19971469329529243	0.6433666191155493	0.6162624821683309	0.19400855920114124	0.9144079885877318	0.3238231098430813	0.630527817403709
sim_035	0.8245363766048502	0.3223965763195435	0.47503566333808844	0.5206847360912982	0.9443651925820257	0.23109843081312412	0.0042796005706134095	0.8944365192582026	0.912981455064194	0.2738944365192582
sim_036	0.10841654778887304	0.3880171184022825	0.7161198288159771	0.5092724679029957	0.9514978601997147	0.3309557774607703	0.9115549215406562	0.4165477888730385	0.19543509272467904	0.09843081312410841
sim_037	0.5748930099857347	0.7489300998573466	0.32667617689015693	0.15549215406562053	0.6262482168330956	0.8987161198288159	0.2253922967189729	0.2867332382310984	0.43794579172610554	0.8074179743223966
sim_040	0.10128388017118402	0.7917261055634808	0.6961483594864479	0.5777460770328102	0.014265335235378032	0.44079885877318115	0.4992867332382311	0.9400855920114123	0.14550641940085593	0.3566333808844508
sim_041	0.8074179743223966	0.2653352353780314	0.5335235378031383	0.46504992867332384	0.5962910128388017	0.289586305278174	0.8402282453637661	0.6191155492154066	0.4165477888730385	0.6619115549215406
sim_042	0.1383737517831669	0.8402282453637661	0.03281027104136947	0.07417974322396577	0.4607703281027104	0.07845934379457917	0.884450784593438	0.7788873038516405	0.25106990014265335	0.2282453637660485
sim_043	0.25392296718972895	0.9315263908701854	0.8701854493580599	0.8388017118402282	0.31383737517831667	0.2796005706134094	0.9472182596291013	0.5349500713266762	0.5007132667617689	0.9814550641940085
sim_044	0.21112696148359486	0.905848787446505	0.912981455064194	0.6333808844507846	0.8815977175463623	0.0	0.7503566333808844	0.23109843081312412	0.9686162624821684	0.6776034236804565
sim_045	0.12838801711840228	0.2239657631954351	0.637660485021398	0.6319543509272468	0.7303851640513552	0.052781740370898715	0.7346647646219686	0.8716119828815977	0.07988587731811697	0.7574893009985735
sim_047	0.39942938659058486	0.35235378031383735	0.8687589158345221	0.68188302425107	0.2810271041369472	0.8345221112696148	0.5349500713266762	0.2710413694721826	0.25962910128388017	0.0028530670470756064
sim_049	0.1383737517831669	0.6904422253922967	0.6562054208273894	0.644793152639087	0.6419400855920114	0.7703281027104137	0.5406562054208274	0.579172610556348	0.10841654778887304	0.4950071326676177
sim_050	0.8730385164051355	0.884450784593438	0.14693295292439373	0.42510699001426533	0.6804564907275321	0.07275320970042796	0.9529243937232525	0.5206847360912982	0.47360912981455067	0.41512125534950073
sim_051	0.6248216833095578	0.48216833095577744	0.5763195435092725	0.21540656205420827	0.37660485021398005	0.5449358059914408	0.4764621968616263	0.7075606276747504	0.24393723252496433	0.7004279600570613
sim_052	0.23252496433666192	0.26676176890156916	0.9529243937232525	0.6875891583452212	0.8416547788873039	0.8231098430813124	0.37375178316690444	0.3124108416547789	0.2724679029957204	0.052781740370898715
sim_053	0.7275320970042796	0.985734664764622	0.12838801711840228	0.03281027104136947	0.034236804564907276	0.3880171184022825	0.19971469329529243	0.7746077032810271	0.4108416547788873	0.6405135520684736
sim_054	0.3537803138373752	0.9443651925820257	0.579172610556348	0.6875891583452212	0.6690442225392297	0.9714693295292439	0.0014265335235378032	0.3980028530670471	0.2796005706134094	0.5948644793152639
sim_055	0.7617689015691869	0.8174037089871612	0.9757489300998573	0.9743223965763196	0.16833095577746077	0.6077032810271041	0.16975748930099857	0.4793152639087018	0.8174037089871612	0.17261055634807418
sim_057	0.5734664764621968	0.34807417974322397	0.5848787446504993	0.33808844507845937	0.8601997146932953	0.7018544935805991	0.26390870185449355	0.5263908701854494	0.6348074179743224	0.5734664764621968
sim_058	0.8259629101283881	0.6276747503566333	0.9500713266761769	0.9514978601997147	0.11554921540656206	0.3680456490727532	0.8017118402282454	0.9600570613409415	0.028530670470756064	0.2838801711840228
sim_059	0.4165477888730385	0.16547788873038516	0.5463623395149786	0.7574893009985735	0.6704707560627675	0.7831669044222539	0.48787446504992865	0.268188302425107	0.4222539229671897	0.33523537803138376
sim_060	0.02710413694721826	0.9029957203994294	0.7104136947218259	0.29814550641940085	0.6847360912981455	0.9229671897289586	0.7945791726105563	0.8987161198288159	0.007132667617689016	0.42796005706134094
sim_061	0.6148359486447932	0.7061340941512125	0.7660485021398002	0.4864479315263909	0.4194008559201141	0.2553495007132668	0.9029957203994294	0.23252496433666192	0.6704707560627675	0.4051355206847361
sim_062	0.7560627674750356	0.9386590584878745	0.4536376604850214	0.02710413694721826	0.4051355206847361	0.6932952924393724	0.39942938659058486	0.0898716119828816	0.7075606276747504	0.30099857346647646
sim_063	0.9072753209700428	0.034236804564907276	0.2781740370898716	0.4479315263908702	0.11269614835948645	0.6947218259629101	0.6576319543509273	0.5606276747503567	0.12268188302425106	0.14550641940085593
sim_064	0.5449358059914408	0.16690442225392296	0.12553495007132667	0.33951497860199714	0.1326676176890157	0.2396576319543509	0.23680456490727533	0.9158345221112696	0.5420827389443652	0.5021398002853067
sim_065	0.5763195435092725	0.1383737517831669	0.4978601997146933	0.7189728958630528	0.5905848787446505	0.4165477888730385	0.9001426533523538	0.6276747503566333	0.15691868758915833	0.2838801711840228
sim_067	0.7888730385164051	0.5563480741797432	0.30813124108416545	0.7888730385164051	0.7403708987161198	0.29529243937232524	0.9358059914407989	0.4507845934379458	0.181169757489301	0.6833095577746077
sim_068	0.5592011412268189	0.1383737517831669	0.21398002853067047	0.11269614835948645	0.8445078459343794	0.3124108416547789	0.4864479315263909	0.24679029957203993	0.7289586305278174	0.8159771754636234
sim_069	0.268188302425107	0.9914407988587732	0.7689015691868759	0.5306704707560628	0.024251069900142655	0.978601997146933	0.34950071326676174	0.5606276747503567	0.14407988587731813	0.6205420827389444
sim_071	0.9358059914407989	0.15549215406562053	0.37089871611982883	0.7303851640513552	0.7232524964336662	0.14265335235378032	0.9072753209700428	0.1797432239657632	0.4522111269614836	0.09272467902995721
sim_072	0.5335235378031383	0.6904422253922967	0.5834522111269614	0.48502139800285304	0.21683309557774608	0.9072753209700428	0.39229671897289586	0.46790299572039945	0.42796005706134094	0.9743223965763196
sim_073	0.10128388017118402	0.68188302425107	0.47788873038516405	0.11126961483594865	0.14122681883024252	0.6019971469329529	0.9372325249643366	0.0014265335235378032	0.5691868758915835	0.9044222539229672
sim_075	0.47218259629101283	0.29814550641940085	0.48359486447931527	0.3309557774607703	0.07845934379457917	0.08416547788873038	0.4479315263908702	0.8516405135520685	0.1825962910128388	0.39514978601997147
sim_076	0.47503566333808844	0.8145506419400856	0.5278174037089871	0.7674750356633381	0.738944365192582	0.8815977175463623	0.2396576319543509	0.3637660485021398	0.5820256776034237	0.31098430813124106
sim_077	0.9828815977175464	0.30527817403708984	0.8059914407988588	0.9258202567760342	0.181169757489301	0.9072753209700428	0.0456490727532097	0.6105563480741797	0.8345221112696148	0.005706134094151213
sim_079	0.1825962910128388	0.16833095577746077	0.37089871611982883	0.11269614835948645	0.8416547788873039	0.43081312410841655	0.42510699001426533	0.8616262482168331	0.10556348074179743	0.5335235378031383
sim_080	0.9800285306704708	0.14407988587731813	0.4522111269614836	0.4607703281027104	0.6932952924393724	0.2239657631954351	0.19258202567760344	0.11982881597717546	0.9871611982881597	0.26676176890156916
sim_081	0.5121255349500713	0.46504992867332384	0.340941512125535	0.2296718972895863	0.62339514978602	0.9029957203994294	0.30813124108416545	0.4008559201141227	0.442225392296719	0.5592011412268189
sim_082	0.08701854493580599	0.6419400855920114	0.9828815977175464	0.9543509272467903	0.7232524964336662	0.7061340941512125	0.0912981455064194	0.5249643366619116	0.6718972895863052	0.8088445078459344
sim_083	0.6875891583452212	0.7018544935805991	0.5820256776034237	0.62339514978602	0.369472182596291	0.0042796005706134095	0.6419400855920114	0.8587731811697575	0.7902995720399429	0.2553495007132668
sim_084	0.1312410841654779	0.33523537803138376	0.543509272467903	0.38516405135520687	0.025677603423680456	0.7902995720399429	0.16547788873038516	0.15263908701854492	0.572039942938659	0.9743223965763196
sim_086	0.28245363766048504	0.8145506419400856	0.21540656205420827	0.1398002853067047	0.4978601997146933	0.2553495007132668	0.9443651925820257	0.16262482168330955	0.7475035663338089	0.43509272467902993
