Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.8881118881118881	143	0.950	0.9090909090909091	0.9790209790209791
alpha	0.965034965034965	143	0.950	0.9090909090909091	0.9790209790209791
n0	0.9230769230769231	143	0.950	0.9090909090909091	0.9790209790209791
g	0.965034965034965	143	0.950	0.9090909090909091	0.9790209790209791
kappa	0.9440559440559441	143	0.950	0.9090909090909091	0.9790209790209791
pi_A	0.965034965034965	143	0.950	0.9090909090909091	0.9790209790209791
pi_C	0.9370629370629371	143	0.950	0.9090909090909091	0.9790209790209791
pi_G	0.916083916083916	143	0.950	0.9090909090909091	0.9790209790209791
pi_T	0.9300699300699301	143	0.950	0.9090909090909091	0.9790209790209791
rootHeight	0.9230769230769231	143	0.950	0.9090909090909091	0.9790209790209791
