replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	1425	19	0.013333	142	4	0.028169	107	11	0.102804	53	7	0.132075	37	6	0.162162	27	7	0.259259	16	8	0.500000	9	5	0.555556	9	6	0.666667	10	5	0.500000	6	5	0.833333	11	8	0.727273	5	2	0.400000	3	2	0.666667	2	1	0.500000	5	2	0.400000	5	4	0.800000	4	4	1.000000	1	1	1.000000	91	91	1.000000
sim_001	74	1	0.013514	51	4	0.078431	75	9	0.120000	47	7	0.148936	35	10	0.285714	22	5	0.227273	16	6	0.375000	13	3	0.230769	8	3	0.375000	8	2	0.250000	3	2	0.666667	3	2	0.666667	2	2	1.000000	1	1	1.000000	0	0	NaN	1	1	1.000000	4	4	1.000000	3	3	1.000000	1	1	1.000000	132	132	1.000000
sim_004	372	4	0.010753	102	12	0.117647	97	8	0.082474	65	7	0.107692	43	12	0.279070	23	6	0.260870	17	6	0.352941	14	4	0.285714	12	4	0.333333	7	4	0.571429	8	5	0.625000	3	2	0.666667	3	2	0.666667	4	3	0.750000	2	2	1.000000	2	2	1.000000	1	1	1.000000	2	2	1.000000	2	2	1.000000	110	110	1.000000
sim_006	218	3	0.013761	84	4	0.047619	55	5	0.090909	58	9	0.155172	29	9	0.310345	23	12	0.521739	16	3	0.187500	14	4	0.285714	10	3	0.300000	6	5	0.833333	3	0	0.000000	5	3	0.600000	6	5	0.833333	2	1	0.500000	3	2	0.666667	3	3	1.000000	2	2	1.000000	3	2	0.666667	1	1	1.000000	122	122	1.000000
sim_010	48856	118	0.002415	224	14	0.062500	71	10	0.140845	25	3	0.120000	17	3	0.176471	11	4	0.363636	9	3	0.333333	7	3	0.428571	3	1	0.333333	3	1	0.333333	5	3	0.600000	2	1	0.500000	1	1	1.000000	2	2	1.000000	1	1	1.000000	4	1	0.250000	5	3	0.600000	3	3	1.000000	1	1	1.000000	23	22	0.956522
sim_011	7152	33	0.004614	187	13	0.069519	81	6	0.074074	64	7	0.109375	38	15	0.394737	25	5	0.200000	13	6	0.461538	14	5	0.357143	7	4	0.571429	9	4	0.444444	3	1	0.333333	4	2	0.500000	4	3	0.750000	4	3	0.750000	0	0	NaN	5	5	1.000000	2	1	0.500000	2	2	1.000000	3	3	1.000000	80	80	1.000000
sim_012	59887	144	0.002405	254	7	0.027559	75	12	0.160000	26	5	0.192308	19	6	0.315789	13	5	0.384615	6	1	0.166667	5	1	0.200000	1	0	0.000000	4	2	0.500000	3	2	0.666667	2	0	0.000000	0	0	NaN	1	0	0.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	2	2	1.000000	0	0	NaN	8	8	1.000000
sim_014	88	0	0.000000	20	0	0.000000	26	5	0.192308	16	3	0.187500	26	9	0.346154	19	5	0.263158	14	3	0.214286	13	5	0.384615	9	2	0.222222	10	6	0.600000	2	0	0.000000	1	1	1.000000	2	1	0.500000	3	2	0.666667	1	1	1.000000	3	2	0.666667	1	1	1.000000	0	0	NaN	2	2	1.000000	150	150	1.000000
sim_015	269	4	0.014870	93	7	0.075269	68	7	0.102941	42	7	0.166667	34	8	0.235294	19	4	0.210526	19	9	0.473684	8	3	0.375000	8	2	0.250000	9	4	0.444444	3	2	0.666667	5	1	0.200000	7	6	0.857143	4	4	1.000000	2	1	0.500000	2	2	1.000000	0	0	NaN	0	0	NaN	1	1	1.000000	126	126	1.000000
sim_017	56679	140	0.002470	297	19	0.063973	72	8	0.111111	37	6	0.162162	12	4	0.333333	14	4	0.285714	4	2	0.500000	0	0	NaN	1	0	0.000000	2	0	0.000000	2	1	0.500000	1	0	0.000000	1	1	1.000000	0	0	NaN	1	1	1.000000	1	1	1.000000	3	2	0.666667	3	3	1.000000	1	1	1.000000	5	5	1.000000
sim_018	127	3	0.023622	60	6	0.100000	38	4	0.105263	28	5	0.178571	25	5	0.200000	14	2	0.142857	15	5	0.333333	7	3	0.428571	6	2	0.333333	4	1	0.250000	6	4	0.666667	1	1	1.000000	2	1	0.500000	1	1	1.000000	0	0	NaN	1	1	1.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	151	151	1.000000
sim_019	165	2	0.012121	48	8	0.166667	31	4	0.129032	23	3	0.130435	16	4	0.250000	19	4	0.210526	11	1	0.090909	14	6	0.428571	5	1	0.200000	6	3	0.500000	2	1	0.500000	2	1	0.500000	1	1	1.000000	0	0	NaN	1	1	1.000000	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	158	158	1.000000
sim_020	5080	26	0.005118	198	10	0.050505	80	10	0.125000	42	6	0.142857	37	7	0.189189	16	7	0.437500	10	3	0.300000	12	5	0.416667	5	3	0.600000	6	4	0.666667	8	4	0.500000	4	2	0.500000	6	4	0.666667	4	4	1.000000	1	1	1.000000	1	1	1.000000	2	2	1.000000	3	3	1.000000	2	2	1.000000	94	94	1.000000
sim_022	4221	31	0.007344	244	14	0.057377	121	17	0.140496	78	9	0.115385	34	9	0.264706	24	7	0.291667	15	4	0.266667	22	12	0.545455	8	5	0.625000	8	3	0.375000	8	6	0.750000	5	2	0.400000	1	0	0.000000	3	2	0.666667	4	2	0.500000	5	4	0.800000	5	3	0.600000	3	3	1.000000	0	0	NaN	65	65	1.000000
sim_023	179	4	0.022346	41	2	0.048780	50	8	0.160000	21	8	0.380952	23	4	0.173913	15	4	0.266667	17	6	0.352941	12	2	0.166667	9	4	0.444444	7	4	0.571429	6	1	0.166667	2	0	0.000000	2	1	0.500000	4	3	0.750000	0	0	NaN	3	2	0.666667	3	2	0.666667	1	1	1.000000	1	1	1.000000	141	141	1.000000
