bin_lo	bin_hi	total	true_hits	fraction
0	5	1688174	5265	0.003118754346412159
5	10	22961	1613	0.07024955359087148
10	15	10504	1270	0.1209063214013709
15	20	6065	1002	0.16521022258862325
20	25	3930	894	0.22748091603053436
25	30	2815	746	0.2650088809946714
30	35	2107	693	0.3289036544850498
35	40	1553	585	0.37669027688345136
40	45	1119	463	0.4137622877569258
45	50	854	408	0.477751756440281
50	55	663	344	0.5188536953242836
55	60	512	287	0.560546875
60	65	460	301	0.6543478260869565
65	70	389	273	0.7017994858611826
70	75	294	218	0.7414965986394558
75	80	346	274	0.791907514450867
80	85	300	240	0.8
85	90	242	217	0.8966942148760331
90	95	256	233	0.91015625
95	100	13007	12988	0.9985392480971784
