#node	date	numeric date
NODE_0000001	2014-02-25	2014.151001
NODE_0000609	2014-02-25	2014.151286
NODE_0000610	2014-03-06	2014.176970
EBOV-Gueckedou-C05-KJ660348-GIN-Gueckedou|2014-03-19	2014-03-19	2014.212329
NODE_0000007	2014-03-07	2014.180074
EBOV-EM_079517-KR817198-GIN-Gueckedou|2014-04-11	2014-04-11	2014.275342
NODE_0000008	2014-03-07	2014.180074
EBOV-EM_079549-KR817200-GIN-Gueckedou|2014-04-13	2014-04-13	2014.280822
EBOV-EM_079542-KR817199-GIN-Gueckedou|2014-04-12	2014-04-12	2014.278082
NODE_0000004	2014-02-25	2014.151286
NODE_0000621	2014-03-07	2014.178166
NODE_0000622	2014-03-16	2014.203320
EBOV-EM_079497-KR817196-GIN-Gueckedou|2014-04-07	2014-04-07	2014.264384
NODE_0000623	2014-03-31	2014.245205
EBOV-EM_079413-KR817184-GIN-Gueckedou|2014-03-31	2014-03-31	2014.245205
EBOV-EM_079414-KR817185-GIN-Gueckedou|2014-03-31	2014-03-31	2014.245205
NODE_0000624	2014-05-10	2014.355588
EBOV-EM_079750-KR817213-GIN-Gueckedou|2014-05-21	2014-05-21	2014.384932
NODE_0000010	2014-05-22	2014.388524
EBOV-EM_079815-KR817217-GIN-Gueckedou|2014-05-28	2014-05-28	2014.404110
NODE_0000011	2014-05-23	2014.389282
NODE_0000012	2014-05-23	2014.389282
EBOV-EM_079775-KR817216-GIN-Gueckedou|2014-05-24	2014-05-24	2014.393151
EBOV-EM_079859-KR817218-GIN-Gueckedou|2014-06-01	2014-06-01	2014.415068
NODE_0000628	2014-06-02	2014.416770
EBOV-EM_079914-KR817225-GIN-Gueckedou|2014-06-10	2014-06-10	2014.439726
EBOV-EM_079911-KR817222-GIN-Gueckedou|2014-06-09	2014-06-09	2014.436986
EBOV-EM_074335-KR817107-_-_|2014-07-18	--	--
NODE_0000027	2014-06-04	2014.423404
EBOV-EM_079912-KR817223-GIN-Gueckedou|2014-06-09	2014-06-09	2014.436986
EBOV-EM_074354-KR817113-GIN-Gueckedou|2014-07-22	2014-07-22	2014.554795
NODE_0000043	2014-06-08	2014.433690
EBOV-EM_079913-KR817224-GIN-Gueckedou|2014-06-09	2014-06-09	2014.436986
NODE_0000044	2014-06-09	2014.436986
EBOV-EM_080141-KR817237-GIN-Gueckedou|2014-06-25	2014-06-25	2014.480822
EBOV-EM_079910-KR817221-GIN-Gueckedou|2014-06-09	2014-06-09	2014.436986
NODE_0000016	2014-06-18	2014.461901
EBOV-EM_080063-KR817230-GIN-Gueckedou|2014-06-20	2014-06-20	2014.467123
NODE_0000631	2014-07-15	2014.534346
EBOV-517-KR534509-GIN-Siguiri|2014-07-24	2014-07-24	2014.560274
EBOV-531-KR534510-GIN-Kouroussa|2014-07-27	2014-07-27	2014.568493
NODE_0000018	2014-02-25	2014.151286
NODE_0000615	2014-03-06	2014.176305
EBOV-EM_079429-KR817190-GIN-Gueckedou|2014-04-02	2014-04-02	2014.250685
NODE_0000020	2014-03-06	2014.176607
EBOV-EM_079422-KR817187-GIN-Macenta|2014-03-27	2014-03-27	2014.234247
NODE_0000021	2014-03-06	2014.176607
EBOV-EM_079434-KR817191-GIN-Macenta|2014-04-02	2014-04-02	2014.250685
NODE_0000022	2014-03-06	2014.176607
NODE_0000024	2014-03-17	2014.207082
EBOV-Gueckedou-C07-KJ660347-GIN-Gueckedou|2014-03-20	2014-03-20	2014.215068
EBOV-EM_079423-KR817188-GIN-Macenta|2014-03-27	2014-03-27	2014.234247
NODE_0000025	2014-03-06	2014.176607
EBOV-EM_079424-KR817189-GIN-Macenta|2014-03-27	2014-03-27	2014.234247
EBOV-EM_079421-KR817186-GIN-Macenta|2014-03-30	2014-03-30	2014.242466
NODE_0000638	2014-03-06	2014.175527
NODE_0000639	2014-03-06	2014.176754
EBOV-EM_079404-KR817179-GIN-Gueckedou|2014-03-28	2014-03-28	2014.236986
EBOV-EM_079450-KR817194-LBR-_|2014-04-01	--	--
NODE_0000029	2014-03-06	2014.176754
EBOV-EM_079464-KR817195-GIN-Macenta|2014-04-04	2014-04-04	2014.256164
NODE_0000030	2014-03-06	2014.176754
EBOV-EM_079412-KR817183-GIN-Gueckedou|2014-03-31	2014-03-31	2014.245205
NODE_0000646	2014-03-30	2014.241425
EBOV-EM_079514-KR817197-GIN-Gueckedou|2014-04-10	2014-04-10	2014.272603
NODE_0000033	2014-03-30	2014.241425
EBOV-EM_079578-KR817201-GIN-Gueckedou|2014-04-18	2014-04-18	2014.294521
EBOV-EM_079587-KR817202-GIN-Gueckedou|2014-04-22	2014-04-22	2014.305479
NODE_0000034	2014-03-06	2014.176900
NODE_0000035	2014-03-16	2014.204459
EBOV-EM_079408-KR817181-GIN-Gueckedou|2014-03-31	2014-03-31	2014.245205
NODE_0000039	2014-03-16	2014.204947
EBOV-EM_079405-KR817180-GIN-Gueckedou|2014-03-28	2014-03-28	2014.236986
EBOV-EM_079444-KR817193-GIN-Kissidougou|2014-04-02	2014-04-02	2014.250685
NODE_0000649	2014-03-17	2014.205700
NODE_0000042	2014-03-17	2014.205700
EBOV-EM_079630-KR817204-GIN-Gueckedou|2014-05-01	2014-05-01	2014.330137
NODE_0000651	2014-04-07	2014.264494
EBOV-EM_079622-KR817203-GIN-Gueckedou|2014-04-28	2014-04-28	2014.321918
NODE_0000652	2014-04-28	2014.322274
EBOV-EM_080076-KR817235-GIN-Gueckedou|2014-06-22	2014-06-22	2014.472603
NODE_0000045	2014-05-07	2014.346575
EBOV-EM_079659-KR817206-GIN-Gueckedou|2014-05-07	2014-05-07	2014.346575
EBOV-EM_079657-KR817205-GIN-Gueckedou|2014-05-07	2014-05-07	2014.346575
NODE_0000654	2014-04-26	2014.317311
EBOV-EM_079677-KR817207-GIN-Gueckedou|2014-05-10	2014-05-10	2014.354795
NODE_0000048	2014-05-11	2014.357534
EBOV-EM_079685-KR817209-GIN-Gueckedou|2014-05-11	2014-05-11	2014.357534
EBOV-EM_079915-KR817226-GIN-Gueckedou|2014-06-10	2014-06-10	2014.439726
NODE_0000078	2014-04-26	2014.317311
EBOV-EM_079731-KR817211-GIN-Gueckedou|2014-05-18	2014-05-18	2014.376712
NODE_0000658	2014-05-02	2014.332191
EBOV-EM_079681-KR817208-GIN-Gueckedou|2014-05-11	2014-05-11	2014.357534
NODE_0000050	2014-05-21	2014.384932
EBOV-EM_079749-KR817212-GIN-Gueckedou|2014-05-21	2014-05-21	2014.384932
EBOV-EM_079753-KR817214-GIN-Gueckedou|2014-05-22	2014-05-22	2014.387671
NODE_0000659	2014-05-07	2014.345613
EBOV-EM_079702-KR817210-GIN-Gueckedou|2014-05-14	2014-05-14	2014.365753
EBOV-EM_079772-KR817215-GIN-Gueckedou|2014-05-24	2014-05-24	2014.393151
NODE_0000662	2014-06-04	2014.424064
EBOV-1690-KR534574-GIN-Coyah|2014-10-25	2014-10-25	2014.815068
NODE_0000663	2014-06-25	2014.481436
NODE_0000664	2014-07-08	2014.516752
EBOV-EM_COY_2015_013857--GIN-Forecariah|2015-03-18	2015-03-18	2015.209589
NODE_0000665	2014-09-19	2014.715820
EBOV-1333-KR534549-GIN-Coyah|2014-10-07	2014-10-07	2014.765753
EBOV-1277-KR534543-GIN-Coyah|2014-10-04	2014-10-04	2014.757534
EBOV-1129-KR534581-GIN-Conakry|2014-09-25	2014-09-25	2014.732877
NODE_0000667	2014-08-01	2014.582486
EBOV-1436-KR534558-GIN-Coyah|2014-10-13	2014-10-13	2014.782192
NODE_0000057	2014-08-01	2014.582486
NODE_0000671	2014-08-29	2014.657745
EBOV-1047-KR534528-GIN-Kindia|2014-09-20	2014-09-20	2014.719178
NODE_0000059	2014-08-29	2014.657745
EBOV-1648-KR534569-GIN-Kindia|2014-10-23	2014-10-23	2014.809589
NODE_0000060	2014-09-28	2014.741096
EBOV-1213-KR534583-GIN-Conakry|2014-10-02	2014-10-02	2014.752055
EBOV-1193-KR534537-GIN-Conakry|2014-09-28	2014-09-28	2014.741096
NODE_0000061	2014-08-01	2014.582486
NODE_0000669	2014-10-24	2014.812329
EBOV-1686-KR534572-GIN-Coyah|2014-10-24	2014-10-24	2014.812329
EBOV-1689-KR534573-GIN-Coyah|2014-10-25	2014-10-25	2014.815068
NODE_0000674	2014-08-12	2014.611779
EBOV-1341--GIN-Coyah|2014-10-08	2014-10-08	2014.768493
NODE_0000065	2014-08-29	2014.658979
NODE_0000066	2014-10-04	2014.757534
EBOV-1298-KR534545-GIN-Conakry|2014-10-06	2014-10-06	2014.763014
EBOV-1278-KR534544-GIN-Coyah|2014-10-04	2014-10-04	2014.757534
NODE_0000677	2014-09-20	2014.720039
EBOV-1551-KR534562-GIN-Conakry|2014-10-18	2014-10-18	2014.795890
EBOV-1374-KR534556-GIN-Coyah|2014-10-10	2014-10-10	2014.773973
NODE_0000068	2014-10-07	2014.765753
EBOV-1327-KR534591-GIN-Coyah|2014-10-07	2014-10-07	2014.765753
EBOV-1652-KR534571-GIN-Coyah|2014-10-24	2014-10-24	2014.812329
NODE_0000069	2014-09-20	2014.720433
EBOV-1249-KR534541-GIN-Conakry|2014-10-04	2014-10-04	2014.757534
NODE_0000072	2014-09-20	2014.720433
EBOV-1331-KR534548-GIN-Kerouane|2014-10-07	2014-10-07	2014.765753
EBOV-1320-KR534590-GIN-Coyah|2014-10-07	2014-10-07	2014.765753
NODE_0000073	2014-09-20	2014.720039
EBOV-1316-KR534546-GIN-Coyah|2014-10-07	2014-10-07	2014.765753
NODE_0000074	2014-11-18	2014.881497
NODE_0000686	2014-12-11	2014.944669
EBOV-EM_COY_2015_017021--GIN-Fria|2015-05-25	2015-05-25	2015.395890
NODE_0000687	2014-12-20	2014.968852
EBOV-EM_COY_2015_013576--GIN-Coyah|2015-03-09	2015-03-09	2015.184932
NODE_0000688	2014-12-31	2014.997976
NODE_0000689	2015-03-04	2015.171996
EBOV-PL5249-KU296744-SLE-Kambia|2015-03-24	2015-03-24	2015.226027
EBOV-PL5294-KU296764-SLE-Kambia|2015-03-24	2015-03-24	2015.226027
NODE_0000079	2014-12-31	2014.997976
