#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2014.147	8.225e+00	3.725e+00	1.816e+01
2014.217	2.339e+01	1.602e+01	3.416e+01
2014.286	1.752e+01	9.937e+00	3.087e+01
2014.356	1.686e+01	1.182e+01	2.406e+01
2014.425	7.573e+02	6.207e+02	9.240e+02
2014.494	2.924e+02	2.149e+02	3.977e+02
2014.564	1.042e+02	7.743e+01	1.403e+02
2014.633	5.020e+02	4.291e+02	5.874e+02
2014.702	9.240e+02	7.737e+02	1.104e+03
2014.772	8.927e+02	7.284e+02	1.094e+03
2014.841	7.801e+02	6.034e+02	1.009e+03
2014.911	1.239e+03	9.372e+02	1.638e+03
2014.980	1.020e+03	7.796e+02	1.334e+03
2015.049	6.425e+02	4.786e+02	8.625e+02
2015.119	7.326e+02	5.774e+02	9.294e+02
2015.188	1.010e+03	7.558e+02	1.349e+03
2015.257	6.395e+02	4.414e+02	9.266e+02
2015.327	7.068e+02	5.008e+02	9.977e+02
2015.396	4.643e+02	3.345e+02	6.444e+02
2015.465	6.067e+02	4.363e+02	8.437e+02
2015.535	6.009e+02	3.671e+02	9.837e+02
2015.604	7.637e+02	4.403e+02	1.325e+03
2015.674	8.866e+02	4.809e+02	1.635e+03
2015.743	7.092e+02	3.626e+02	1.387e+03
2015.812	6.661e+02	2.655e+02	1.672e+03
