Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9712643678160919	174	0.950	0.9137931034482759	0.9770114942528736
alpha	0.8908045977011494	174	0.950	0.9137931034482759	0.9770114942528736
n0	0.9310344827586207	174	0.950	0.9137931034482759	0.9770114942528736
g	0.9310344827586207	174	0.950	0.9137931034482759	0.9770114942528736
kappa	0.9540229885057471	174	0.950	0.9137931034482759	0.9770114942528736
pi_A	0.9540229885057471	174	0.950	0.9137931034482759	0.9770114942528736
pi_C	0.9655172413793104	174	0.950	0.9137931034482759	0.9770114942528736
pi_G	0.9367816091954023	174	0.950	0.9137931034482759	0.9770114942528736
pi_T	0.9425287356321839	174	0.950	0.9137931034482759	0.9770114942528736
rootHeight	0.9137931034482759	174	0.950	0.9137931034482759	0.9770114942528736
