replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	5391	42	0.007791	527	36	0.068311	237	27	0.113924	114	23	0.201754	90	19	0.211111	63	18	0.285714	46	15	0.326087	38	16	0.421053	32	18	0.562500	20	10	0.500000	18	8	0.444444	15	7	0.466667	10	5	0.500000	8	4	0.500000	10	8	0.800000	5	4	0.800000	8	8	1.000000	4	2	0.500000	4	3	0.750000	225	225	1.000000
sim_001	3591	47	0.013088	462	37	0.080087	262	23	0.087786	125	25	0.200000	91	21	0.230769	59	12	0.203390	47	18	0.382979	36	5	0.138889	33	15	0.454545	25	16	0.640000	12	8	0.666667	12	4	0.333333	6	4	0.666667	5	3	0.600000	3	1	0.333333	7	5	0.714286	4	3	0.750000	3	3	1.000000	5	4	0.800000	244	244	1.000000
sim_002	24991	92	0.003681	472	26	0.055085	193	33	0.170984	107	13	0.121495	79	19	0.240506	61	9	0.147541	36	18	0.500000	31	13	0.419355	26	8	0.307692	15	8	0.533333	11	8	0.727273	15	12	0.800000	10	8	0.800000	11	8	0.727273	8	7	0.875000	4	4	1.000000	5	5	1.000000	5	3	0.600000	4	4	1.000000	200	200	1.000000
sim_003	12860	87	0.006765	651	41	0.062980	265	34	0.128302	152	25	0.164474	98	15	0.153061	62	15	0.241935	33	7	0.212121	36	16	0.444444	19	9	0.473684	13	7	0.538462	11	7	0.636364	9	5	0.555556	8	7	0.875000	12	8	0.666667	1	1	1.000000	3	2	0.666667	7	6	0.857143	6	6	1.000000	3	3	1.000000	197	197	1.000000
sim_004	1444	22	0.015235	298	30	0.100671	182	20	0.109890	130	29	0.223077	96	16	0.166667	73	25	0.342466	61	19	0.311475	44	11	0.250000	27	6	0.222222	23	13	0.565217	12	7	0.583333	13	5	0.384615	9	4	0.444444	14	8	0.571429	4	3	0.750000	10	10	1.000000	4	4	1.000000	5	3	0.600000	5	5	1.000000	259	258	0.996139
sim_005	14022	69	0.004921	540	45	0.083333	296	33	0.111486	143	25	0.174825	84	18	0.214286	55	20	0.363636	39	10	0.256410	45	19	0.422222	25	9	0.360000	18	5	0.277778	17	7	0.411765	10	8	0.800000	12	4	0.333333	6	4	0.666667	6	5	0.833333	4	3	0.750000	6	6	1.000000	4	3	0.750000	7	7	1.000000	198	198	1.000000
sim_006	23044	92	0.003992	535	34	0.063551	264	37	0.140152	146	23	0.157534	104	19	0.182692	46	15	0.326087	38	13	0.342105	30	17	0.566667	30	8	0.266667	14	6	0.428571	14	10	0.714286	11	8	0.727273	10	3	0.300000	6	4	0.666667	9	7	0.777778	2	2	1.000000	5	4	0.800000	9	8	0.888889	7	6	0.857143	183	182	0.994536
sim_007	32506	106	0.003261	497	34	0.068410	230	29	0.126087	125	24	0.192000	78	17	0.217949	51	16	0.313725	31	10	0.322581	22	4	0.181818	19	9	0.473684	17	11	0.647059	10	6	0.600000	12	5	0.416667	10	5	0.500000	9	4	0.444444	4	3	0.750000	10	6	0.600000	5	5	1.000000	3	3	1.000000	8	8	1.000000	193	193	1.000000
sim_008	17249	83	0.004812	569	49	0.086116	256	38	0.148438	137	16	0.116788	104	25	0.240385	50	14	0.280000	35	11	0.314286	40	13	0.325000	27	12	0.444444	12	3	0.250000	15	7	0.466667	12	7	0.583333	7	4	0.571429	5	3	0.600000	8	8	1.000000	7	6	0.857143	5	4	0.800000	3	3	1.000000	5	4	0.800000	188	188	1.000000
sim_009	11907	83	0.006971	538	34	0.063197	244	32	0.131148	139	14	0.100719	90	17	0.188889	57	17	0.298246	45	13	0.288889	33	17	0.515152	20	7	0.350000	15	7	0.466667	12	4	0.333333	14	10	0.714286	13	6	0.461538	12	9	0.750000	14	9	0.642857	6	4	0.666667	2	2	1.000000	8	7	0.875000	5	5	1.000000	201	201	1.000000
sim_010	7897	51	0.006458	540	38	0.070370	220	21	0.095455	143	31	0.216783	89	21	0.235955	74	25	0.337838	43	13	0.302326	38	13	0.342105	28	11	0.392857	21	11	0.523810	18	12	0.666667	17	10	0.588235	14	11	0.785714	14	7	0.500000	7	5	0.714286	5	4	0.800000	9	6	0.666667	9	6	0.666667	6	6	1.000000	196	196	1.000000
sim_011	12755	76	0.005958	561	42	0.074866	286	38	0.132867	142	21	0.147887	102	19	0.186275	64	15	0.234375	44	18	0.409091	33	13	0.393939	15	7	0.466667	19	7	0.368421	22	12	0.545455	17	9	0.529412	13	9	0.692308	12	8	0.666667	9	5	0.555556	2	2	1.000000	6	6	1.000000	5	4	0.800000	4	4	1.000000	183	183	1.000000
sim_012	7778	54	0.006943	644	42	0.065217	283	41	0.144876	161	28	0.173913	84	18	0.214286	64	9	0.140625	42	14	0.333333	28	11	0.392857	27	18	0.666667	24	12	0.500000	13	10	0.769231	8	5	0.625000	9	5	0.555556	9	8	0.888889	2	1	0.500000	7	6	0.857143	6	6	1.000000	7	5	0.714286	7	7	1.000000	198	198	1.000000
sim_013	9820	54	0.005499	546	33	0.060440	270	33	0.122222	149	29	0.194631	76	18	0.236842	63	24	0.380952	54	17	0.314815	35	14	0.400000	20	7	0.350000	18	12	0.666667	12	8	0.666667	14	5	0.357143	6	5	0.833333	12	7	0.583333	9	7	0.777778	7	5	0.714286	6	5	0.833333	5	5	1.000000	1	1	1.000000	209	209	1.000000
sim_014	4110	40	0.009732	470	38	0.080851	235	26	0.110638	154	24	0.155844	74	11	0.148649	75	15	0.200000	43	20	0.465116	32	12	0.375000	28	16	0.571429	26	13	0.500000	15	6	0.400000	14	10	0.714286	4	2	0.500000	7	6	0.857143	7	5	0.714286	6	5	0.833333	4	4	1.000000	5	3	0.600000	5	5	1.000000	237	237	1.000000
