bin_lo	bin_hi	total	true_hits	fraction
0	5	1825846	11061	0.0060580136550399104
5	10	91424	6468	0.07074728736436822
10	15	44111	5410	0.12264514520187708
15	20	24700	4264	0.1726315789473684
20	25	15696	3484	0.22196738022426096
25	30	10826	2949	0.2723997783114724
30	35	7733	2492	0.32225526962369067
35	40	5654	2062	0.36469755925008845
40	45	4058	1734	0.42730409068506653
45	50	3205	1518	0.4736349453978159
50	55	2354	1228	0.5216652506372133
55	60	1943	1121	0.5769428718476582
60	65	1636	981	0.5996332518337408
65	70	1373	909	0.662053896576839
70	75	1185	861	0.7265822784810126
75	80	966	767	0.7939958592132506
80	85	911	748	0.8210757409440176
85	90	840	743	0.8845238095238095
90	95	905	847	0.9359116022099447
95	100	37149	37005	0.9961237180004845
