replicate	mu	alpha	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.0010756969129842749	3.12107753531587	3.3062261128968946	1.9844457007570568	7.748291574261745	0.0526144376909397	0.6045798046789421	0.1623165926552505	0.18048916497486772	1.4067310001969389
sim_001	0.0010449687675819523	1.685715335912175	3.11562685978203	1.6978609195008376	0.6700195060834192	0.09786329395536192	0.0859146417584742	0.6480645017832052	0.1681575625029586	1.6833268515892963
sim_002	0.001096934809029632	0.6850681560972163	1.932324036998786	2.113566444915849	10.280485944799056	0.019655117312566164	0.8076007839095035	0.04538574751016552	0.12735835126776462	1.1863965517397546
sim_003	0.000843189321860427	2.2188136844651187	3.338056757480858	1.9243437238293208	0.21353402945943203	0.7872104037126376	0.1647359448564977	0.039064092398352526	0.008989559032512104	1.4810372741014701
sim_004	0.0010348628154178132	0.9733237372485842	3.5647781061881054	1.9840920739325036	0.25092264684960336	0.1315681849696531	0.00938054171701989	0.12818704886102816	0.7308642244522988	1.5692149664908717
sim_005	0.0009145923621089063	1.9677439192565773	1.8382625264180086	1.953257186976224	0.2258456219665557	0.16141485135277656	0.27831624448990055	0.3194043652175854	0.24086453893973736	1.2990776264315465
sim_006	0.0009059443337999148	0.9287755941163383	1.8510341394698264	2.2712911940298537	10.206392519323895	0.026495950121238093	0.4862327882136355	0.022802306682419032	0.46446895498270735	1.2645693165372687
sim_007	0.0007911463966755781	0.09547599373253145	2.627092647443206	2.094731019572574	1.8343142521263494	0.177126807756899	0.37089587331903956	0.18525509758514647	0.2667222213389148	1.6630473463090532
sim_008	0.0008766608328982167	0.8473765889430873	2.3128261308072617	2.0576168368349546	2.8459069179769156	0.46525222419406126	0.1433727299859412	0.21649576832625747	0.17487927749374005	1.1051871809749243
sim_009	0.0008022885310972867	0.16744906425477166	3.3445497637251944	1.8379902908515857	2.6263115895452875	0.30593953461051626	0.19329106686216882	0.13404720987083527	0.36672218865647965	1.4272643001678018
sim_010	0.0009361212899476923	0.3436023889857426	2.390069545234104	1.9151967613799834	23.169140534796163	0.06497044330553631	0.020140509647567976	0.5456615686825468	0.36922747836434905	1.5632707772861383
sim_011	0.0008529505236994356	0.742172404257367	2.455972634564889	1.8861627552233882	0.5883382076251736	0.152038532849704	0.25443393739713693	0.004115385397683568	0.5894121443554756	1.6215050870809933
sim_012	0.0008966942846475404	1.0580971574489926	2.1354780198086996	1.7422182698143	4.85333102031998	0.736691333501998	0.10865304858805537	0.1314533751037974	0.02320224280614907	1.3729543974393266
sim_013	0.0009599435376351749	0.2438277005671294	2.361437236787448	2.198459400442226	2.493474406253985	0.5026235740929204	0.29177485042262197	0.11459200414660344	0.09100957133785416	1.3638789220094234
sim_014	0.001074640204155459	0.4511165553493098	2.4679644527952482	1.9544559542526811	2.085441442556283	0.2745450432794041	0.39942905994524786	0.24590153716957744	0.08012435960577058	1.3159033428109943
sim_015	0.0011245715332407597	1.0625570780995193	2.4714224178344812	1.9479424294185925	7.051465106244127	0.06008111567214765	0.22541751931318724	0.6975912389136081	0.016910126101057098	1.4882171418981336
sim_016	0.000856818558996394	2.541513046905817	3.07778672274915	1.9413831550969156	0.5084380509092804	0.8787031911349902	0.03094570816160311	0.08618264017174031	0.0041684605316662385	1.4982515382538375
sim_017	0.0008854735351498939	0.5018961066850196	2.20049549994276	1.7156591570356758	4.593587054464527	0.11175015412370547	0.5397881478548517	0.11754744594803514	0.23091425207340774	1.3343047384974955
sim_018	0.0008942588256120694	0.8577288313134267	2.2950414142035998	1.9376803856876046	0.32997413682629884	0.04399338095067317	0.5574233661066929	0.30939101006289615	0.08919224287973773	1.4170704354635066
sim_019	0.0011194740395535218	1.5264066663414728	2.5641218871456126	2.292811521849886	2.002807168350815	0.16634895147804096	0.38584101504145035	0.40078583892790176	0.047024194552606875	1.3310146535017804
sim_020	0.0010392199145753279	0.49300017690529657	2.0780284626059395	2.5678458645817646	14.6260683285755	0.35819014876162497	0.23174095065189937	0.19659866754378766	0.21347023304268803	1.0701145122740374
sim_021	0.0009211624312924229	0.29262670430018656	2.954303667959631	2.384088466582395	4.922475624817239	0.5849284714339308	0.016941576237622255	0.10404065256526322	0.2940892997631836	1.1608829473035192
sim_022	0.001059510973229473	0.8548731507241991	2.4463482140748667	2.340990341932163	3.7555054097177756	0.2977637856357498	0.12370177017885779	0.3516382526728402	0.22689619151255216	1.1324913320541747
sim_023	0.0008690479049944695	0.31757401586804174	2.3084004549379618	2.205692358416168	1.2508986839820262	0.295063847147062	0.22668833319199824	0.11482877169360257	0.36341904796733704	1.1627791214782763
sim_024	0.0010525035321460967	0.49192283704957673	2.67060197621144	1.8069789141998605	0.5792284530524613	0.5917420089770311	0.14323044530056786	0.008310502128072196	0.2567170435943289	1.652482049137044
sim_025	0.0008117172812976309	0.3696188805721176	2.9410232877929157	2.247898275678894	3.833908850052786	0.0037123655852375308	0.3889920782006343	0.2652088696752059	0.3420866865389223	1.2145402280987132
sim_026	0.0010463918910687793	0.5987315918655013	2.1924607789026465	2.0129805805451406	3.0494553833938243	0.01792230091450564	0.07424363092456901	0.6171386911242716	0.2906953770366538	1.5815941806996923
sim_029	0.0009127664846231247	0.07068516941466961	2.830489061808647	2.183384699115079	1.2008923701265286	0.11285041918607668	0.3890460428012546	0.14168894994729617	0.35641458806537246	1.6465465040285152
sim_030	0.001054313694743482	2.428255233487146	2.545863488454305	2.01620024014952	0.5581351100608877	0.28989888902571515	0.04382607445198265	0.19617109024015691	0.4701039462821452	1.606749969587089
sim_031	0.0010372272959939812	0.30189664359978646	3.169463746622091	1.847209275807375	42.44479139061467	0.2474928035979477	0.4844978319917297	0.2482635954776766	0.019745768932645996	1.4541549444457578
sim_032	0.001049513817427275	1.152100754810529	2.5645319332401058	2.025910549300715	4.80253846767629	0.29252444751586537	0.06847677492384427	0.030266729341041642	0.6087320482192486	1.3337609034382412
sim_033	0.0011117470533143375	1.3918410253805134	2.274247588320197	1.4916115737850104	3.355264372492258	0.09974272714275388	0.20472199313721814	0.6186843408739647	0.07685093884606313	1.6430651137971284
sim_035	0.0010056063077433855	0.4942934857435038	2.4743053866368	1.6768242009623289	4.886225027868864	0.20788588942395603	0.17088443720399232	0.02429668512128527	0.5969329882507665	1.7061678727971084
sim_036	0.0009389634004368553	2.4753151480185647	2.782772576960693	2.142073089862726	0.4450132898384106	0.17684629767733692	0.44728786507522295	0.235873532781712	0.139992304465728	1.2220412533634668
