replicate	tip_name	true_date	posterior_mean	hpd_lo	hpd_hi	normalized_rank
sim_000	TIP_154	2025.5534246575342	2025.563628019971	2025.512869	2025.615879	0.38231098430813126
sim_000	TIP_396	2025.0493150684931	2025.0302530313857	2024.99503	2025.079012	0.8002853067047075
sim_000	TIP_220	2025.227397260274	2025.219020522111	2025.183511	2025.269913	0.6975748930099858
sim_000	TIP_416	2025.2602739726028	2025.2304601711855	2025.161204	2025.306459	0.7902995720399429
sim_000	TIP_419	2025.0657534246575	2025.0534644921536	2024.998639	2025.115618	0.6918687589158345
sim_000	TIP_300	2025.8246575342466	2025.7038113323815	2025.629647	2025.794081	0.9900142653352354
sim_000	TIP_291	2025.021917808219	2025.038820055636	2024.998749	2025.077322	0.23680456490727533
sim_000	TIP_097	2025.5506849315068	2025.4150184151208	2025.366504	2025.480052	0.9985734664764622
sim_000	TIP_411	2025.9945205479453	2025.9745126771884	2025.9376458	2026.00059	0.8958630527817404
sim_000	TIP_277	2025.3260273972603	2025.3637296319516	2025.30252	2025.420718	0.11269614835948645
sim_000	TIP_072	2025.282191780822	2025.2859034621968	2025.217738	2025.356754	0.4964336661911555
sim_000	TIP_155	2025.8520547945207	2025.8617969968625	2025.801439	2025.9328763	0.4222539229671897
sim_000	TIP_262	2025.4	2025.4447255064208	2025.362904	2025.511059	0.08701854493580599
sim_000	TIP_445	2025.468493150685	2025.4506974165456	2025.407059	2025.49173	0.833095577746077
sim_000	TIP_086	2025.3068493150686	2025.3598877546383	2025.29726	2025.433307	0.05135520684736091
sim_000	TIP_472	2025.7561643835616	2025.73346366662	2025.650685	2025.823187	0.7232524964336662
sim_000	TIP_092	2025.4027397260274	2025.4223777731795	2025.378562	2025.465433	0.16690442225392296
sim_000	TIP_465	2025.4082191780822	2025.4056892596327	2025.370252	2025.451734	0.572039942938659
sim_000	TIP_393	2025.8438356164384	2025.82606722378	2025.749265	2025.938296	0.6790299572039943
sim_000	TIP_164	2025.8958904109588	2025.8841837912812	2025.79682	2025.9531947	0.5991440798858774
sim_000	TIP_183	2025.676712328767	2025.7480690288196	2025.672672	2025.832336	0.029957203994293864
sim_001	TIP_261	2025.9561643835616	2025.964748758176	2025.9229571	2026.00212	0.3252496433666191
sim_001	TIP_075	2025.4301369863015	2025.4254839186888	2025.363943	2025.497159	0.5820256776034237
sim_001	TIP_177	2025.5616438356165	2025.5626109243933	2025.523828	2025.608558	0.5221112696148359
sim_001	TIP_397	2025.2876712328766	2025.2945515877316	2025.244225	2025.349305	0.4008559201141227
sim_001	TIP_389	2025.641095890411	2025.6037732639095	2025.529857	2025.677972	0.8416547788873039
sim_001	TIP_148	2025.945205479452	2025.965393630885	2025.9224168	2026.00218	0.17261055634807418
sim_001	TIP_452	2025.517808219178	2025.5335096205424	2025.469413	2025.607669	0.3067047075606277
sim_001	TIP_090	2025.5397260273974	2025.529460600568	2025.473092	2025.59233	0.6333808844507846
sim_001	TIP_268	2025.0657534246575	2025.0951612838808	2025.048884	2025.141906	0.09700427960057062
sim_001	TIP_455	2025.9753424657533	2025.9601564938653	2025.9145088	2025.99934	0.6590584878744651
sim_001	TIP_178	2025.5698630136985	2025.50434580171	2025.419737	2025.575832	0.9600570613409415
sim_001	TIP_403	2025.6520547945206	2025.6907175378008	2025.603849	2025.79764	0.2268188302425107
sim_001	TIP_264	2025.5287671232877	2025.5760125078475	2025.521057	2025.644105	0.04850213980028531
