Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9479166666666666	192	0.950	0.9166666666666666	0.9791666666666666
n0	0.9479166666666666	192	0.950	0.9166666666666666	0.9791666666666666
g	0.9375	192	0.950	0.9166666666666666	0.9791666666666666
kappa	0.9635416666666666	192	0.950	0.9166666666666666	0.9791666666666666
pi_A	0.9635416666666666	192	0.950	0.9166666666666666	0.9791666666666666
pi_C	0.9322916666666666	192	0.950	0.9166666666666666	0.9791666666666666
pi_G	0.9166666666666666	192	0.950	0.9166666666666666	0.9791666666666666
pi_T	0.9322916666666666	192	0.950	0.9166666666666666	0.9791666666666666
rootHeight	0.9375	192	0.950	0.9166666666666666	0.9791666666666666
