replicate	low_ess_observables
sim_009	age(root),clock.rate,coalescent,exponential.growthRate,likelihood_really_logG,meanRate,posterior_for_Delphy,prior_for_Delphy,rootHeight,treeLength,treeLikelihood_really_logG
sim_031	age(root),clock.rate,coalescent,exponential.popSize,likelihood_really_logG,meanRate,numMuts,posterior_for_Delphy,prior_for_Delphy,rootHeight,treeLength,treeLikelihood_really_logG
sim_034	age(root),clock.rate,coalescent,likelihood_really_logG,meanRate,numMuts,posterior_for_Delphy,prior_for_Delphy,rootHeight,treeLength,treeLikelihood_really_logG
sim_048	age(root),clock.rate,coalescent,exponential.growthRate,exponential.popSize,likelihood_really_logG,meanRate,posterior_for_Delphy,prior_for_Delphy,rootHeight,treeLength,treeLikelihood_really_logG
sim_078	likelihood_really_logG,numMuts,posterior_for_Delphy,treeLength,treeLikelihood_really_logG
sim_125	likelihood_really_logG,numMuts,posterior_for_Delphy,treeLength,treeLikelihood_really_logG
sim_164	age(root),likelihood_really_logG,numMuts,posterior_for_Delphy,rootHeight,treeLength,treeLikelihood_really_logG
sim_165	age(root),likelihood_really_logG,numMuts,posterior_for_Delphy,rootHeight,treeLength,treeLikelihood_really_logG
