replicate	mu	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.4978601997146933	0.9900142653352354	0.9529243937232525	0.06990014265335236	0.26961483594864477	0.9586305278174037	0.7189728958630528	0.2767475035663338	0.2810271041369472
sim_001	0.15121255349500715	0.8373751783166904	0.6604850213980028	0.9372325249643366	0.11412268188302425	0.35520684736091296	0.9372325249643366	0.7774607703281027	0.21255349500713266
sim_002	0.7631954350927247	0.2524964336661912	0.05563480741797432	0.5320970042796006	0.8901569186875892	0.1398002853067047	0.7203994293865906	0.2268188302425107	0.5263908701854494
sim_003	0.26390870185449355	0.9757489300998573	0.8944365192582026	0.5035663338088445	0.2738944365192582	0.48216833095577744	0.4978601997146933	0.7746077032810271	0.6990014265335235
sim_004	0.9229671897289586	0.33808844507845937	0.7617689015691869	0.14835948644793154	0.7960057061340942	0.7560627674750356	0.1754636233951498	0.15691868758915833	0.5777460770328102
sim_005	0.8601997146932953	0.7089871611982882	0.7831669044222539	0.6875891583452212	0.7817403708987162	0.6119828815977175	0.2767475035663338	0.3680456490727532	0.20827389443651925
sim_006	0.9115549215406562	0.6276747503566333	0.6462196861626248	0.35235378031383735	0.6733238231098431	0.3509272467902996	0.33666191155492153	0.6348074179743224	0.8017118402282454
sim_007	0.39942938659058486	0.7574893009985735	0.5962910128388017	0.6419400855920114	0.8687589158345221	0.5235378031383737	0.37375178316690444	0.2724679029957204	0.10128388017118402
sim_008	0.18972895863052783	0.10984308131241084	0.029957203994293864	0.018544935805991442	0.7860199714693296	0.25392296718972895	0.21112696148359486	0.8045649072753209	0.8145506419400856
sim_010	0.5249643366619116	0.5934379457917262	0.23680456490727533	0.5292439372325249	0.4051355206847361	0.40228245363766046	0.9871611982881597	0.35235378031383735	0.3466476462196862
sim_011	0.9529243937232525	0.4037089871611983	0.7089871611982882	0.28815977175463625	0.4664764621968616	0.5477888730385164	0.1355206847360913	0.776034236804565	0.4693295292439372
sim_012	0.5848787446504993	0.5121255349500713	0.651925820256776	0.6861626248216833	0.5292439372325249	0.49072753209700426	0.5449358059914408	0.4536376604850214	0.42082738944365194
sim_013	0.4479315263908702	0.268188302425107	0.28245363766048504	0.3466476462196862	0.9172610556348074	0.31098430813124106	0.26390870185449355	0.09985734664764621	0.4008559201141227
sim_014	0.4950071326676177	0.3566333808844508	0.7546362339514978	0.44365192582025675	0.2653352353780314	0.7403708987161198	0.5649072753209701	0.3880171184022825	0.514978601997147
sim_015	0.38231098430813126	0.21825962910128388	0.10984308131241084	0.68188302425107	0.06134094151212553	0.7689015691868759	0.42796005706134094	0.68188302425107	0.7417974322396577
sim_016	0.289586305278174	0.43366619115549215	0.4992867332382311	0.05706134094151213	0.818830242510699	0.1383737517831669	0.2553495007132668	0.8174037089871612	0.463623395149786
