replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	1987	21	0.010569	167	13	0.077844	94	12	0.127660	44	6	0.136364	30	4	0.133333	18	6	0.333333	14	3	0.214286	14	8	0.571429	12	3	0.250000	2	1	0.500000	4	0	0.000000	5	4	0.800000	4	2	0.500000	3	2	0.666667	4	2	0.500000	0	0	NaN	3	2	0.666667	3	3	1.000000	2	1	0.500000	105	105	1.000000
sim_001	737	12	0.016282	149	8	0.053691	60	3	0.050000	48	11	0.229167	28	9	0.321429	23	5	0.217391	15	6	0.400000	12	4	0.333333	11	5	0.454545	8	4	0.500000	1	1	1.000000	6	4	0.666667	4	1	0.250000	2	0	0.000000	1	1	1.000000	1	0	0.000000	4	4	1.000000	3	3	1.000000	2	2	1.000000	115	115	1.000000
sim_002	140	4	0.028571	74	6	0.081081	43	7	0.162791	40	5	0.125000	27	2	0.074074	28	7	0.250000	18	10	0.555556	6	1	0.166667	9	5	0.555556	8	4	0.500000	10	5	0.500000	6	4	0.666667	5	3	0.600000	2	2	1.000000	1	0	0.000000	2	1	0.500000	2	2	1.000000	0	0	NaN	0	0	NaN	130	130	1.000000
sim_003	62	1	0.016129	27	2	0.074074	29	4	0.137931	19	4	0.210526	24	5	0.208333	21	3	0.142857	11	4	0.363636	11	4	0.363636	8	4	0.500000	3	2	0.666667	2	2	1.000000	4	3	0.750000	0	0	NaN	2	2	1.000000	2	1	0.500000	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	158	157	0.993671
sim_004	352	7	0.019886	96	6	0.062500	53	8	0.150943	34	4	0.117647	29	6	0.206897	23	4	0.173913	12	3	0.250000	11	6	0.545455	11	4	0.363636	9	3	0.333333	4	4	1.000000	1	1	1.000000	2	1	0.500000	3	2	0.666667	5	4	0.800000	1	1	1.000000	0	0	NaN	1	1	1.000000	1	1	1.000000	132	132	1.000000
sim_005	426	2	0.004695	111	9	0.081081	78	8	0.102564	44	11	0.250000	40	7	0.175000	20	9	0.450000	20	5	0.250000	9	4	0.444444	16	5	0.312500	5	3	0.600000	5	2	0.400000	4	3	0.750000	4	4	1.000000	0	0	NaN	2	2	1.000000	3	2	0.666667	1	1	1.000000	2	1	0.500000	0	0	NaN	120	120	1.000000
sim_006	774	15	0.019380	116	6	0.051724	89	9	0.101124	52	10	0.192308	47	14	0.297872	20	4	0.200000	19	1	0.052632	21	9	0.428571	10	7	0.700000	8	1	0.125000	11	6	0.545455	7	4	0.571429	7	6	0.857143	5	5	1.000000	0	0	NaN	3	2	0.666667	4	2	0.500000	2	0	0.000000	1	1	1.000000	96	96	1.000000
sim_007	38	0	0.000000	22	2	0.090909	34	6	0.176471	40	8	0.200000	23	4	0.173913	17	6	0.352941	13	3	0.230769	13	5	0.384615	5	0	0.000000	5	2	0.400000	1	0	0.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	0	0	NaN	0	0	NaN	1	1	1.000000	0	0	NaN	0	0	NaN	158	158	1.000000
sim_008	81	0	0.000000	17	3	0.176471	24	3	0.125000	16	2	0.125000	14	2	0.142857	14	2	0.142857	13	3	0.230769	14	8	0.571429	11	4	0.363636	5	4	0.800000	1	0	0.000000	0	0	NaN	0	0	NaN	2	1	0.500000	2	2	1.000000	1	1	1.000000	0	0	NaN	0	0	NaN	0	0	NaN	163	163	1.000000
sim_010	39701	107	0.002695	350	30	0.085714	103	10	0.097087	41	10	0.243902	33	4	0.121212	12	2	0.166667	7	3	0.428571	5	2	0.400000	6	3	0.500000	3	2	0.666667	1	1	1.000000	2	2	1.000000	0	0	NaN	3	3	1.000000	1	1	1.000000	1	1	1.000000	0	0	NaN	2	2	1.000000	2	1	0.500000	14	14	1.000000
