bin_lo	bin_hi	total	true_hits	fraction
0	5	2099126	6551	0.003121
5	10	28944	2043	0.070585
10	15	13233	1625	0.122799
15	20	7795	1355	0.173829
20	25	5209	1126	0.216164
25	30	3730	999	0.267828
30	35	2787	877	0.314675
35	40	2019	743	0.368004
40	45	1518	646	0.425560
45	50	1072	490	0.457090
50	55	846	477	0.563830
55	60	692	422	0.609827
60	65	559	340	0.608229
65	70	485	322	0.663918
70	75	397	293	0.738035
75	80	371	282	0.760108
80	85	349	279	0.799427
85	90	308	267	0.866883
90	95	353	323	0.915014
95	100	18583	18556	0.998547
