item                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                                -49685.5 2.437632 61.80254 -49685.4 -49803.6 -49566.6 217812.5 642.8004 NaN     
prior                                -1116.18 2.678476 64.13543 -1116.51 -1237.37 -989.742 244196.0 573.3508 NaN     
likelihood                           -48569.3 0.575654 17.75549 -48568.6 -48605.6 -48535.6 147168.9 951.3556 NaN     
rootHeight                           0.423473 0.000695 0.029142 0.421539 0.370448 0.48168  79707.80 1756.540 0.42249 
age(root)                            2019.928 0.000695 0.029142 2019.930 2019.870 2019.982 79689.62 1756.941 2019.928
treeLength                           22.30136 0.044349 1.065149 22.28284 20.22902 24.31013 242722.2 576.8321 22.27605
exponential.popSize                  6.347171 0.040378 1.236796 6.19221  4.074973 8.778731 149228.1 938.2278 6.231934
exponential.growthRate               11.77193 0.046192 1.473978 11.73149 8.948287 14.69268 137501.4 1018.243 11.67904
kappa                                5.337707 0.004152 0.462469 5.311792 4.515453 6.300861 11283.69 12408.17 5.317852
frequencies1                         0.296092 3.11E-5  0.00266  0.296116 0.290981 0.301348 19145.11 7313.091 0.29608 
frequencies2                         0.181619 2.44E-5  0.002185 0.18162  0.177315 0.18589  17511.72 7995.212 0.181606
frequencies3                         0.193066 2.56E-5  0.002262 0.193049 0.188469 0.197357 17917.29 7814.239 0.193052
frequencies4                         0.329223 3.19E-5  0.002713 0.329252 0.323821 0.334419 19411.19 7212.847 0.329212
alpha                                0.103739 0.000404 0.032937 0.100677 0.042238 0.170939 21039.47 6654.633 0.098134
clock.rate                           0.00101  2.05E-6  6.34E-5  0.001008 0.00089  0.001137 146130.1 958.1182 0.001008
meanRate                             0.00101  2.05E-6  6.34E-5  0.001008 0.00089  0.001137 146130.1 958.1182 0.001008
age(NC_045512.2|NC_045512.2|2019-12) 0.388332 0.000454 0.023127 0.385588 0.352477 0.42947  53952.15 2595.076 0.387651
treeLikelihood                       -48569.3 0.575654 17.75549 -48568.6 -48605.6 -48535.6 147168.9 951.3556 NaN     
branchRates                          0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                           -1108.58 2.675278 64.05962 -1109.07 -1229.68 -982.236 244190.2 573.3644 NaN     
