replicate	mu	alpha	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.8002853067047075	0.3980028530670471	0.8373751783166904	0.9714693295292439	0.16119828815977175	0.2995720399429387	0.30385164051355207	0.8017118402282454	0.4693295292439372	0.21968616262482168
sim_001	0.7146932952924394	0.37089871611982883	0.738944365192582	0.6319543509272468	0.7417974322396577	0.17403708987161198	0.9229671897289586	0.1340941512125535	0.3223965763195435	0.884450784593438
sim_002	0.07845934379457917	0.12125534950071326	0.26390870185449355	0.10128388017118402	0.02282453637660485	0.4037089871611983	0.48074179743223966	0.7118402282453637	0.33808844507845937	0.8901569186875892
sim_004	0.6504992867332382	0.1825962910128388	0.8059914407988588	0.37945791726105566	0.7674750356633381	0.8744650499286734	0.6761768901569187	0.26961483594864477	0.3338088445078459	0.8288159771754636
sim_005	0.33238231098430815	0.724679029957204	0.6947218259629101	0.7360912981455064	0.5677603423680456	0.18544935805991442	0.31098430813124106	0.8002853067047075	0.9614835948644793	0.12981455064194009
sim_006	0.6847360912981455	0.9229671897289586	0.9686162624821684	0.9700427960057061	0.06276747503566334	0.8901569186875892	0.42368045649072755	0.2282453637660485	0.19686162624821682	0.6048502139800286
sim_007	0.2781740370898716	0.7446504992867332	0.14550641940085593	0.39514978601997147	0.7075606276747504	0.5477888730385164	0.6005706134094151	0.3281027104136947	0.6932952924393724	0.7161198288159771
sim_008	0.38659058487874465	0.33523537803138376	0.8131241084165478	0.7218259629101283	0.02710413694721826	0.9500713266761769	0.29243937232524964	0.4165477888730385	0.47788873038516405	0.03566333808844508
sim_009	0.5677603423680456	0.42796005706134094	0.2796005706134094	0.6419400855920114	0.1326676176890157	0.456490727532097	0.11269614835948645	0.9429386590584878	0.5991440798858774	0.02282453637660485
sim_010	0.2268188302425107	0.029957203994293864	0.8887303851640513	0.6776034236804565	0.33523537803138376	0.5820256776034237	0.1312410841654779	0.39229671897289586	0.6619115549215406	0.8687589158345221
sim_011	0.7118402282453637	0.5606276747503567	0.38944365192582026	0.3437945791726106	0.7346647646219686	0.5991440798858774	0.4793152639087018	0.2767475035663338	0.7517831669044223	0.0442225392296719
sim_012	0.5891583452211127	0.6348074179743224	0.8345221112696148	0.8801711840228246	0.15549215406562053	0.724679029957204	0.26676176890156916	0.6562054208273894	0.4507845934379458	0.14693295292439373
sim_013	0.8530670470756063	0.6576319543509273	0.2268188302425107	0.18830242510699002	0.6790299572039943	0.8972895863052782	0.2767475035663338	0.39514978601997147	0.14835948644793154	0.4607703281027104
sim_014	0.9243937232524965	0.10128388017118402	0.48074179743223966	0.3124108416547789	0.9229671897289586	0.7731811697574893	0.9800285306704708	0.7047075606276747	0.06134094151212553	0.4079885877318117
sim_015	0.1383737517831669	0.7489300998573466	0.29814550641940085	0.04992867332382311	0.5734664764621968	0.08559201141226819	0.9914407988587732	0.20256776034236804	0.6562054208273894	0.8516405135520685
sim_016	0.9443651925820257	0.42082738944365194	0.44650499286733236	0.572039942938659	0.7845934379457917	0.49358059914407987	0.5934379457917262	0.24821683309557774	0.9172610556348074	0.9743223965763196
sim_017	1.0	0.6433666191155493	0.02282453637660485	0.8630527817403709	0.2767475035663338	0.25106990014265335	0.8744650499286734	0.3651925820256776	0.3637660485021398	0.08273894436519258
