bin_lo	bin_hi	total	true_hits	fraction
0	5	1264759	6261	0.004950350224825441
5	10	42827	2997	0.06997921871716441
10	15	19334	2424	0.1253749870694114
15	20	10571	1792	0.16952038596159305
20	25	6517	1495	0.2294000306889673
25	30	4431	1218	0.27488151658767773
30	35	3038	984	0.3238973008558262
35	40	2268	819	0.3611111111111111
40	45	1670	699	0.418562874251497
45	50	1235	575	0.46558704453441296
50	55	1067	541	0.507029053420806
55	60	878	522	0.5945330296127562
60	65	699	411	0.5879828326180258
65	70	625	427	0.6832
70	75	509	371	0.7288801571709234
75	80	466	348	0.7467811158798283
80	85	448	374	0.8348214285714286
85	90	428	381	0.8901869158878505
90	95	368	338	0.9184782608695652
95	100	13873	13851	0.9984141858285879
