Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.97	186	0.950	0.914	0.978
alpha	0.95	186	0.950	0.914	0.978
n0	0.96	186	0.950	0.914	0.978
g	0.97	186	0.950	0.914	0.978
kappa	0.94	186	0.950	0.914	0.978
pi_A	0.94	186	0.950	0.914	0.978
pi_C	0.96	186	0.950	0.914	0.978
pi_G	0.96	186	0.950	0.914	0.978
pi_T	0.92	186	0.950	0.914	0.978
rootHeight	0.97	186	0.950	0.914	0.978
