item                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                -66438.2 3.08835  93.82515 -66436.0 -66611.6 -66252.1 562317.7 922.9657 NaN     
prior                -4072.98 3.373248 92.82368 -4072.83 -4249.57 -3881.59 685403.5 757.2181 NaN     
likelihood           -62365.2 1.106153 39.79998 -62365.2 -62441.2 -62287.2 400896.3 1294.599 NaN     
rootHeight           1.610157 0.000773 0.03561  1.60637  1.546619 1.681319 244664.8 2121.269 1.609766
age(root)            2023.981 0.000773 0.03561  2023.985 2023.910 2024.045 244666.1 2121.258 2023.981
treeLength           102.0674 0.056771 1.530539 102.0475 99.01787 104.9986 714055.4 726.8342 102.0559
skygrid.precision    6.24524  NaN      NaN      6.24524  6.24524  6.24524  200000   2595     6.24524 
skygrid.logPopSize1  -1.00159 0.003064 0.124825 -1.00318 -1.25573 -0.77232 312765.4 1659.390 NaN     
skygrid.logPopSize2  -0.97483 0.003084 0.136309 -0.97481 -1.24111 -0.71035 265637.4 1953.790 NaN     
skygrid.logPopSize3  -0.49732 0.002655 0.124643 -0.50079 -0.72437 -0.2411  235462.2 2204.174 NaN     
skygrid.logPopSize4  -0.15429 0.002249 0.102431 -0.15391 -0.34637 0.046804 250256.9 2073.868 NaN     
skygrid.logPopSize5  -0.54400 0.002685 0.120183 -0.54344 -0.78901 -0.31759 259048.2 2003.488 NaN     
skygrid.logPopSize6  -0.05080 0.002944 0.142651 -0.05568 -0.31595 0.233164 220982.1 2348.605 NaN     
skygrid.logPopSize7  0.600542 0.00282  0.13557  0.599229 0.346991 0.864831 224532.8 2311.465 0.584556
skygrid.logPopSize8  0.869862 0.002747 0.118049 0.867689 0.657273 1.110284 281125.2 1846.152 0.861743
skygrid.logPopSize9  0.956263 0.001897 0.068602 0.955883 0.816148 1.079036 396957.2 1307.445 0.953785
skygrid.logPopSize10 0.688995 0.00212  0.079856 0.687202 0.530963 0.836758 365904.6 1418.402 0.684293
skygrid.logPopSize11 0.032557 0.003232 0.112277 0.031746 -0.17770 0.258375 429952.1 1207.111 NaN     
skygrid.logPopSize12 -0.88223 0.00326  0.119476 -0.88194 -1.10986 -0.65182 386357.6 1343.315 NaN     
skygrid.logPopSize13 0.151782 0.002769 0.13175  0.1505   -0.09838 0.406388 229271.3 2263.693 NaN     
skygrid.logPopSize14 0.557737 0.00289  0.10963  0.557512 0.345657 0.773407 360643.6 1439.093 0.546484
skygrid.logPopSize15 0.440221 0.003067 0.105873 0.440385 0.241823 0.651579 435579.7 1191.515 0.426123
skygrid.logPopSize16 0.271608 0.002663 0.106093 0.271427 0.066548 0.481115 327053.5 1586.896 NaN     
skygrid.logPopSize17 0.168069 0.002981 0.112504 0.163614 -0.03636 0.402291 364296.5 1424.663 NaN     
skygrid.logPopSize18 -0.46987 0.00828  0.255849 -0.46671 -0.97190 0.018164 543531.7 954.8661 NaN     
skygrid.logPopSize19 -1.33856 0.007431 0.354453 -1.34086 -2.08155 -0.66593 228088.5 2275.432 NaN     
skygrid.logPopSize20 -1.50992 0.010848 0.512134 -1.51276 -2.54741 -0.55440 232868.1 2228.729 NaN     
skygrid.logPopSize21 -1.50157 0.013491 0.642551 -1.50655 -2.74154 -0.23798 228775.4 2268.600 NaN     
skygrid.logPopSize22 -1.50526 0.0148   0.75393  -1.52196 -2.94339 -0.03376 200000   2595     NaN     
skygrid.logPopSize23 -1.50606 0.016931 0.862479 -1.50061 -3.19654 0.187228 200000   2595     NaN     
skygrid.cutOff       1.833    7.65E-8  2.59E-7  1.833    1.833    1.833    44634536 11.62776 1.833   
kappa                16.92332 0.016904 0.842167 16.89861 15.21265 18.52953 209087.0 2482.219 16.90234
frequencies1         0.327259 7.35E-5  0.003698 0.32727  0.320229 0.334448 205280.9 2528.241 0.327238
frequencies2         0.204147 6.13E-5  0.003125 0.204151 0.197636 0.20977  200000   2595     0.204123
frequencies3         0.245886 6.31E-5  0.003212 0.245903 0.239424 0.251918 200000   2595     0.245865
frequencies4         0.222708 6.55E-5  0.003235 0.222716 0.216609 0.229106 212591.5 2441.301 0.222684
alpha                0.329247 0.000372 0.0183   0.328185 0.293688 0.363561 214578.0 2418.700 0.328741
clock.rate           0.00328  2.26E-6  7.79E-5  0.00328  0.00312  0.003422 437699.7 1185.744 0.003279
meanRate             0.00328  2.26E-6  7.79E-5  0.00328  0.00312  0.003422 437699.7 1185.744 0.003279
treeLikelihood       -62365.2 1.106153 39.79998 -62365.2 -62441.2 -62287.2 400896.3 1294.599 NaN     
branchRates          0        0        0        0        0        0        NaN      NaN      NaN     
skygrid              -4060.65 3.373378 92.82264 -4060.57 -4245.68 -3877.83 685471.4 757.1431 NaN     
