#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2024.110	7.220e+00	3.164e+00	1.647e+01
2024.177	1.610e+01	1.189e+01	2.181e+01
2024.245	1.479e+02	1.281e+02	1.708e+02
2024.312	9.560e+01	7.677e+01	1.191e+02
2024.379	9.098e+01	7.424e+01	1.115e+02
2024.447	2.037e+02	1.746e+02	2.376e+02
2024.514	1.819e+02	1.382e+02	2.395e+02
2024.582	2.607e+02	1.886e+02	3.602e+02
2024.649	2.744e+01	2.056e+01	3.661e+01
2024.717	6.102e+01	5.123e+01	7.267e+01
2024.784	8.632e+01	7.392e+01	1.008e+02
2024.851	1.566e+02	1.387e+02	1.769e+02
2024.919	1.395e+02	1.222e+02	1.593e+02
2024.986	2.082e+03	1.544e+03	2.807e+03
2025.054	1.216e+02	8.316e+01	1.778e+02
2025.121	7.332e+01	5.256e+01	1.023e+02
2025.189	4.253e+01	3.121e+01	5.797e+01
2025.256	3.611e+01	2.824e+01	4.616e+01
2025.323	1.049e+02	8.891e+01	1.238e+02
2025.391	5.796e+01	4.215e+01	7.970e+01
2025.458	2.404e+01	1.703e+01	3.394e+01
2025.526	3.622e+01	2.985e+01	4.395e+01
2025.593	7.000e+01	5.003e+01	9.794e+01
