Step	tdbl
0	1.741
1	1.760
2	1.451
3	1.790
4	1.906
5	1.699
6	1.656
7	2.795
8	1.766
9	1.794
10	2.101
11	1.854
12	1.723
13	1.518
14	1.961
15	1.922
16	1.757
17	1.857
18	1.650
19	1.741
20	1.612
21	1.624
22	1.860
23	1.941
24	1.510
25	1.456
26	2.296
27	2.238
28	1.919
29	1.771
30	1.630
31	1.735
32	1.900
33	2.322
34	1.799
35	1.803
36	1.678
37	1.549
38	1.931
39	1.793
40	1.964
41	1.694
42	1.851
43	1.711
44	1.574
45	1.536
46	1.813
47	1.792
48	1.461
49	1.596
50	1.702
51	1.662
52	2.047
53	1.708
54	1.773
55	1.978
56	1.973
57	1.987
58	1.832
59	2.060
60	1.724
61	1.748
62	1.689
63	2.158
64	1.707
65	1.802
66	2.531
67	1.721
68	1.808
69	1.770
70	1.804
71	1.948
72	1.812
73	1.749
74	1.608
75	1.634
76	1.621
77	1.962
78	1.925
79	2.324
80	1.782
81	1.781
82	1.647
83	1.911
84	1.651
85	1.604
86	1.879
87	1.591
88	1.926
89	1.462
90	2.018
91	1.976
92	1.844
93	1.683
94	1.806
95	1.591
96	1.748
97	1.809
98	1.774
99	1.609
100	1.780
101	1.723
102	2.074
103	2.034
104	1.545
105	1.894
106	2.267
107	1.531
108	1.624
109	1.765
110	1.534
111	2.007
112	1.942
113	1.720
114	1.832
115	1.691
116	1.430
117	1.526
118	1.714
119	1.636
120	1.645
121	1.589
122	1.859
123	1.928
124	1.747
125	1.886
126	1.853
127	1.803
128	1.971
129	1.808
130	1.815
131	1.733
132	1.818
133	1.741
134	1.864
135	1.857
136	1.982
137	1.750
138	2.155
139	1.801
140	1.633
141	2.039
142	1.563
143	1.836
144	1.814
145	1.743
146	1.800
147	1.678
148	1.878
149	2.045
150	2.364
151	2.036
152	2.164
153	2.082
154	2.042
155	1.700
156	1.631
157	2.031
158	1.875
159	1.659
160	2.066
161	2.125
162	1.666
163	1.940
164	1.642
165	1.814
166	1.628
167	1.645
168	1.730
169	1.541
170	1.974
171	2.145
172	1.910
173	1.712
174	2.071
175	1.962
176	1.822
177	2.115
178	2.212
179	1.877
180	1.769
181	1.739
182	1.741
183	1.690
184	1.697
185	1.806
186	2.113
187	1.904
188	1.875
189	1.507
190	1.691
191	1.554
192	1.848
193	1.858
194	1.734
195	2.366
196	1.810
197	1.641
198	1.745
199	2.107
200	1.974
201	1.777
202	1.843
203	1.788
204	1.582
205	1.714
206	1.750
207	1.535
208	1.666
209	1.757
210	1.796
211	2.219
212	1.767
213	1.944
214	1.879
215	2.044
216	1.989
217	1.494
218	1.595
219	1.955
220	1.941
221	1.880
222	2.079
223	1.756
224	1.590
225	1.447
226	1.503
227	1.786
228	1.829
229	1.621
230	1.950
231	1.936
232	1.694
233	1.995
234	1.877
235	1.821
236	2.016
237	1.958
238	1.931
239	2.176
240	2.014
241	2.267
242	1.492
243	1.544
244	1.751
245	1.871
246	1.631
247	1.658
248	1.860
249	2.135
250	2.260
251	1.659
252	2.146
253	1.747
254	1.563
255	1.729
256	2.119
257	2.029
258	1.603
259	1.954
260	1.865
261	1.968
262	1.488
263	1.545
264	1.779
265	1.743
266	1.663
267	1.543
268	1.695
269	1.718
270	1.988
271	2.079
272	1.631
273	1.778
274	1.597
275	1.765
276	1.918
277	1.712
278	1.606
279	1.527
280	1.774
