item                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                              667.1905 0.08973  1.223989 667      665      669      7524497. 186.0722 667.1894
posterior_for_Delphy                 -15918.1 326.8870 19855.67 -17387.4 -52803.5 22926.1  379476.5 3689.555 NaN     
prior_for_Delphy                     33316.21 325.7594 19783.97 31860.1  -3367.85 72098.8  379599.8 3688.357 NaN     
likelihood_really_logG               -49234.3 1.994023 83.54956 -49233.4 -49402.2 -49074   797500.4 1755.610 NaN     
rootHeight                           0.424006 0.000753 0.028744 0.422392 0.368506 0.477325 960025.6 1458.398 0.42305 
age(root)                            2019.928 0.000753 0.028994 2019.93  2019.88  2019.99  944563.9 1482.271 2019.928
treeLength                           22.33928 0.057662 1.044588 22.2974  20.2962  24.4302  4266227. 328.1822 22.31496
exponential.popSize                  6.390692 0.038964 1.186216 6.26349  4.20846  8.78602  1510619. 926.8380 6.284827
exponential.growthRate               11.81044 0.047953 1.421778 11.7954  9.01103  14.586   1592654. 879.0983 11.72416
kappa                                5.310461 0.003933 0.457701 5.28382  4.41543  6.20032  103363.7 13545.37 5.290939
frequencies1                         0.296112 2.8E-5   0.002628 0.296057 0.291195 0.301502 158664.1 8824.301 0.296101
frequencies2                         0.181658 2.25E-5  0.002212 0.181677 0.177406 0.186118 144815.4 9668.170 0.181644
frequencies3                         0.193111 2.26E-5  0.00227  0.193111 0.188612 0.197484 139378.2 10045.32 0.193098
frequencies4                         0.329118 2.89E-5  0.002715 0.329169 0.323976 0.33458  158745.9 8819.751 0.329107
alpha                                0.185302 0.000538 0.032003 0.181412 0.128937 0.250547 395851.8 3536.929 0.182648
clock.rate                           0.001006 2.69E-6  6.28E-5  0.001004 0.000884 0.001133 2568414. 545.1222 0.001004
meanRate                             0.001006 2.69E-6  6.28E-5  0.001004 0.000884 0.001133 2568414. 545.1222 0.001004
age(NC_045512.2|NC_045512.2|2019-12) 0.389363 0.000382 0.023412 0.386411 0.353428 0.4307   372269.6 3760.982 0.388667
treeLikelihood_really_logG           -49234.3 1.994023 83.54956 -49233.4 -49402.2 -49074   797500.4 1755.610 NaN     
branchRates                          0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                           -1108.55 3.442494 62.87408 -1107.62 -1234.28 -986.256 4197222. 333.5777 NaN     
