item                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                              665.4871 0.065011 0.774474 665      664      667      9865435. 141.9197 665.4867
posterior_for_Delphy                 -49072.4 4.468263 90.30319 -49071.9 -49255.7 -48894.8 3427917. 408.4403 NaN     
prior_for_Delphy                     1089.833 3.092652 61.51568 1090.41  961.874  1208.89  3538745. 395.6486 1088.089
likelihood_really_logG               -50162.2 1.470177 30.32782 -50161.7 -50222.2 -50102.3 3290150. 425.5428 NaN     
rootHeight                           0.424814 0.00068  0.028824 0.423284 0.370925 0.481281 779697.0 1795.697 0.423853
age(root)                            2019.927 0.000683 0.029083 2019.93  2019.88  2019.99  771840.4 1813.975 2019.927
treeLength                           22.66832 0.052242 1.033143 22.6378  20.6034  24.7104  3579942. 391.0956 22.64485
exponential.popSize                  6.725697 0.041279 1.258093 6.60215  4.50483  9.30216  1507254. 928.9072 6.612068
exponential.growthRate               11.96785 0.04287  1.4415   11.9194  9.18446  14.8126  1238324. 1130.640 11.88046
kappa                                5.407136 0.003932 0.463911 5.38411  4.53748  6.34571  100583.4 13919.78 5.38735 
frequencies1                         0.29621  2.74E-5  0.002576 0.296226 0.29113  0.30119  158328.8 8842.984 0.296199
frequencies2                         0.181359 2.23E-5  0.002193 0.181358 0.177171 0.18577  144632.8 9680.375 0.181346
frequencies3                         0.192893 2.37E-5  0.002243 0.192909 0.188574 0.197294 156677.0 8936.216 0.19288 
frequencies4                         0.329538 2.9E-5   0.002661 0.329543 0.324254 0.334687 165773.7 8445.847 0.329528
clock.rate                           0.001001 2.4E-6   6.04E-5  0.000999 0.000882 0.00112  2215737. 631.8889 0.000999
meanRate                             0.001001 2.4E-6   6.04E-5  0.000999 0.000882 0.00112  2215737. 631.8889 0.000999
age(NC_045512.2|NC_045512.2|2019-12) 0.389812 0.000369 0.023399 0.387507 0.353439 0.431056 348783.3 4014.239 0.389116
treeLikelihood_really_logG           -50162.2 1.470177 30.32782 -50161.7 -50222.2 -50102.3 3290150. 425.5428 NaN     
branchRates                          0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                           -1129.44 3.08935  61.45088 -1128.88 -1257.33 -1010.49 3538645. 395.6598 NaN     
