# BEAST v10.5.0
# Generated Thu Oct 16 11:47:16 UTC 2025 [seed=1760615233006]
# -beagle -working beastX_run_alpha_b/ebola_dudas_alpha.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-239139.5769265591	-63117.2631873115	-176022.3137392476	186.06438881973185	1829.7465711802681	1980.1457132642117	12.4882	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.001	9.999999999999972E-4	-176022.3137392476	0.0	-63106.74075249191
200000	-89571.12956244685	-12548.551850094555	-77022.5777123523	256.8752051711117	1758.9357548288883	6157.6684829762935	12.4882	5.424078582294498	5.242456501540686	5.611668779621785	5.409567033126113	5.212661212766935	5.5342240527091136	5.620185063975539	5.7064732202728665	6.1338742896578555	6.842879867976837	7.524897158924006	8.099331125355729	8.623744500378484	9.025537481635995	9.851913511343975	9.647015428529466	9.952749529909067	9.982532956660641	10.041280738129048	10.116951219263575	10.360185946038493	9.810058882429452	9.22610997494785	8.4250472754732	6.639606530870505	2.0	10.239316925196045	0.3106419487261743	0.22111989091713927	0.19655506075166934	0.27168309960501696	0.03597570453618894	6.591475415913707E-5	6.591475415913711E-5	-77022.5777123523	0.0	-12536.827634916608
400000	-78084.93324069331	-12403.109243145138	-65681.82399754817	235.45129368773183	1780.3596663122682	6298.924442697205	12.4882	3.90996891416669	3.764164506097014	3.6061525417183344	3.5881845560028185	3.324249665422334	3.8556459185320167	4.470435506559332	4.771205294093504	5.560226071649623	6.4993212397821845	6.69823226092284	7.549440267781042	7.927369087536225	8.942813796456237	9.162434763747815	10.066201155815723	10.246147434896475	10.160036249394144	10.259739890131078	10.019815782541787	10.135069632013368	9.658474807275036	8.640422205176355	7.5397096393082	6.761610529116666	2.0	10.873182094382374	0.3117328753347361	0.22003175372824865	0.19850728923909391	0.269728081697921	0.013035745464931468	3.576645392213405E-5	3.576645392213396E-5	-65681.82399754817	0.0	-12391.295766802461
600000	-73903.53278911389	-12293.060517510303	-61610.47227160359	200.3684136603324	1815.4425463396676	6258.10437509856	12.4882	3.9939828925842633	3.702275895369885	4.011313157846601	4.084565914507716	4.241556110814539	3.9740347024002567	3.8796594021170874	4.729148278742604	5.145865782064778	5.34340437977974	5.875035946220224	7.253328667025253	7.832370994491428	8.599413511307834	8.95155410296039	9.082418896016426	9.115814409849749	9.624466144969764	10.147646982680893	9.790304720497664	9.50888444656968	9.070251007026949	8.689867112270731	7.83946047636262	6.795287162489622	2.0	10.524654183235711	0.31254747278126727	0.21868606563746734	0.19712118753599323	0.27164527404527183	0.002887698564116232	3.06101007083934E-5	3.061010070839335E-5	-61610.47227160359	0.0	-12281.31833345845
800000	-71995.47647807574	-12116.672017643337	-59878.8044604324	176.63423131945606	1839.1767286805439	6064.283464142992	12.4882	2.7591904140730783	2.992808631597598	2.8016263694369776	2.7062197276509816	3.1424446114149096	3.3839108522601253	3.75783798837257	4.27575444505282	5.07758239587989	5.555519461794157	6.489009660968376	7.020839428311558	8.09838820653162	8.579782337532787	9.133307711302901	9.541903837356084	9.732853735169954	9.889981288636116	10.234699708353292	9.992182764492592	9.619232432533089	9.003840587203465	8.357232417464143	7.726320215882446	6.715707670754763	2.0	10.252027114018706	0.31002330559164915	0.21379981834306455	0.2022007060779607	0.27397616998732544	0.007909472814305468	2.9626221441455464E-5	2.962622144145544E-5	-59878.8044604324	0.0	-12104.97357470186
1000000	-70600.52558003431	-11835.265884075652	-58765.259695958666	162.81089491842852	1853.0000650815714	5649.750474655263	12.4882	2.651861196484257	2.3378420940364357	2.3456239535647363	2.8102636852167224	3.08659394533526	2.884255586769503	2.764772957812879	3.7346174841426265	4.492098277544866	5.197003392505688	6.12833881012905	6.9016631344082775	7.398939231240509	8.385563376928332	9.150738605685044	9.423882632547643	9.338427519488732	9.712733224382077	9.630595638976338	9.200283878222212	9.103429165419428	9.097233758434687	8.797862185429436	7.796544350328456	6.63885318342614	2.0	10.553744696528153	0.30912444074223316	0.22367747066945828	0.1958883634038063	0.2713097251845019	0.019946343578310485	2.831954792050626E-5	2.831954792050629E-5	-58765.259695958666	0.0	-11823.50148731421
1200000	-69562.63894162996	-11458.935889870634	-58103.70305175932	136.10746191488758	1879.7034980851124	4917.301150803362	12.4882	2.908895730326343	3.339956742181697	2.9191624980727364	3.046296174598028	3.161551593247089	3.1297047591403495	3.5354070784277924	3.6502473846918866	4.1105177110691224	4.915283309387164	5.462299077218228	6.406222195064633	7.371370635382671	8.251041943589092	9.033778126684302	9.55689641697247	10.166433488495791	9.737368437922536	9.851174568250235	9.86941435008249	9.668856227653068	9.352737202668873	8.577717104283623	7.640604477561286	6.398998758470748	2.0	10.18980540473485	0.31278050815229486	0.21793342342144634	0.20168582981840982	0.2676002386078485	0.0030942846479474614	3.099733973012714E-5	3.099733973012716E-5	-58103.70305175932	0.0	-11447.253509977709
1400000	-69146.47223008516	-11344.326312329365	-57802.14591775579	109.44258492220874	1906.3683750777914	4445.9508247874255	12.4882	1.5181854935079455	1.673504509053873	2.1806466581776647	2.688723626657315	2.9997926723258956	2.648471165185953	2.877765978996156	3.7882237836952717	4.430906495468637	4.94732652499243	5.71492030333361	6.954880619452326	7.588448821626737	8.3291719490521	8.587640419673665	8.913809730823019	9.01628882599113	9.236564200541647	9.099581606842664	8.815979807264641	8.27295936151222	8.193164372371966	8.176137744828	7.375515883811201	6.260050086878091	2.0	10.529744100184269	0.31525019451756814	0.21754036037223054	0.1990940659963722	0.2681153791138287	0.002986671036187878	3.429948104579915E-5	3.429948104579909E-5	-57802.14591775579	0.0	-11332.583126832073
1600000	-68530.1024509691	-10953.56049625833	-57576.54195471078	85.78575667561691	1930.025203324383	3741.2665739368763	12.4882	2.220981952751178	2.347393427634948	2.478710873665376	2.3002088042719415	2.647565193355416	2.6160912125409697	2.880679399269682	3.665960109357344	4.409394053988815	4.842508988664317	5.422570069015447	6.004861994158572	6.889468135354502	7.887436225409963	7.974739535621779	8.080603683398168	8.329152569439662	8.592148288606248	8.59952892035528	8.721720341592006	8.431541321505124	8.269332955320715	7.806380631852419	7.2191568390342	5.9541716745260675	2.0	10.411790890602932	0.3090212660792373	0.2234761295495314	0.2005571923372816	0.26694541203394945	0.1806535145133565	4.161402378345741E-5	4.1614023783457285E-5	-57576.54195471078	0.0	-10941.660631802779
1800000	-67936.04802838345	-10534.283108650818	-57401.76491973263	51.444822387383034	1964.366137612617	3029.2670652897664	12.4882	2.0163217123258974	2.0864992438157857	2.3813022818694174	2.478090469185593	2.5254812537503386	2.562848818139294	3.0383203722801406	3.5290649265993492	4.19774271770094	4.4543784457286595	5.112067980459915	5.614083579393316	6.847730558371785	7.437385947352281	7.924046672629819	8.417036801933532	8.746902012072601	8.757267958913488	8.626651685713401	8.111273525646169	8.201129576606446	8.19628581414725	7.733941612633357	7.1680813064869	5.711040058533126	2.0	9.512621854509952	0.30589398507056736	0.21729267802572186	0.20669610261616825	0.2701172342875423	0.2113604091409146	5.079549962029315E-5	5.0795499620293194E-5	-57401.76491973263	0.0	-10522.517874016243
2000000	-67279.51010810382	-10041.597792653229	-57237.91231545059	28.162675070465422	1987.6482849295346	2378.497272624576	12.4882	1.7859137084136396	2.1035924786134412	2.4020196563374427	2.2857419177933513	2.7500755384135287	2.520390952942375	2.6348179548539585	3.544903293850624	3.7814245725207907	4.074199680022099	4.860512952162554	5.359494069273447	6.307935251211356	7.037232412919353	7.263047569732303	7.889662328390834	8.015567503870981	8.224885980737557	8.326990973959488	8.27624733716039	8.228776624199996	7.771857335125327	7.051310201127493	6.311988184745638	5.323696565829689	2.0	10.243863121115353	0.30774430741913394	0.22292511855199426	0.203209201144279	0.26612137288459237	0.23520776575272564	6.314383699797728E-5	6.314383699797721E-5	-57237.91231545059	0.0	-10029.67352468125
