replicate	num_mutations
sim_000	516
sim_001	478
sim_002	471
sim_003	726
sim_004	526
sim_005	529
sim_006	547
sim_007	478
sim_008	568
sim_009	671
sim_010	504
sim_011	459
sim_012	533
sim_013	486
sim_014	499
sim_015	452
sim_016	434
sim_017	741
sim_018	1143
sim_019	532
sim_020	601
sim_021	549
sim_022	482
sim_023	595
sim_024	656
sim_025	564
sim_026	638
sim_027	423
sim_028	662
sim_029	554
sim_030	415
sim_031	570
sim_032	413
sim_033	570
sim_034	653
sim_035	647
sim_036	666
sim_037	439
sim_038	657
sim_039	557
sim_040	498
sim_041	610
sim_042	404
sim_043	528
sim_044	565
sim_045	624
sim_046	483
sim_047	476
sim_048	461
sim_049	422
sim_050	579
sim_051	580
sim_052	527
sim_053	436
sim_054	438
sim_055	463
sim_056	481
sim_057	596
sim_058	646
sim_059	509
sim_060	649
sim_061	628
sim_062	427
sim_063	542
sim_064	488
sim_065	655
sim_066	605
sim_067	631
sim_068	532
sim_069	401
sim_070	617
sim_071	750
sim_072	665
sim_073	413
sim_074	746
sim_075	494
sim_076	602
sim_077	525
sim_078	438
sim_079	649
sim_080	508
sim_081	494
sim_082	763
sim_083	576
sim_084	642
sim_085	643
sim_086	425
sim_087	439
sim_088	501
sim_089	607
sim_090	845
sim_091	519
sim_092	355
sim_093	733
sim_094	530
sim_095	529
sim_096	648
sim_097	589
sim_098	851
sim_099	864
sim_100	672
sim_101	710
sim_102	600
sim_103	589
sim_104	476
sim_105	529
sim_106	556
sim_107	616
sim_108	617
sim_109	597
sim_110	571
sim_111	393
sim_112	548
sim_113	580
sim_114	564
sim_115	545
sim_116	521
sim_117	385
sim_118	489
sim_119	872
sim_120	490
sim_121	462
sim_122	444
sim_123	441
sim_124	508
sim_125	426
sim_126	643
sim_127	473
sim_128	498
sim_129	486
sim_130	652
sim_131	577
sim_132	405
sim_133	554
sim_134	387
sim_135	549
sim_136	417
sim_137	669
sim_138	574
sim_139	1079
sim_140	508
sim_141	494
sim_142	557
sim_143	660
sim_144	560
sim_145	754
sim_146	697
sim_147	479
sim_148	575
sim_149	495
sim_150	553
sim_151	573
sim_152	832
sim_153	572
sim_154	640
sim_155	608
sim_156	432
sim_157	495
sim_158	534
sim_159	544
sim_160	575
sim_161	634
sim_162	609
sim_163	551
sim_164	616
sim_165	667
sim_166	587
sim_167	374
sim_168	467
sim_169	505
sim_170	742
sim_171	462
sim_172	562
sim_173	502
sim_174	411
sim_175	535
sim_176	458
sim_177	487
sim_178	603
sim_179	595
sim_180	516
sim_181	437
sim_182	564
sim_183	582
sim_184	544
sim_185	509
sim_186	433
sim_187	704
sim_188	683
sim_189	570
sim_190	497
sim_191	446
sim_192	779
sim_193	432
sim_194	475
sim_195	551
sim_196	626
sim_197	509
sim_198	749
sim_199	524
