# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/h5n1-andersen-e756a15-ALL_full_dates_only_b.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/h5n1-andersen-e756a15-ALL_full_dates_only_b.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/h5n1-andersen-e756a15-ALL_full_dates_only_b.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	6128	-222157	-106446	-115712	3.94268	2021.65	969.707	0	6.24524	1.93306	1.68306	1.31165	1.61272	1.44066	1.31182	1.59847	1.58214	1.3626	1.15543	1.24716	0.723639	1.22609	1.395	1.55228	1.09228	1.35203	1.54099	0.595485	0.265565	-0.424962	0.144577	-0.433657	1.833	1	0.32666	0.197929	0.248249	0.227162	0.001	0.001	-115712	0.0	-89683.3	
2000000	5162	-122725	-30046.3	-92678.2	4.4434	2021.15	522.402	0	6.24524	2.05676	1.90113	1.64319	2.41342	2.26931	2.19527	2.24435	2.22471	3.29755	3.30525	3.5433	3.00018	3.16561	3.55935	3.84129	3.2666	3.89182	4.22763	3.53397	3.17622	3.2146	2.9128	2.91998	1.833	17.703	0.323058	0.207562	0.246993	0.222386	0.000728871	0.000728871	-92678.2	0.0	-13280.1	
4000000	4946	-116655	-28220.7	-88434.6	4.12148	2021.47	396.75	0	6.24524	0.563432	1.27891	0.751128	1.73799	1.93127	1.74297	2.0037	1.9127	2.65887	2.90876	3.00799	2.45847	2.28231	3.09257	3.46269	2.77297	3.59019	3.81262	3.01526	2.86556	3.14979	2.8688	2.11009	1.833	16.0535	0.320252	0.208208	0.248718	0.222822	0.000926148	0.000926148	-88434.6	0.0	-11454.7	
6000000	4868	-113293	-26930.9	-86362.2	4.02634	2021.57	320.825	0	6.24524	-0.0637202	0.37467	0.759926	1.48996	1.19276	1.56476	1.49992	1.9089	2.25173	2.59908	2.57185	1.97462	2.18328	2.54716	3.23405	2.24852	3.10202	3.14023	2.37047	3.08492	2.96722	1.95641	1.56514	1.833	17.5375	0.323209	0.203661	0.249035	0.224095	0.00112073	0.00112073	-86362.2	0.0	-10164.7	
8000000	4806	-110149	-25685.1	-84463.7	3.3271	2022.27	255.797	0	6.24524	-0.343112	-0.010993	0.513787	1.41303	0.901876	0.699596	1.34457	1.42262	1.99757	2.23398	2.47539	1.31723	1.51234	1.96978	2.8371	1.79314	2.6743	2.60467	1.97256	2.28494	1.9707	2.02489	1.35031	1.833	17.0041	0.328642	0.206477	0.247713	0.217168	0.00138849	0.00138849	-84463.7	0.0	-8918.99	
10000000	4756	-108002	-24870	-83131.7	3.06098	2022.53	221.131	0	6.24524	-0.466947	-0.236842	0.387572	1.00878	0.712168	0.83253	1.5888	1.41979	1.84775	1.94175	2.0136	0.950326	1.40701	1.71122	2.53712	1.42132	2.06019	2.33777	1.85626	2.22565	1.39003	1.14528	0.824549	1.833	19.6883	0.327354	0.207615	0.242817	0.222214	0.00162243	0.00162243	-83131.7	0.0	-8103.53	
12000000	4713	-106490	-24399.4	-82090.9	2.76663	2022.83	198.886	0	6.24524	-0.526157	-0.356082	0.422179	0.693358	0.593004	0.607901	0.9853	1.48596	1.75051	1.83846	1.80189	0.799734	0.995122	1.49705	2.30002	1.25055	1.94106	1.94803	1.91928	1.71593	1.83082	1.0831	-0.0582781	1.833	17.9636	0.325319	0.209824	0.24874	0.216117	0.00178374	0.00178374	-82090.9	0.0	-7633.18	
14000000	4688	-105202	-23877.3	-81324.4	2.86076	2022.73	180.412	0	6.24524	-0.618883	-0.385719	0.230376	0.363137	0.311024	0.324038	0.944373	1.49634	1.62833	1.63145	1.68701	0.508976	0.954504	1.29118	1.96705	1.02206	1.8826	1.87104	1.35068	1.399	1.4782	0.39655	0.423562	1.833	17.8884	0.328014	0.204161	0.245693	0.222132	0.0019316	0.0019316	-81324.4	0.0	-7111.01	
16000000	4674	-104211	-23454.3	-80756.5	2.62291	2022.97	165.862	0	6.24524	-0.650801	-0.587279	0.149567	0.524168	0.227811	0.325304	0.881165	1.46914	1.48141	1.51486	1.56191	0.393114	1.09269	1.10972	1.61089	0.8446	1.67024	1.53871	1.02168	1.14762	1.16404	0.619715	0.31806	1.833	17.2693	0.327968	0.202537	0.248983	0.220512	0.00210156	0.00210156	-80756.5	0.0	-6688.12	
18000000	4651	-103183	-23058.7	-80124.5	2.52301	2023.07	153.602	0	6.24524	-0.881794	-0.810367	-0.00124375	0.518488	-0.0694169	0.272622	0.808218	1.43465	1.44741	1.52948	1.45087	-0.0323593	0.755856	1.27383	1.47225	0.683827	1.56111	1.64661	0.759025	0.418669	0.50213	-0.297738	-0.0669361	1.833	18.0093	0.32499	0.200641	0.253548	0.220821	0.00223461	0.00223461	-80124.5	0.0	-6292.41	
