item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    4346.622 0.099263 2.315827 4346     4343     4351     25724780 544.3000 4346.622
posterior_for_Delphy       -95424.7 4.388918 150.6416 -95423.8 -95725.9 -95140.9 11885423 1178.081 NaN     
prior_for_Delphy           -20821.5 2.624924 89.17887 -20822.5 -20987.1 -20641.7 12131078 1154.225 NaN     
likelihood_really_logG     -74603.1 1.929168 65.98771 -74602.7 -74729.1 -74472.1 11967519 1170.000 NaN     
rootHeight                 1.612132 0.000629 0.035512 1.60844  1.54616  1.68145  4398290. 3183.509 1.611744
age(root)                  2023.981 0.000627 0.035484 2023.98  2023.91  2024.04  4372712. 3202.131 2023.981
treeLength                 102.3901 0.046144 1.483423 102.368  99.5674  105.323  13548323 1033.485 102.3793
skygrid.isloglinear        0        0        0        0        0        0        NaN      NaN      NaN     
skygrid.precision          6.24524  9.45E-7  2.31E-6  6.24524  6.24524  6.24524  23357673 5.994604 6.24524 
skygrid.logPopSize1        -1.02468 0.002155 0.129025 -1.02486 -1.27754 -0.77737 3905437. 3585.257 NaN     
skygrid.logPopSize2        -1.00173 0.002266 0.142023 -1.00122 -1.28174 -0.72489 3564346. 3928.349 NaN     
skygrid.logPopSize3        -0.51026 0.001818 0.126602 -0.51226 -0.75816 -0.26027 2888427. 4847.619 NaN     
skygrid.logPopSize4        -0.14375 0.001797 0.105726 -0.14510 -0.35112 0.063154 4045426. 3461.192 NaN     
skygrid.logPopSize5        -0.56354 0.001981 0.124505 -0.56482 -0.80168 -0.31480 3545812. 3948.883 NaN     
skygrid.logPopSize6        -0.05360 0.001867 0.145269 -0.05415 -0.34929 0.22363  2312309. 6055.418 NaN     
skygrid.logPopSize7        0.594793 0.001804 0.137318 0.593095 0.330485 0.865055 2417708. 5791.434 0.577904
skygrid.logPopSize8        0.857351 0.001837 0.12228  0.855223 0.630631 1.11376  3158668. 4432.880 0.848545
skygrid.logPopSize9        0.967076 0.001387 0.070088 0.967078 0.831466 1.10529  5484007. 2553.242 0.964527
skygrid.logPopSize10       0.693194 0.001739 0.080336 0.692096 0.544387 0.859616 6563131. 2133.432 0.688453
skygrid.logPopSize11       0.052681 0.002518 0.11255  0.05121  -0.16738 0.273767 7006051. 1998.557 NaN     
skygrid.logPopSize12       -0.92690 0.00314  0.127126 -0.92643 -1.17715 -0.68193 8541628. 1639.265 NaN     
skygrid.logPopSize13       0.138116 0.001912 0.133541 0.13717  -0.11248 0.417657 2869040. 4880.377 NaN     
skygrid.logPopSize14       0.585937 0.001861 0.109984 0.584784 0.364462 0.795458 4009194. 3492.472 0.575182
skygrid.logPopSize15       0.432882 0.001949 0.104061 0.43294  0.225165 0.628225 4910471. 2851.457 0.419319
skygrid.logPopSize16       0.276097 0.001736 0.108751 0.273107 0.06055  0.484351 3569462. 3922.719 NaN     
skygrid.logPopSize17       0.170804 0.00233  0.116902 0.168764 -0.06497 0.393985 5563577. 2516.725 NaN     
skygrid.logPopSize18       -0.43410 0.008357 0.270974 -0.42432 -0.98002 0.080394 13319253 1051.260 NaN     
skygrid.logPopSize19       -1.34570 0.006022 0.361603 -1.35037 -2.06064 -0.64110 3883225. 3605.765 NaN     
skygrid.logPopSize20       -1.51307 0.009358 0.528678 -1.52196 -2.54385 -0.47225 4387369. 3191.433 NaN     
skygrid.logPopSize21       -1.52529 0.013286 0.674791 -1.52476 -2.78786 -0.16169 5428386. 2579.403 NaN     
skygrid.logPopSize22       -1.51783 0.015889 0.789932 -1.51561 -3.08559 -0.01525 5665386. 2471.499 NaN     
skygrid.logPopSize23       -1.52646 0.017144 0.892748 -1.52151 -3.37496 0.111565 5163382. 2711.788 NaN     
skygrid.cutOff             1.833    NaN      NaN      1.833    1.833    1.833    2000000  7001     1.833   
kappa                      16.83996 0.010195 0.841566 16.8027  15.2162  18.5182  2054907. 6813.930 16.81900
frequencies1               0.325546 4.24E-5  0.00355  0.325588 0.318562 0.332371 2000000  7001     0.325526
frequencies2               0.205219 3.64E-5  0.003046 0.20518  0.19937  0.211172 2000000  7001     0.205196
frequencies3               0.246574 3.82E-5  0.003191 0.246573 0.240202 0.25275  2002946. 6990.702 0.246554
frequencies4               0.222661 3.88E-5  0.003205 0.222641 0.216351 0.228881 2054117. 6816.552 0.222638
clock.rate                 0.003233 1.59E-6  6.77E-5  0.003232 0.003104 0.00337  7716389. 1814.579 0.003232
meanRate                   0.003233 1.59E-6  6.77E-5  0.003232 0.003104 0.00337  7716389. 1814.579 0.003232
treeLikelihood_really_logG -74603.1 1.929168 65.98771 -74602.7 -74729.1 -74472.1 11967519 1170.000 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
skygrid                    -4055.45 2.624876 89.17668 -4056.3  -4221.13 -3875.67 12131235 1154.210 NaN     
