group_num	group	label	fingerprint	size	support_a	support_b	date_a	date_b	core_size	extra_count	extra_tips
1	1463-1465	X_1	3056168053120098155	1465	0.9971	0.8545	2014.3288	2014.2917	1463	2	EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13,EBOV-EM_080223-KR817241-LBR-?|2014-07-04
1	1463-1465	X_2	615860167271339789	1464	0.1484	0.0000	2014.3344		1463	1	EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13
1	1463-1465	X_3	4208303076419715594	1464	0.0357	1.0000	2014.3338	2014.3311	1463	1	EBOV-EM_080223-KR817241-LBR-?|2014-07-04
1	1463-1465	X_4	1766726551689611884	1463	0.0043	0.1255	2014.3205	2014.3348	1463	0	
2	1098-1100	Y_1	1133435413859384573	1100	0.0742	0.9929	2014.3678	2014.3655	1098	2	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04
2	1098-1100	Y_2	3210674569445890789	1099	0.1840	0.0000	2014.3677		1098	1	EBOV-1283--GIN-Coyah|2014-10-04
2	1098-1100	Y_3	11774686227717232978	1098	0.7332	0.0000	2014.3664		1098	0	
3	752-755	Z_1	14832638268288838707	755	0.0000	0.1098		2014.4126	752	3	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04,EBOV-G3855.2-KR105203-SLE-Kenema|2014-06-17
3	752-755	Z_2	15512943217666836143	755	0.0000	0.3652		2014.4154	752	3	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04,EBOV-G4200.1-KR105217-SLE-Kenema|2014-07-08
3	752-755	Z_3	9406187989066844029	754	0.0000	0.4494		2014.4161	752	2	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04
3	752-755	Z_4	8906950833791099648	753	0.3524	0.0000	2014.4165		752	1	EBOV-G4200.1-KR105217-SLE-Kenema|2014-07-08
3	752-755	Z_5	3340453893401912018	752	0.4750	0.0014	2014.4174	2014.4343	752	0	
4	364-367		9872354496638338617	367	0.1155	0.0000	2014.3417		364	3	EBOV-1100--GIN-Conakry|2014-09-23,EBOV-1283--GIN-Coyah|2014-10-04,EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13
4	364-367		3881013095463780087	364	0.0071	0.1526	2014.3487	2014.3445	364	0	
5	196-199		16577158645736831535	199	0.5050	0.6120	2014.6838	2014.6820	196	3	EBOV-12004_EMLH-KU296302-SLE-WesternRural|2015-02-14,EBOV-77549_EMLK-KU296293-SLE-|2015-01-01,EBOV-DML12239-KT357820-SLE-WesternUrban|2015-03-09
5	196-199		9198657040926147	198	0.4722	0.2454	2014.6843	2014.6812	196	2	EBOV-12004_EMLH-KU296302-SLE-WesternRural|2015-02-14,EBOV-DML12239-KT357820-SLE-WesternUrban|2015-03-09
5	196-199		17418391734040561670	196	0.0428	0.1484	2014.6921	2014.6814	196	0	
6	121		10548054779060296740	121	0.8046	0.9715	2014.9594	2014.9606	121	0	
7	98-99		4447219095910781874	99	0.0713	0.1954	2014.5514	2014.5531	98	1	EBOV-G5304.1-KR105304-SLE-?|2014-08-28
7	98-99		15555797596510343835	98	0.9401	0.7903	2014.5603	2014.5608	98	0	
8	79		17057236104242916234	79	0.2725	0.1469	2014.5890	2014.5874	79	0	
9	68-69		1634845291636539159	69	0.0000	0.1854		2015.0345	68	1	EBOV-12242_EMLH-KU296604-SLE-WesternUrban|2015-02-28
9	68-69		18154788691811049845	68	0.1512	0.0014	2015.0345	2015.0271	68	0	
10	66-67		10903448095656678757	67	0.3795	0.2468	2015.1613	2015.1600	66	1	EBOV-14743_EML-KU296298-SLE-Kambia|2015-04-19
10	66-67		14847611861977643113	66	0.1270	0.2611	2015.1686	2015.1684	66	0	
11	54		15942214614076211950	54	0.2197	0.0699	2015.0509	2015.0501	54	0	
12	44-47		1062513838878890208	47	0.1127	0.0000	2015.0451		44	3	EBOV-12242_EMLH-KU296604-SLE-WesternUrban|2015-02-28,EBOV-DML12260-KT357821-SLE-WesternUrban|2015-03-09,EBOV-KT5858-KU296754-SLE-|2015-03-10
12	44-47		6994302683409077455	45	0.3951	0.0029	2015.0449	2015.0464	44	1	EBOV-12242_EMLH-KU296604-SLE-WesternUrban|2015-02-28
12	44-47		10111186146990148269	44	0.0000	0.5107		2015.0465	44	0	
13	43-44		18265302746859495187	44	0.1641	0.3994	2015.2602	2015.2570	43	1	EBOV-14846_EMLK-KU296831-SLE-Kambia|2015-04-29
13	43-44		5540382780607323131	43	0.3338	0.1427	2015.2811	2015.2845	43	0	
14	36-39		8967692053396581725	39	0.0000	0.2853		2015.0645	34	5	EBOV-12242_EMLH-KU296604-SLE-WesternUrban|2015-02-28,EBOV-DML12260-KT357821-SLE-WesternUrban|2015-03-09,EBOV-KT5858-KU296754-SLE-|2015-03-10,EBOV-PL5019-KU296627-SLE-PortLoko|2015-03-19,EBOV-PL5202-KU296396-SLE-PortLoko|2015-03-23
14	36-39		10462217531447964479	38	0.1298	0.0014	2015.0691	2015.0800	34	4	EBOV-DML12260-KT357821-SLE-WesternUrban|2015-03-09,EBOV-KT5858-KU296754-SLE-|2015-03-10,EBOV-PL5019-KU296627-SLE-PortLoko|2015-03-19,EBOV-PL5202-KU296396-SLE-PortLoko|2015-03-23
14	36-39		14808861807740213962	36	0.3352	0.0029	2015.0673	2015.0777	34	2	EBOV-DML12260-KT357821-SLE-WesternUrban|2015-03-09,EBOV-KT5858-KU296754-SLE-|2015-03-10
14	36-39		18347467960536874768	36	0.1113	0.0000	2015.0671		34	2	EBOV-PL5019-KU296627-SLE-PortLoko|2015-03-19,EBOV-PL5202-KU296396-SLE-PortLoko|2015-03-23
15	25-27		11083715941433763484	27	0.9629	0.0000	2014.4714		25	2	EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13,EBOV-EM_079388-KR817178-GIN-Macenta|2014-07-30
15	25-27		9934396604235578365	26	0.4051	1.0000	2014.4911	2014.4954	25	1	EBOV-EM_079388-KR817178-GIN-Macenta|2014-07-30
15	25-27		14617645963812988143	26	0.2411	0.0000	2014.4879		25	1	EBOV-EM_000500-KR817076-GIN-Macenta|2014-09-13
15	25-27		15767975794603620750	25	0.4622	0.5934	2014.5217	2014.5259	25	0	
16	24-25		8895148976323655982	25	0.0599	0.1940	2014.5994	2014.5975	24	1	EBOV-J0037-KP759615-SLE-PortLoko|2014-10-03
16	24-25		11092109614696302378	24	0.0599	0.1926	2014.6206	2014.6186	24	0	
17	21		6458870891370304740	21	0.0029	0.1198	2014.3184	2014.3265	21	0	
