bin_lo	bin_hi	total	true_hits	fraction
0	5	1886235	11250	0.005964262141249632
5	10	92933	6564	0.07063153024221751
10	15	45352	5623	0.12398571176574352
15	20	25453	4310	0.1693317094252151
20	25	16205	3701	0.22838630052452946
25	30	11219	3068	0.2734646581691773
30	35	8016	2551	0.31823852295409183
35	40	5675	2086	0.3675770925110132
40	45	4289	1821	0.42457449288878524
45	50	3233	1502	0.46458397772966287
50	55	2575	1352	0.5250485436893204
55	60	2142	1236	0.5770308123249299
60	65	1768	1095	0.619343891402715
65	70	1428	979	0.6855742296918768
70	75	1351	954	0.7061435973353072
75	80	1177	924	0.7850467289719626
80	85	1026	842	0.8206627680311891
85	90	970	846	0.8721649484536083
90	95	1027	947	0.9221032132424537
95	100	39041	38985	0.9985656105120259
