replicate	mu	alpha	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.0010784793882237173	0.7244300498946764	2.455990573894862	1.7907172183180315	15.468220853795607	0.7072351629782143	0.06519427184768105	0.19036966344007542	0.037200901734029235	1.233024670859966
sim_001	0.0010765709268539753	0.7869026427355117	2.3525409456445674	2.077890215838661	1.6572246011750438	0.11483437716467297	0.0034521907990858617	0.3209015189290259	0.5608119131072153	1.6567821240038876
sim_002	0.0011478063094495067	0.3206989181280157	2.575070921539115	2.1647050079278745	1.7110609565829156	0.08807820154302887	0.6081748250649514	0.031418407028641376	0.2723285663633784	1.5859175168481605
sim_003	0.0010785218483827953	1.34176353815678	2.933229031924315	2.049891449593537	1.0985070465599	0.2109092372186202	0.004762608476551228	0.548796010276887	0.23553214402794162	1.4647191397773174
sim_004	0.0010715237265140909	0.12048062875484755	3.020607812276019	2.3882737371955063	18.949240614778155	0.0030829829808223437	0.28420738545356705	0.19760272591391062	0.5151069056516999	1.2575628793503333
sim_005	0.0009034285389497078	0.6920203094388439	3.447398535461118	1.889759052491456	0.35683327265034265	0.004888534383987861	0.03476597565764003	0.4612608814920483	0.4990846084663238	1.4776706202386012
sim_006	0.0009512027544141046	0.6756164159219671	1.923221647741844	2.055187056420616	1.2440670466934687	0.01112138180092583	8.941345718384995e-06	0.041151205264226436	0.9477184715891293	1.1075099083802113
sim_007	0.0009463918767986734	1.0803064111624818	2.601411972600999	1.6951692204228683	6.4532442520526505	0.14577900149860532	0.17748747553630853	0.49765048068211193	0.1790830422829742	1.1796096113250687
sim_008	0.0011696404217513175	0.6729214283428947	2.419978325009248	2.0843723650653105	0.8637495807362505	0.06316575985847668	0.6535384241593033	0.24610563468932914	0.03719018129289083	1.1775968465085767
sim_011	0.0010245308364927222	0.7681104835713926	2.6749908190967795	1.8747508531849832	1.6780638277978597	0.2930698905852704	0.15387362905515803	0.4413776352769922	0.11167884508257944	1.4313930239424513
sim_012	0.0009322285236978595	0.6745589626703896	2.740213181054492	1.9345475707808446	5.82467859242769	0.41628067724542567	0.21293475363974462	0.3406402708058864	0.03014429830894344	1.6419793116358277
sim_013	0.001009085408136991	0.3542431849728927	2.358074596093421	1.9709700558069483	0.2960415792791882	0.020397243871590188	0.42469559383286853	0.10869482810012851	0.44621233419541284	1.259324440277345
sim_014	0.0010688778062432525	0.4182217314630304	2.229388362847938	2.0600887708900997	3.167175847027398	0.1527356833851484	0.07376043838186266	0.5081024254189059	0.2654014528140831	1.2998909915392909
sim_015	0.000996845954068124	0.491359986381774	2.620587259826356	1.9065462884918798	3.6199284019327296	0.6198593251539151	0.036822109603711774	0.03883042666450699	0.30448813857786616	1.4574787501606297
sim_016	0.0009399469674321507	0.5774503993756053	2.7464769480386	1.9991816936570992	0.6951874764543738	0.01163636040549548	0.8842598179975354	0.0318884542064314	0.07221536739053794	1.4980649096765735
sim_017	0.0009729059910729537	0.3078962340531486	3.3542554518257153	2.139283019866099	4.620126190869542	0.2834927294904502	0.30284365552315085	0.2753271965258643	0.13833641846053465	1.475118476648856
sim_018	0.0008738605450258744	0.9326590982756751	3.1280178030733565	1.9177369852612762	11.502583614492014	0.12860535446208074	0.013064695890323904	0.6069694418315145	0.25136050781608094	1.4731561359494296
sim_020	0.0010434777481023697	1.805367947395279	1.7709308943150508	1.8728133631238655	13.170146527132518	0.4932369866029135	0.22907739471819583	0.1720553817141743	0.10563023696471632	1.2907248176596833
sim_021	0.0009510792836928466	0.28792740369276043	3.5325129139896188	1.93601466251124	21.691618481574757	0.2340261622833909	0.08539784874168724	0.058275735099281946	0.6223002538756398	1.6713183536715042
