Observable	Low_ESS_runs	Very_low_ESS_runs	N	Low_frac	Very_low_frac	Mean_ESS	Std_ESS	Ignored
alpha	0	0	200	0.0	0.0	660.3179610298689	63.37983576205725	no
clock.rate	0	0	200	0.0	0.0	653.2976741836208	65.85963993110548	no
coalescent	0	0	200	0.0	0.0	648.4594623520446	75.18526837161393	no
exponential.growthRate	0	0	200	0.0	0.0	654.2082987875922	71.90860462681384	no
exponential.popSize	0	0	200	0.0	0.0	663.4415969332772	63.65171284953099	no
frequencies1	0	0	200	0.0	0.0	656.9806342092417	68.0628596147076	no
frequencies2	0	0	200	0.0	0.0	662.4412991881084	64.70674557300855	no
frequencies3	0	0	200	0.0	0.0	662.0465823467047	67.09123195258321	no
frequencies4	0	0	200	0.0	0.0	660.7861664603403	62.393274168363405	no
kappa	1	0	200	0.005	0.0	657.4527756359399	69.09730783236932	no
likelihood_really_logG	5	5	200	0.025	0.025	636.7200338041263	122.29329711061983	no
meanRate	0	0	200	0.0	0.0	653.2976741836208	65.85963993110548	no
minTipESS_month	3	2	200	0.015	0.01	409.0845400033361	69.17942346809708	no
numMuts	20	17	200	0.1	0.085	533.6529665091681	197.7778298605393	no
posterior_for_Delphy	0	0	200	0.0	0.0	661.0774389374467	56.97286261776174	no
prior_for_Delphy	0	0	200	0.0	0.0	660.7527413375329	56.77774570070349	no
rootHeight	1	1	200	0.005	0.005	646.712919509282	94.38287141842069	no
treeLength	0	0	200	0.0	0.0	647.9347940065454	74.8667521193314	no
treeLikelihood_really_logG	5	5	200	0.025	0.025	636.7200338041263	122.29329711061983	no
