Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9615384615384616	182	0.950	0.9175824175824175	0.978021978021978
alpha	0.9560439560439561	182	0.950	0.9175824175824175	0.978021978021978
n0	0.9395604395604396	182	0.950	0.9175824175824175	0.978021978021978
g	0.9230769230769231	182	0.950	0.9175824175824175	0.978021978021978
kappa	0.9505494505494505	182	0.950	0.9175824175824175	0.978021978021978
pi_A	0.9395604395604396	182	0.950	0.9175824175824175	0.978021978021978
pi_C	0.9340659340659341	182	0.950	0.9175824175824175	0.978021978021978
pi_G	0.978021978021978	182	0.950	0.9175824175824175	0.978021978021978
pi_T	0.9120879120879121	182	0.950	0.9175824175824175	0.978021978021978
rootHeight	0.9560439560439561	182	0.950	0.9175824175824175	0.978021978021978
