sample	filename	numMuts.mean	numMuts.stderr	numMuts.stddev	numMuts.median	numMuts.95%HPDlo	numMuts.95%HPDup	numMuts.ACT	numMuts.ESS	numMuts.geometric-mean	posterior_for_Delphy.mean	posterior_for_Delphy.stderr	posterior_for_Delphy.stddev	posterior_for_Delphy.median	posterior_for_Delphy.95%HPDlo	posterior_for_Delphy.95%HPDup	posterior_for_Delphy.ACT	posterior_for_Delphy.ESS	posterior_for_Delphy.geometric-mean	prior_for_Delphy.mean	prior_for_Delphy.stderr	prior_for_Delphy.stddev	prior_for_Delphy.median	prior_for_Delphy.95%HPDlo	prior_for_Delphy.95%HPDup	prior_for_Delphy.ACT	prior_for_Delphy.ESS	prior_for_Delphy.geometric-mean	likelihood_really_logG.mean	likelihood_really_logG.stderr	likelihood_really_logG.stddev	likelihood_really_logG.median	likelihood_really_logG.95%HPDlo	likelihood_really_logG.95%HPDup	likelihood_really_logG.ACT	likelihood_really_logG.ESS	likelihood_really_logG.geometric-mean	rootHeight.mean	rootHeight.stderr	rootHeight.stddev	rootHeight.median	rootHeight.95%HPDlo	rootHeight.95%HPDup	rootHeight.ACT	rootHeight.ESS	rootHeight.geometric-mean	treeLength.mean	treeLength.stderr	treeLength.stddev	treeLength.median	treeLength.95%HPDlo	treeLength.95%HPDup	treeLength.ACT	treeLength.ESS	treeLength.geometric-mean	exponential.popSize.mean	exponential.popSize.stderr	exponential.popSize.stddev	exponential.popSize.median	exponential.popSize.95%HPDlo	exponential.popSize.95%HPDup	exponential.popSize.ACT	exponential.popSize.ESS	exponential.popSize.geometric-mean	exponential.growthRate.mean	exponential.growthRate.stderr	exponential.growthRate.stddev	exponential.growthRate.median	exponential.growthRate.95%HPDlo	exponential.growthRate.95%HPDup	exponential.growthRate.ACT	exponential.growthRate.ESS	exponential.growthRate.geometric-mean	kappa.mean	kappa.stderr	kappa.stddev	kappa.median	kappa.95%HPDlo	kappa.95%HPDup	kappa.ACT	kappa.ESS	kappa.geometric-mean	frequencies1.mean	frequencies1.stderr	frequencies1.stddev	frequencies1.median	frequencies1.95%HPDlo	frequencies1.95%HPDup	frequencies1.ACT	frequencies1.ESS	frequencies1.geometric-mean	frequencies2.mean	frequencies2.stderr	frequencies2.stddev	frequencies2.median	frequencies2.95%HPDlo	frequencies2.95%HPDup	frequencies2.ACT	frequencies2.ESS	frequencies2.geometric-mean	frequencies3.mean	frequencies3.stderr	frequencies3.stddev	frequencies3.median	frequencies3.95%HPDlo	frequencies3.95%HPDup	frequencies3.ACT	frequencies3.ESS	frequencies3.geometric-mean	frequencies4.mean	frequencies4.stderr	frequencies4.stddev	frequencies4.median	frequencies4.95%HPDlo	frequencies4.95%HPDup	frequencies4.ACT	frequencies4.ESS	frequencies4.geometric-mean	alpha.mean	alpha.stderr	alpha.stddev	alpha.median	alpha.95%HPDlo	alpha.95%HPDup	alpha.ACT	alpha.ESS	alpha.geometric-mean	clock.rate.mean	clock.rate.stderr	clock.rate.stddev	clock.rate.median	clock.rate.95%HPDlo	clock.rate.95%HPDup	clock.rate.ACT	clock.rate.ESS	clock.rate.geometric-mean	meanRate.mean	meanRate.stderr	meanRate.stddev	meanRate.median	meanRate.95%HPDlo	meanRate.95%HPDup	meanRate.ACT	meanRate.ESS	meanRate.geometric-mean	treeLikelihood_really_logG.mean	treeLikelihood_really_logG.stderr	treeLikelihood_really_logG.stddev	treeLikelihood_really_logG.median	treeLikelihood_really_logG.95%HPDlo	treeLikelihood_really_logG.95%HPDup	treeLikelihood_really_logG.ACT	treeLikelihood_really_logG.ESS	treeLikelihood_really_logG.geometric-mean	branchRates.mean	branchRates.stderr	branchRates.stddev	branchRates.median	branchRates.95%HPDlo	branchRates.95%HPDup	branchRates.ACT	branchRates.ESS	branchRates.geometric-mean	coalescent.mean	coalescent.stderr	coalescent.stddev	coalescent.median	coalescent.95%HPDlo	coalescent.95%HPDup	coalescent.ACT	coalescent.ESS	coalescent.geometric-mean	Unnamed: 173	minTipESS_month.ESS	minTipESS_year.ESS
0	sims/sim_000/delphy-digested.log	895.7089871611983	0.0486577284008917	0.985366091984978	895.0	895.0	898.0	5127996.331180638	410.1016974627629	895.7084458746772	-68486.21426533522	144.5260533493545	3826.530262236744	-69177.2	-73413.2	-61071.9	3000000.0	701.0		-30592.849657631992	141.18518010548965	3738.075950549296	-31315.7	-35303.5	-23277.7	3000000.0	701.0		-37893.36847360913	3.7825643053624978	100.1487029363958	-37887.2	-38064.3	-37683.6	3000000.0	701.0		1.3230010699001429	0.0021488395730613	0.056893545934832	1.31693	1.21311	1.42076	3000000.0	701.0	1.3218010747067626	32.735347788873064	0.0292421438936794	0.7742268328004199	32.6974	31.2698	34.2011	3000000.0	701.0	32.726222236446525	2.567944450784596	0.0094549092826386	0.2503320035265024	2.56473	2.09897	3.06876	3000000.0	701.0	2.5558001858688	1.854632082738944	0.0058727097200113	0.1554882385851637	1.87138	1.54387	2.12849	3000000.0	701.0	1.847903583701325	16.24047644793153	0.1054565085598839	2.792109187253653	15.9517	11.0179	21.6658	3000000.0	701.0	16.007576732858862	0.7029348402282456	0.00010167489652512258	0.0026186343910878	0.702986	0.697939	0.708089	3170421.5867055957	663.3187235471862	0.7029299639947553	0.0665728496433666	5.984632328612812e-05	0.001440439233479	0.0665347	0.06379	0.0693748	3630148.0516652567	579.3152152665762	0.0665572782225982	0.191996733238231	8.913202554949573e-05	0.002359895570351	0.192074	0.187587	0.196411	3000000.0	701.0	0.191982220708869	0.038495580599144	4.701972197225188e-05	0.0011152780487209	0.0384326	0.0362753	0.0405187	3737946.4692677567	562.6083779664095	0.0384794229078393	0.6148390813124107	0.0058790963914582	0.1556573346823722	0.580937	0.395774	0.9638	3000000.0	701.0	0.5968674362406923	0.000944552002853066	1.3527622707511653e-06	3.581628119415482e-05	0.000942465	0.000874601	0.0010134	3000000.0	701.0	0.0009438715124352214	0.000944552002853066	1.3527622707511653e-06	3.581628119415482e-05	0.000942465	0.000874601	0.0010134	3000000.0	701.0	0.0009438715124352214	-37893.36847360913	3.7825643053624978	100.1487029363958	-37887.2	-38064.3	-37683.6	3000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-447.14128815977136	0.8473870678877783	22.435762853516263	-445.723	-487.923	-402.852	3000000.0	701.0			416.917724095065	
1	sims/sim_001/delphy-digested.log	998.4179743223966	0.0321933399124796	0.7425651682669483	998.0	998.0	1000.0	3952775.918365129	532.031170861262	998.4176984455202	-75069.0931526391	116.88831480089482	2879.0421982442244	-76035.8	-77915.5	-69020.4	3466453.722111888	606.6718810019992		-32567.037517831697	113.1252517822344	2783.3252904779165	-33521.7	-35330.9	-26733.2	3474005.156356756	605.3531602139155		-42502.05292439369	4.31332127382652	113.72328686554889	-42513.7	-42705.5	-42274.6	3025269.582716837	695.1446614920859		1.5889014122681893	0.0032286677092323	0.0854835125554897	1.57923	1.42622	1.74316	3000000.0	701.0	1.5866324588116958	32.390880313837414	0.0288612544015629	0.7496854929787479	32.3839	30.991	33.8326	3116818.1534838425	674.7265629370642	32.38220066652453	2.6526129814550625	0.0086115184857782	0.2280020475615544	2.64579	2.21774	3.0707	3000000.0	701.0	2.64289922014458	2.005999700427961	0.0046471831664374	0.1230407017172544	2.00808	1.76771	2.25782	3000000.0	701.0	2.002211577969337	1.8882227389443664	0.0054312923092159	0.1438010926239841	1.88491	1.63679	2.18577	3000000.0	701.0	1.882772148181788	0.1144440099857347	6.792924550025904e-05	0.0017985221873413	0.114518	0.110816	0.117631	3000000.0	701.0	0.1144298899987308	0.0039668544507845	1.3252118230204204e-05	0.0003454797464837195	0.00395373	0.00329854	0.00463419	3094316.205991905	679.6331919561751	0.0039518201507406	0.3193857874465051	0.00010234985188541356	0.0027098560882127	0.31945	0.314156	0.324643	3000000.0	701.0	0.3193742855115399	0.5622033395149786	0.00011001490351191876	0.0029127990962843	0.562138	0.556227	0.567387	3000000.0	701.0	0.5621957969330175	0.7413969643366621	0.0082257058378966	0.2177871158003994	0.70959	0.417575	1.16436	2999999.9999999995	701.0000000000001	0.713802776059155	0.0010483306747503	1.4304050312841171e-06	3.7871982335486125e-05	0.00104793	0.000983131	0.00112383	3000000.0	701.0	0.0010476471464684	0.0010483306747503	1.4304050312841171e-06	3.7871982335486125e-05	0.00104793	0.000983131	0.00112383	3000000.0	701.0	0.0010476471464684	-42502.05292439369	4.31332127382652	113.72328686554889	-42513.7	-42705.5	-42274.6	3025269.582716837	695.1446614920859		0.0	0.0	0.0	0.0	0.0	0.0				-416.6607047075609	0.8478618773700848	21.43547240515603	-417.339	-459.37	-380.268	3290208.130514863	639.1692916006854			480.04830785581015	
2	sims/sim_002/delphy-digested.log	1031.6433666191156	0.033903562910592	0.8976444485088212	1031.0	1031.0	1033.0	3000000.0000000005	700.9999999999999	1031.642976458544	-68674.23223965759	221.85123475750365	5496.992778047624	-69369.5	-77381.6	-57587.1	3425410.6237106863	613.9409930719073		-25422.80143937231	217.70730613899977	5396.820771717913	-26101.0	-34767.1	-15439.4	3422230.754484378	614.5114549170299		-43251.4288159772	4.552249553834387	110.38521963439524	-43246.9	-43452.2	-43019.8	3576593.1835218943	587.9897131406939		1.446014279600572	0.00218989229832	0.0579804744982937	1.43988	1.33333	1.55191	3000000.0	701.0	1.444864177373033	31.864173609129796	0.03457034270936	0.7456222859455613	31.8542	30.5067	33.3157	4520733.252566255	465.1900217307013	31.855473499764003	2.452589258202569	0.0083050568033704	0.219888044066876	2.4493	2.02471	2.86716	2999999.9999999995	701.0000000000001	2.4427225245030164	1.9340110699001425	0.0051447120746415	0.1362134783859683	1.94582	1.66254	2.20026	3000000.0	701.0	1.929125286199807	1.5983567047075606	0.0042709898820433	0.1130804561156985	1.59627	1.39229	1.83458	3000000.0	701.0	1.5943844385214685	0.0889236653352354	6.887220676084673e-05	0.0017136261148976	0.0889863	0.0855749	0.0919849	3396996.7073083213	619.0762550565893	0.0889071267258387	0.6079020328102709	0.00010722645602254991	0.0028389710323977	0.608077	0.60252	0.613551	3000000.0	701.0	0.6078954011916345	0.0305765409415121	3.722469982395811e-05	0.0009705146639962176	0.0305645	0.0287582	0.0325224	3093837.3480913583	679.7383842099446	0.0305611645481962	0.2725977503566335	9.648424758860342e-05	0.0025545559756948	0.272592	0.267957	0.277748	3000000.0	701.0	0.2725857839344291	0.4710719828815978	0.0042966114916544	0.1024691821093109	0.455595	0.311243	0.672328	3697472.0904543702	568.7669706633455	0.4610575864813216	0.0010964499843081	1.4938011254680498e-06	3.955048297451231e-05	0.00109688	0.00102512	0.00117872	3000000.0	701.0	0.0010957341783349	0.0010964499843081	1.4938011254680498e-06	3.955048297451231e-05	0.00109688	0.00102512	0.00117872	3000000.0	701.0	0.0010957341783349	-43251.4288159772	4.552249553834387	110.38521963439524	-43246.9	-43452.2	-43019.8	3576593.1835218943	587.9897131406939		0.0	0.0	0.0	0.0	0.0	0.0				-401.07419543509286	1.0151730865200677	22.349918093084877	-400.193	-439.163	-353.209	4338779.624974203	484.69850551870417			384.2064776006463	
3	sims/sim_003/delphy-digested.log	1050.3195435092723	0.0258407467682837	0.6633058755212913	1050.0	1050.0	1052.0	3191697.358714236	658.8970580992635	1050.31933425557	-79326.65663338093	65.5016143840238	1606.7173477275055	-79923.1	-80915.9	-75956.0	3495137.8967044256	601.6929981454879		-33816.62396576321	67.09210627920584	1648.8179238694606	-34430.8	-35388.4	-30264.2	3482063.809744758	603.9521717306363		-45510.03252496436	4.359510401693892	114.1090486070775	-45516.0	-45710.6	-45274.3	3069548.786253468	685.1169818241635		1.3884869044222536	0.0023014758490016	0.0555397139140919	1.38523	1.28141	1.49179	3611144.272851751	582.363882775374	1.387382723635941	33.39136590584878	0.0278900621948412	0.7384285707037934	33.359	31.9785	34.859	3000000.0	701.0	33.38320985586409	2.8400335378031394	0.0117091959349232	0.2534389958375723	2.82859	2.35481	3.28534	4488968.324768802	468.48180870340894	2.828856690631293	1.9718020114122687	0.0049527647754751	0.1293961345207376	1.98318	1.69623	2.23034	3081002.649085386	682.5700070800939	1.9674912344154687	1.1836385021398017	0.0027357636700209	0.0724331857894056	1.18374	1.04416	1.31672	3000000.0	701.0	1.1814282807728358	0.2141849286733236	8.754855309449311e-05	0.0023179709129772	0.214228	0.210387	0.219617	3000000.0	701.0	0.2141723859297947	0.0046558256062767	1.4209528143995969e-05	0.00037537028808388	0.00464877	0.00393486	0.00538403	3013552.7539449497	697.8474152300892	0.0046407800261214	0.5445119258202564	0.00012398658621778485	0.002913166448045	0.544585	0.539345	0.550464	3809413.170422568	552.0535331605208	0.544504134217945	0.236647319543509	0.0001040974476284639	0.0024648693861122	0.23659	0.232243	0.241876	3750866.552821462	560.670439852916	0.2366344840638185	1.2501707318116972	0.0195319567139122	0.4897598674181377	1.13868	0.612615	2.32935	3344755.6005255114	628.7454903041606	1.171996930256193	0.0010691701854493	1.4391385889473525e-06	3.810321554168321e-05	0.00106937	0.00100021	0.00114511	3000000.0	701.0	0.0010684910851179	0.0010691701854493	1.4391385889473525e-06	3.810321554168321e-05	0.00106937	0.00100021	0.00114511	3000000.0	701.0	0.0010684910851179	-45510.03252496436	4.359510401693892	114.1090486070775	-45516.0	-45710.6	-45274.3	3069548.786253468	685.1169818241635		0.0	0.0	0.0	0.0	0.0	0.0				-448.1236776034231	0.7969654527854845	21.10077977200139	-447.674	-487.565	-404.339	3000000.0	701.0			402.07358824939945	
4	sims/sim_004/delphy-digested.log	965.7845934379458	0.0795107202167953	1.5194758505715755	966.0	964.0	969.0	5758416.0957949	365.2045918556879	965.7833993045804	20316.549040370915	713.0486060946779	17304.924341188398	19554.7	-13222.4	56036.5	3570574.7827460463	588.9808022400896		63176.09486447942	710.44410862515	17240.824888506188	62387.2	29809.8	98746.3	3570943.8836431727	588.919923842226	60667.926357655466	-42859.54379457919	3.08720747745288	76.28671614031526	-42857.6	-43008.3	-42696.3	3444078.6973022264	610.6132248509002		1.206695848787445	0.0016907865197898	0.0427779802806553	1.20218	1.1366	1.28961	3285309.383426388	640.1223612634902	1.2059506520901326	30.485301854493606	0.0253975163677699	0.6650332903908068	30.5158	29.2221	31.7628	3067149.879313241	685.6528317001836	30.478047835830708	2.638395477888731	0.0119444646358527	0.2728246656496058	2.60592	2.10471	3.12632	4030931.215371477	521.7156750232947	2.6247734889671688	2.230350855920116	0.0074917447211891	0.1714388301206856	2.21807	1.93972	2.56295	4015936.385755574	523.6636734235354	2.2238688416172256	23.36361383737517	0.1482618421135735	3.80238941974213	22.988	17.3558	31.0255	3197310.917452065	657.7402242994496	23.064453723186126	0.0032764915691868	1.2179689541664943e-05	0.0003224743880826351	0.00326402	0.00269179	0.00395361	2999999.9999999995	701.0000000000001	0.0032605746659984	0.2840692582025678	0.00010658478288029288	0.0025969435651335	0.284097	0.278763	0.288839	3542457.5805992875	593.655661966806	0.2840573883843361	0.198104144079886	8.736845719180507e-05	0.0023132026209928	0.198067	0.193835	0.202577	3000000.0	701.0	0.1980906473031535	0.5145500841654774	0.00010523128179318936	0.0027861459922529	0.514559	0.509165	0.519866	3000000.0	701.0	0.5145425409576001	0.1469282952924395	0.0006858231668837357	0.0166207056306363	0.145566	0.115447	0.178409	3580672.9864990613	587.3197602599757	0.1460108137698652	0.0010726113552068	1.5973139520084967e-06	4.2291130450224576e-05	0.00107085	0.000998392	0.00115819	3000000.0	701.0	0.0010717783087619	0.0010726113552068	1.5973139520084967e-06	4.2291130450224576e-05	0.00107085	0.000998392	0.00115819	3000000.0	701.0	0.0010717783087619	-42859.54379457919	3.08720747745288	76.28671614031526	-42857.6	-43008.3	-42696.3	3444078.6973022264	610.6132248509002		0.0	0.0	0.0	0.0	0.0	0.0				-370.2045991440799	0.8256133747436551	21.08636506000969	-370.236	-407.741	-327.888	3223957.2194631933	652.3039410399375			364.5170693488898	
5	sims/sim_005/delphy-digested.log	954.4550641940084	0.0286670961508593	0.7590016362781672	954.0	954.0	956.0	3000000.0	701.0	954.4547626772288	-68570.61683309556	186.3889697800172	4443.558665488928	-69741.0	-73834.2	-59827.3	3700137.404974439	568.3572715901689		-30254.06389443655	181.72919934810687	4337.316318178227	-31405.0	-35249.5	-21749.0	3691870.907252971	569.6298849097055		-38316.55449358063	5.103687569254791	121.01043291670018	-38320.8	-38542.5	-38090.0	3740776.871524002	562.1826888443181		1.4544232239657615	0.0026659623321829	0.0705850973279052	1.45081	1.32239	1.58742	3000000.0	701.0	1.4527202183415455	36.50487532097005	0.0336198844351599	0.8798686294955331	36.5095	34.7106	38.215	3070407.6369713466	684.9253417290224	36.49430260180443	3.339184236804566	0.01224097880043	0.324097107294707	3.34496	2.62814	3.91516	3000000.0	701.0	3.32342953202424	1.9047562910128388	0.005369830145524	0.1421737955111158	1.91653	1.61628	2.1631	3000000.0	701.0	1.899324302683091	0.4064108644793149	0.0029442452458754	0.0749437943556546	0.401954	0.260597	0.550193	3245756.106867733	647.922989515521	0.3994852239449666	0.005299215406562	1.5704923631312733e-05	0.0004158099121137348	0.00528352	0.00450592	0.00608174	3000000.0	701.0	0.0052828544047424	0.0344621245363766	4.029229487001489e-05	0.0010315054977658	0.0344486	0.0325807	0.0365106	3208781.800526419	655.3889079198188	0.0344467115192414	0.4611200599144079	0.00010603061872049198	0.0028073095601476	0.46122	0.455624	0.466266	3000000.0	701.0	0.4611115152877295	0.4991186005706127	0.00010570504482575496	0.0027986895339949	0.499203	0.493616	0.504562	3000000.0	701.0	0.4991107540628581	0.6149979857346645	0.0078773852856921	0.1836220523358252	0.584904	0.357552	0.981051	3870381.4836579207	543.3572914917013	0.5918897191604041	0.000903662435092725	1.3166118647459456e-06	3.3091188601987976e-05	0.000904102	0.000836149	0.000961576	3329124.737674776	631.6975678925262	0.0009030570767357608	0.000903662435092725	1.3166118647459456e-06	3.3091188601987976e-05	0.000904102	0.000836149	0.000961576	3329124.737674776	631.6975678925262	0.0009030570767357608	-38316.55449358063	5.103687569254791	121.01043291670018	-38320.8	-38542.5	-38090.0	3740776.871524002	562.1826888443181		0.0	0.0	0.0	0.0	0.0	0.0				-535.4547589158346	0.8612947786099745	22.803989029514167	-536.323	-578.661	-491.52	3000000.0	701.0			470.295034267669	
6	sims/sim_006/delphy-digested.log	717.4807417974322	0.0851048513006616	1.5355929374366677	717.0	715.0	720.0	6459452.293697672	325.56939882532225	717.4791006677742	-49933.30684736093	56.54217911744232	1379.64610407038	-50440.5	-51349.9	-47000.4	3532229.8716679164	595.3746150181796		-33638.88502139806	55.136242648527045	1338.6028108781948	-34128.3	-35017.9	-30804.7	3567879.198192094	589.4257857905129		-16294.422824536385	2.199991348736359	58.24786104370186	-16296.4	-16400.6	-16180.7	3000000.0	701.0		1.168455763195433	0.0015503465032769	0.0398046607088984	1.16393	1.10382	1.25409	3190281.225113825	659.1895358456896	1.167785553949116	25.387567475035684	0.0240975348010848	0.63801608100905	25.3999	24.1398	26.6365	3000000.0	701.0	25.37954698757173	1.8993074893009985	0.0072357912205307	0.191577735881715	1.88343	1.54412	2.29122	3000000.0	701.0	1.8898624317204649	2.217707646219685	0.006216892946296	0.1646009729372806	2.20885	1.92875	2.55443	3000000.0	701.0	2.2116277335781227	1.6370069101283902	0.0193139394801537	0.4886317293782166	1.59119	0.768041	2.59354	3285622.5918723443	640.0613403384182	1.564321765602929	0.0111750626961483	2.265399714680337e-05	0.0005592579893314479	0.0111566	0.0100535	0.0122641	3450679.006781394	609.4452702981388	0.0111610583805542	2.448777093580596e-05	1.518109759614184e-06	2.390760662165482e-05	1.88537e-05	1.99882e-07	6.80896e-05	8479561.896034135	248.00809591160208	1.4632776458169827e-05	0.0425087964336661	4.000689446052319e-05	0.0010592387241161	0.0424706	0.0404109	0.0444393	3000000.0	701.0	0.0424956079387436	0.94629164336662	4.657011930411143e-05	0.0012330093205801	0.946335	0.943969	0.948707	3000000.0	701.0	0.946290839998248	0.8295760556348073	0.0069405117042662	0.1837597959420314	0.801772	0.539465	1.21701	3000000.0	701.0	0.8103874738752717	0.0009664546048502136	1.632513082048664e-06	4.322307685837623e-05	0.000967224	0.000887908	0.00105327	3000000.0	701.0	0.0009654850829699284	0.0009664546048502136	1.632513082048664e-06	4.322307685837623e-05	0.000967224	0.000887908	0.00105327	3000000.0	701.0	0.0009654850829699284	-16294.422824536385	2.199991348736359	58.24786104370186	-16296.4	-16400.6	-16180.7	3000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-191.4456647646217	0.9701663247396988	25.68651613315658	-191.872	-245.086	-146.412	3000000.0	701.0			455.0395658265501	
7	sims/sim_007/delphy-digested.log	997.4593437945792	0.0278846729784206	0.7382858836158535	997.0	997.0	999.0	3000000.0	701.0	997.459070812374	-84302.07831669044	95.65936781253134	2462.1817880815274	-85239.5	-86728.1	-79118.2	3174344.4913611584	662.4989838762691		-33096.57432239658	92.26031538061402	2373.0200845804416	-34018.3	-35431.4	-28119.8	3178822.7642943608	661.5656662653939		-51205.507132667626	4.285937354086341	113.47621143490298	-51207.1	-51429.0	-50992.4	3000000.0	701.0		1.1812713124108405	0.0015787403611869	0.0408016028746203	1.17486	1.10382	1.25956	3148518.4875179483	667.9331909077798	1.180576050793057	33.330225249643355	0.030408682758094	0.7623016900309627	33.2882	31.8285	34.8362	3346422.12610195	628.4323736675924	33.32153043005564	2.6782166333808823	0.0107239267527721	0.2666283750430906	2.66957	2.15859	3.19081	3401999.291695771	618.1659135360172	2.664957748357222	1.810334407988589	0.0079682651905575	0.1578151226771728	1.82389	1.49736	2.08947	5361293.67106269	392.2560726995493	1.8032176138483555	5.902140342368046	0.01559752949575	0.4070587060096562	5.88381	5.08177	6.68287	3087712.162262744	681.0868013224638	5.888127993264352	0.1453132667617689	8.583817445873737e-05	0.002091430128995	0.145285	0.141587	0.14959	3542529.6839204966	593.6435789220043	0.1452982012163689	0.1777849001426535	0.00011254620662545288	0.0022508582256028	0.177816	0.173162	0.181862	5257807.892004938	399.9765763975206	0.177770647187435	0.4954672624821681	0.0001182630187935754	0.0028885386952617	0.495414	0.490057	0.500905	3525176.078766489	596.5659453628969	0.4954588464283505	0.1814345848787447	9.487010824644216e-05	0.0021801378806274	0.181364	0.17746	0.185983	3982264.8727717903	528.0914422290151	0.1814214840512475	0.7928122339514976	0.0091798298409501	0.2430488889340342	0.74738	0.421564	1.25349	3000000.0	701.0	0.7606045105164232	0.0010211619871611	1.5868414910667475e-06	3.830555603510496e-05	0.00102088	0.000937622	0.00108626	3608966.2929329104	582.7153343377304	0.0010204442359603	0.0010211619871611	1.5868414910667475e-06	3.830555603510496e-05	0.00102088	0.000937622	0.00108626	3608966.2929329104	582.7153343377304	0.0010204442359603	-51205.507132667626	4.285937354086341	113.47621143490298	-51207.1	-51429.0	-50992.4	3000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-482.5993323823107	0.8584726780069203	21.88324334046425	-482.607	-526.866	-442.346	3236449.6032382813	649.786110649092			424.4347659867831	
8	sims/sim_008/delphy-digested.log	1016.3152639087018	0.0258878174540145	0.6854163288227615	1016.0	1016.0	1018.0	3000000.0	701.0	1016.315033041697	-75682.13823109848	53.29431196870472	1411.0417660149049	-76192.7	-77005.5	-73063.3	3000000.0	701.0		-33881.24222539229	55.11198586109887	1459.1672354028883	-34417.1	-35211.1	-31245.7	3000000.0	701.0		-41800.8952924394	4.034474241733204	106.81837233399126	-41801.7	-42008.2	-41602.2	3000000.0	701.0		1.1642697432239666	0.0014952296661922	0.0395883055966995	1.16119	1.09016	1.2377	3000000.0	701.0	1.1636059883170191	30.346773609129805	0.0260127872748005	0.6494548606391324	30.3334	29.2036	31.7104	3373767.175750024	623.338805094777	30.339821873621204	2.4465332667617674	0.008104850155455	0.2145872918551045	2.44497	2.04863	2.86206	3000000.0	701.0	2.437216998786386	2.0225516833095614	0.0052742214694312	0.1302094770792811	2.02049	1.7582	2.26905	3450410.8250199	609.4926391809796	2.01833004477679	0.7884417075606285	0.0028108915100674	0.0744223008784302	0.781596	0.644364	0.929268	3000000.0	701.0	0.785019553144853	0.0633894908701854	5.1109429390790897e-05	0.0013531939309024	0.0634075	0.0608871	0.0661935	3000000.0	701.0	0.0633750495905364	0.6503707888730383	0.00010540522260332024	0.0026382951355342	0.650425	0.645381	0.655358	3356732.850556434	626.5020463726784	0.6503654348863883	0.2484952895863053	9.550051042254289e-05	0.0024549097563431	0.248455	0.243743	0.253263	3182581.943501034	660.7842428988873	0.2484831765343191	0.0377444186875891	4.514278545241527e-05	0.0010553655823931	0.0377244	0.0359478	0.040145	3847779.042027461	546.549055190002	0.0377296827624022	1.2283615492154063	0.0172871062553107	0.4577004194015617	1.1213	0.583956	2.02152	3000000.0	701.0	1.160028996145686	0.0011285082738944	1.50506982638251e-06	3.9848837659117975e-05	0.00112939	0.00105129	0.0012074	3000000.0	701.0	0.001127804414784	0.0011285082738944	1.50506982638251e-06	3.9848837659117975e-05	0.00112939	0.00105129	0.0012074	3000000.0	701.0	0.001127804414784	-41800.8952924394	4.034474241733204	106.81837233399126	-41801.7	-42008.2	-41602.2	3000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-374.4816519258203	0.8395860429282287	21.202257360942586	-374.372	-412.139	-331.064	3297657.064299158	637.7254999518711			390.28266266978943	
11	sims/sim_011/delphy-digested.log	984.3009985734664	0.024103321890608	0.6381693024301106	984.0	984.0	986.0	3000000.0	701.0	984.3007918926742	-85508.49629101274	60.77959743235151	1609.225212420955	-86110.6	-86988.4	-82156.8	3000000.0	701.0		-33813.35620542084	61.739152623518805	1634.6307838884134	-34429.3	-35334.1	-30375.2	3000000.0	701.0		-51695.140370898735	4.409102246749995	113.26837171501816	-51700.4	-51930.9	-51493.4	3186561.453407217	659.9590281716916		1.4111165477888732	0.0025208840109297	0.0667439449972008	1.40709	1.27868	1.53551	3000000.0	701.0	1.4095563887485123	32.19223937232518	0.0287833359417496	0.693972975909868	32.1909	30.8819	33.5088	3617732.13879911	581.3034020528899	32.18476156780583	2.477460741797432	0.0088686783477724	0.2325898426118015	2.47951	2.0224	2.90891	3057564.2451899024	687.8023914978718	2.4664369111735414	1.847653566333808	0.0059952868332332	0.1527565791952393	1.86606	1.53937	2.1212	3239361.050223056	649.2021010918777	1.8411029669520584	1.6691489300998583	0.0049671336973993	0.1112337192773598	1.66126	1.46571	1.89699	4193513.5891704937	501.4887767219536	1.6654754387043822	0.2965952353780313	0.00010435450459660182	0.0025570702370353	0.29659	0.291706	0.301217	3502485.6084953235	600.430732648593	0.2965842157819363	0.1533046262482168	8.03618402562035e-05	0.0020699463223895	0.153283	0.149556	0.157724	3169719.651458865	663.4656156521897	0.153290659733686	0.4373696034236808	0.00011951200520831272	0.0028890446400593	0.437438	0.431813	0.44319	3598767.868684559	584.3666712431497	0.4373600607837181	0.1127305249643365	6.944017763303117e-05	0.0017306733448505	0.112688	0.109549	0.116037	3385561.5141749494	621.1672690615679	0.1127172375416773	1.180593378031383	0.0185893235004532	0.492178450047701	1.05017	0.544018	2.15272	3000000.0	701.0	1.1030374919960082	0.0010402320656205	1.4536267529370016e-06	3.848681003323973e-05	0.00104118	0.000968144	0.00111382	3000000.0	701.0	0.0010395198317887	0.0010402320656205	1.4536267529370016e-06	3.848681003323973e-05	0.00104118	0.000968144	0.00111382	3000000.0	701.0	0.0010395198317887	-51695.140370898735	4.409102246749995	113.26837171501816	-51700.4	-51930.9	-51493.4	3186561.453407217	659.9590281716916		0.0	0.0	0.0	0.0	0.0	0.0				-433.0052496433667	0.8236906731690339	20.02108037843176	-433.553	-471.741	-395.834	3559529.127448177	590.8084818813209			492.2668591463215	
