replicate	num_mutations
sim_000	314
sim_001	442
sim_002	214
sim_003	165
sim_004	387
sim_005	498
sim_006	277
sim_007	545
sim_008	528
sim_009	253
sim_010	240
sim_011	227
sim_012	239
sim_013	262
sim_014	175
sim_015	266
sim_016	413
sim_017	332
sim_018	297
sim_019	343
sim_020	195
sim_021	364
sim_022	244
sim_023	229
sim_024	546
sim_025	555
sim_026	267
sim_027	362
sim_028	486
sim_029	243
sim_030	334
sim_031	385
sim_032	222
sim_033	216
sim_034	300
sim_035	272
sim_036	473
sim_037	248
sim_038	212
sim_039	237
sim_040	413
sim_041	273
sim_042	263
sim_043	274
sim_044	331
sim_045	358
sim_046	351
sim_047	261
sim_048	276
sim_049	258
sim_050	430
sim_051	356
sim_052	570
sim_053	211
sim_054	205
sim_055	356
sim_056	281
sim_057	379
sim_058	173
sim_059	645
sim_060	260
sim_061	271
sim_062	448
sim_063	230
sim_064	165
sim_065	295
sim_066	246
sim_067	462
sim_068	199
sim_069	368
sim_070	287
sim_071	224
sim_072	229
sim_073	405
sim_074	231
sim_075	229
sim_076	429
sim_077	240
sim_078	371
sim_079	153
sim_080	240
sim_081	296
sim_082	572
sim_083	316
sim_084	268
sim_085	312
sim_086	250
sim_087	308
sim_088	404
sim_089	255
sim_090	304
sim_091	416
sim_092	440
sim_093	162
sim_094	514
sim_095	369
sim_096	298
sim_097	189
sim_098	169
sim_099	375
sim_100	165
sim_101	284
sim_102	453
sim_103	229
sim_104	343
sim_105	404
sim_106	195
sim_107	279
sim_108	266
sim_109	460
sim_110	255
sim_111	321
sim_112	281
sim_113	343
sim_114	307
sim_115	272
sim_116	288
sim_117	273
sim_118	478
sim_119	262
sim_120	281
sim_121	289
sim_122	257
sim_123	204
sim_124	440
sim_125	278
sim_126	328
sim_127	240
sim_128	319
sim_129	211
sim_130	314
sim_131	229
sim_132	227
sim_133	321
sim_134	287
sim_135	262
sim_136	263
sim_137	283
sim_138	320
sim_139	205
sim_140	193
sim_141	274
sim_142	601
sim_143	301
sim_144	292
sim_145	218
sim_146	396
sim_147	388
sim_148	396
sim_149	392
sim_150	332
sim_151	246
sim_152	367
sim_153	255
sim_154	442
sim_155	203
sim_156	264
sim_157	366
sim_158	262
sim_159	269
sim_160	167
sim_161	319
sim_162	245
sim_163	307
sim_164	317
sim_165	356
sim_166	329
sim_167	337
sim_168	256
sim_169	257
sim_170	345
sim_171	492
sim_172	528
sim_173	316
sim_174	182
sim_175	431
sim_176	460
sim_177	386
sim_178	344
sim_179	347
sim_180	501
sim_181	316
sim_182	293
sim_183	402
sim_184	185
sim_185	308
sim_186	367
sim_187	279
sim_188	253
sim_189	443
sim_190	317
sim_191	272
sim_192	328
sim_193	213
sim_194	306
sim_195	277
sim_196	221
sim_197	309
sim_198	349
sim_199	354
