#node	date	numeric date
NODE_0000001	2024-01-28	2024.074960
NODE_0000002	2024-03-06	2024.178962
TIP_30|2024-03-06	2024-03-06	2024.178962
NODE_0000003	2024-05-01	2024.330976
TIP_64|2024-05-21	2024-05-21	2024.386612
TIP_79|2024-05-05	2024-05-05	2024.342896
NODE_0000000	2024-01-28	2024.074960
NODE_0000006	2024-01-28	2024.074960
TIP_27|2024-02-08	2024-02-08	2024.105191
TIP_5|2024-02-04	2024-02-04	2024.094262
NODE_0000004	2024-03-14	2024.199521
TIP_44|2024-03-15	2024-03-15	2024.203552
NODE_0000005	2024-03-20	2024.217694
NODE_0000008	2024-04-03	2024.255464
TIP_82|2024-05-04	2024-05-04	2024.340164
TIP_35|2024-04-03	2024-04-03	2024.255464
NODE_0000007	2024-03-25	2024.231058
NODE_0000057	2024-04-24	2024.312011
TIP_13|2024-05-30	2024-05-30	2024.411202
NODE_0000058	2024-06-06	2024.429968
NODE_0000059	2024-07-02	2024.502698
TIP_51|2024-07-30	2024-07-30	2024.577869
TIP_43|2024-07-11	2024-07-11	2024.525956
NODE_0000060	2024-06-19	2024.466751
TIP_60|2024-07-06	2024-07-06	2024.512295
TIP_41|2024-07-20	2024-07-20	2024.550546
NODE_0000040	2024-04-24	2024.311609
TIP_14|2024-05-11	2024-05-11	2024.359290
NODE_0000016	2024-04-24	2024.311913
NODE_0000047	2024-05-08	2024.352100
TIP_6|2024-05-15	2024-05-15	2024.370219
NODE_0000048	2024-05-28	2024.407028
TIP_70|2024-06-03	2024-06-03	2024.422131
NODE_0000020	2024-06-01	2024.416063
TIP_28|2024-06-11	2024-06-11	2024.443989
TIP_78|2024-06-21	2024-06-21	2024.471311
NODE_0000021	2024-04-24	2024.314129
NODE_0000042	2024-05-12	2024.362022
TIP_93|2024-05-12	2024-05-12	2024.362022
NODE_0000043	2024-06-02	2024.419399
TIP_99|2024-06-02	2024-06-02	2024.419399
NODE_0000024	2024-06-02	2024.419600
TIP_97|2024-06-11	2024-06-11	2024.443989
NODE_0000045	2024-06-16	2024.457650
TIP_65|2024-07-28	2024-07-28	2024.572404
TIP_92|2024-06-16	2024-06-16	2024.457650
NODE_0000050	2024-05-12	2024.363144
TIP_57|2024-05-29	2024-05-29	2024.408470
NODE_0000051	2024-06-05	2024.426522
TIP_21|2024-06-30	2024-06-30	2024.495902
NODE_0000027	2024-06-05	2024.426522
TIP_42|2024-07-14	2024-07-14	2024.534153
NODE_0000053	2024-06-20	2024.468338
TIP_80|2024-07-03	2024-07-03	2024.504098
NODE_0000054	2024-07-10	2024.524412
TIP_22|2024-07-28	2024-07-28	2024.572404
NODE_0000030	2024-07-11	2024.525778
TIP_36|2024-07-26	2024-07-26	2024.566940
