replicate	num_mutations
sim_000	810
sim_001	842
sim_002	753
sim_003	817
sim_004	670
sim_005	807
sim_006	868
sim_007	795
sim_008	884
sim_009	828
sim_010	748
sim_011	856
sim_012	815
sim_013	698
sim_014	794
sim_015	924
sim_016	743
sim_017	824
sim_018	780
sim_019	779
sim_020	824
sim_021	836
sim_022	833
sim_023	799
sim_024	837
sim_025	1006
sim_026	654
sim_027	704
sim_028	787
sim_029	835
sim_030	914
sim_031	727
sim_032	749
sim_033	758
sim_034	675
sim_035	638
sim_036	679
sim_037	743
sim_038	744
sim_039	873
sim_040	790
sim_041	696
sim_042	801
sim_043	719
sim_044	769
sim_045	866
sim_046	782
sim_047	863
sim_048	733
sim_049	702
sim_050	723
sim_051	712
sim_052	742
sim_053	758
sim_054	675
sim_055	795
sim_056	756
sim_057	736
sim_058	705
sim_059	913
sim_060	738
sim_061	668
sim_062	706
sim_063	827
sim_064	790
sim_065	674
sim_066	785
sim_067	687
sim_068	884
sim_069	836
sim_070	798
sim_071	776
sim_072	821
sim_073	710
sim_074	740
sim_075	618
sim_076	764
sim_077	803
sim_078	757
sim_079	987
sim_080	632
sim_081	809
sim_082	632
sim_083	898
sim_084	684
sim_085	696
sim_086	762
sim_087	716
sim_088	837
sim_089	705
sim_090	687
sim_091	670
sim_092	687
sim_093	794
sim_094	680
sim_095	716
sim_096	736
sim_097	840
sim_098	837
sim_099	689
sim_100	834
sim_101	669
sim_102	882
sim_103	709
sim_104	829
sim_105	688
sim_106	764
sim_107	660
sim_108	675
sim_109	704
sim_110	693
sim_111	816
sim_112	734
sim_113	738
sim_114	839
sim_115	746
sim_116	857
sim_117	722
sim_118	725
sim_119	720
sim_120	802
sim_121	704
sim_122	840
sim_123	901
sim_124	763
sim_125	797
sim_126	878
sim_127	668
sim_128	752
sim_129	782
sim_130	718
sim_131	768
sim_132	698
sim_133	743
sim_134	849
sim_135	842
sim_136	805
sim_137	668
sim_138	734
sim_139	895
sim_140	782
sim_141	763
sim_142	810
sim_143	904
sim_144	672
sim_145	893
sim_146	990
sim_147	788
sim_148	714
sim_149	845
sim_150	638
sim_151	874
sim_152	807
sim_153	679
sim_154	674
sim_155	758
sim_156	952
sim_157	670
sim_158	783
sim_159	871
sim_160	680
sim_161	798
sim_162	726
sim_163	749
sim_164	677
sim_165	813
sim_166	681
sim_167	720
sim_168	650
sim_169	780
sim_170	757
sim_171	753
sim_172	736
sim_173	840
sim_174	784
sim_175	739
sim_176	895
sim_177	759
sim_178	649
sim_179	714
sim_180	706
sim_181	834
sim_182	696
sim_183	735
sim_184	657
sim_185	872
sim_186	686
sim_187	743
sim_188	687
sim_189	743
sim_190	905
sim_191	819
sim_192	848
sim_193	611
sim_194	740
sim_195	791
sim_196	670
sim_197	715
sim_198	767
sim_199	749
