# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_a/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_a/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_a/ebola_delphy_alpha.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
0	74	-24260.2	3434.2	-27694.4	1.06128	2013.4	38.3714	3	0	1	0.319373	0.213777	0.197901	0.268949	10	0.001	0.001	-27694.4	0.0	-324.387	
50000	66	-39894.3	-12904.3	-26990	1.01154	2013.45	17.5278	5.16283	2.06638	9.01039	0.3176	0.216142	0.198647	0.267611	3.84614	0.000194517	0.000194517	-26990	0.0	-165.744	
100000	64	-44463.4	-17503.2	-26960.2	1.33705	2013.12	22.0764	8.36144	2.92546	9.22609	0.320039	0.213254	0.197026	0.269681	1.97381	0.000142725	0.000142725	-26960.2	0.0	-186.766	
150000	63	-46376.8	-19437.5	-26939.4	1.32745	2013.13	23.8895	12.3729	3.11448	19.4672	0.318694	0.215953	0.195715	0.269637	0.883212	0.000150782	0.000150782	-26939.4	0.0	-195.243	
200000	63	-45798.5	-18865	-26933.6	1.65024	2012.81	17.1369	3.42253	1.04174	11.5427	0.322389	0.209407	0.200426	0.267778	1.4387	0.000190791	0.000190791	-26933.6	0.0	-153.152	
250000	62	-46124.6	-19204.7	-26919.8	2.58072	2011.88	18.2469	3.51267	1.19069	9.27872	0.320676	0.218369	0.195092	0.265863	0.793235	0.000206433	0.000206433	-26919.8	0.0	-154.865	
300000	60	-43148.9	-16301.8	-26847.1	1.92898	2012.53	13.4073	2.03326	1.09373	12.346	0.323463	0.209185	0.195937	0.271415	0.522861	0.000204916	0.000204916	-26847.1	0.0	-125.138	
350000	58	-38935	-12139.9	-26795.1	1.7334	2012.73	11.1281	1.44756	1.60003	8.92628	0.319431	0.219394	0.195626	0.26555	0.412727	0.000280188	0.000280188	-26795.1	0.0	-104.702	
400000	58	-33304.4	-6516.33	-26788	1.22329	2013.24	9.86392	1.59721	1.77562	9.91296	0.312829	0.218847	0.197528	0.270796	0.333454	0.000286911	0.000286911	-26788	0.0	-96.5271	
450000	58	-45267.9	-18452.4	-26815.5	1.90122	2012.56	10.229	0.890044	-0.0566403	11.9396	0.327402	0.215213	0.19484	0.262545	0.654425	0.000340387	0.000340387	-26815.5	0.0	-80.3094	
500000	58	-27727.6	-972.093	-26755.5	1.29282	2013.17	8.10097	1.00153	1.26933	12.2732	0.318809	0.210708	0.201405	0.269078	0.283725	0.000390426	0.000390426	-26755.5	0.0	-55.3341	
550000	58	-36050.1	-9282.65	-26767.5	1.36614	2013.09	7.61551	0.753073	0.338009	16.4275	0.315957	0.217917	0.198634	0.267492	0.368061	0.000420434	0.000420434	-26767.5	0.0	-47.5657	
600000	58	-38353.3	-11589.6	-26763.7	1.30768	2013.15	7.0504	0.836195	0.58035	6.94309	0.324243	0.208847	0.194758	0.272152	0.402528	0.000563499	0.000563499	-26763.7	0.0	-52.0558	
650000	57	-44637.5	-17848.8	-26788.7	0.914444	2013.55	6.5046	0.718742	1.35117	9.27366	0.31373	0.215374	0.202378	0.268518	1.78709	0.000550287	0.000550287	-26788.7	0.0	-41.3852	
700000	57	-46194.2	-19421.8	-26772.4	0.766118	2013.69	5.32785	0.986771	4.29544	11.3799	0.316534	0.213557	0.199916	0.269993	1.19627	0.000513413	0.000513413	-26772.4	0.0	-39.7957	
750000	57	-46066.8	-19309.3	-26757.5	0.702491	2013.76	4.50845	0.340443	-1.3167	7.45301	0.321738	0.210503	0.196774	0.270985	0.86055	0.000532874	0.000532874	-26757.5	0.0	-9.27421	
800000	57	-46075.3	-19339	-26736.4	0.55097	2013.91	3.4468	0.348102	0.768352	9.76214	0.317479	0.214405	0.201786	0.26633	0.901564	0.000710345	0.000710345	-26736.4	0.0	10.3888	
850000	57	-45942.9	-19210.2	-26732.7	0.450191	2014.01	2.85552	0.32408	3.50997	6.17467	0.316274	0.217561	0.201581	0.264584	0.893617	0.00119068	0.00119068	-26732.7	0.0	32.2557	
900000	56	-45389.4	-18681.5	-26707.9	0.33184	2014.13	2.34145	0.250707	5.87075	11.551	0.318613	0.210593	0.201216	0.269578	0.725556	0.0013049	0.0013049	-26707.9	0.0	48.6966	
950000	55	-30846	-4200.52	-26645.5	0.313341	2014.15	1.73906	0.142385	1.94063	8.3437	0.322309	0.213775	0.194033	0.269883	0.318084	0.00222697	0.00222697	-26645.5	0.0	88.7566	
1000000	55	-43349.5	-16680.8	-26668.7	0.375295	2014.08	1.64131	0.130669	3.98348	8.31969	0.31591	0.216193	0.197232	0.270666	0.554012	0.00197838	0.00197838	-26668.7	0.0	106.745	
1050000	55	-45831	-19153.1	-26677.8	0.287734	2014.17	1.61008	0.147735	4.98358	6.46604	0.321112	0.212926	0.201585	0.264377	1.19626	0.00211643	0.00211643	-26677.8	0.0	92.3258	
1100000	55	-43292.3	-16594.9	-26697.4	0.300552	2014.16	1.70063	0.155828	5.41496	4.7673	0.327112	0.212568	0.194919	0.265401	2.20036	0.00182591	0.00182591	-26697.4	0.0	94.6965	
1150000	56	-44359.5	-17663.4	-26696.1	0.294528	2014.16	1.5043	0.14688	5.8488	8.73743	0.316987	0.211879	0.203883	0.267251	1.77513	0.00188262	0.00188262	-26696.1	0.0	103.31	
1200000	55	-45217.5	-18528.8	-26688.7	0.288705	2014.17	1.57774	0.132601	5.32963	15.3232	0.315765	0.21598	0.201359	0.266896	1.50522	0.00193019	0.00193019	-26688.7	0.0	102.177	
1250000	55	-45935.8	-19258.6	-26677.1	0.288191	2014.17	1.47322	0.123303	6.28591	11.0741	0.321735	0.222864	0.194285	0.261116	1.11532	0.00189336	0.00189336	-26677.1	0.0	105.345	
1300000	55	-44721.1	-18055.9	-26665.2	0.301227	2014.16	1.41646	0.111434	4.00919	12.222	0.319434	0.217119	0.19612	0.267327	1.63865	0.00175614	0.00175614	-26665.2	0.0	119.12	
1350000	55	-43529.6	-16840.7	-26689	0.304811	2014.15	1.51406	0.0972034	-1.29221	13.2144	0.315772	0.215299	0.203543	0.265386	2.06562	0.0018522	0.0018522	-26689	0.0	111.289	
1400000	56	-42744.2	-16048.3	-26695.9	0.332498	2014.13	1.55138	0.113825	4.86735	6.72444	0.319239	0.213944	0.196115	0.270702	2.41295	0.001978	0.001978	-26695.9	0.0	112.753	
1450000	55	-40261.5	-13574.5	-26687	0.319225	2014.14	1.44647	0.0741371	-1.61235	15.8268	0.316674	0.215179	0.197268	0.270879	3.39207	0.00249633	0.00249633	-26687	0.0	120.887	
1500000	55	-43892	-17209.3	-26682.8	0.321399	2014.14	1.38752	0.0727297	2.94444	7.0287	0.321646	0.212543	0.19358	0.272231	1.94088	0.00188098	0.00188098	-26682.8	0.0	126.838	
1550000	55	-44321.4	-17651.5	-26669.9	0.272004	2014.19	1.18389	0.108285	5.28619	8.76275	0.323487	0.217821	0.193238	0.265454	1.78047	0.00272182	0.00272182	-26669.9	0.0	136.764	
1600000	55	-44691.9	-18020.4	-26671.5	0.286413	2014.17	1.29631	0.100917	5.04521	7.84482	0.320433	0.211248	0.202839	0.26548	1.70337	0.00188903	0.00188903	-26671.5	0.0	126.088	
1650000	55	-45331.5	-18653.9	-26677.6	0.325097	2014.13	1.56838	0.113082	2.23559	5.01433	0.312096	0.21393	0.201797	0.272177	0.729902	0.00204271	0.00204271	-26677.6	0.0	110.738	
1700000	55	-45867.2	-19197.4	-26669.8	0.277517	2014.18	1.41604	0.174577	11.4932	7.66487	0.320029	0.214414	0.196777	0.268781	0.859818	0.00146412	0.00146412	-26669.8	0.0	106.727	
