item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    55.12092 0.00592  0.362151 55       55       56       187089.6 3741.788 55.11974
posterior_for_Delphy       -31682.3 1219.131 42600.55 -43606.7 -46434   23087.1  573323.6 1221.038 NaN     
prior_for_Delphy           -5022.78 1218.347 42580.64 -16933.8 -19758.1 49687.9  573122.3 1221.466 NaN     
likelihood_really_logG     -26659.5 0.928827 28.55973 -26665.6 -26707.1 -26597.6 740440.1 945.4511 NaN     
rootHeight                 0.293058 0.000403 0.02675  0.287219 0.255276 0.341903 158677.6 4411.775 0.291947
age(root)                  2014.165 0.000404 0.026799 2014.17  2014.12  2014.2   158736.3 4410.143 2014.165
treeLength                 1.392237 0.006241 0.246665 1.35758  0.976411 1.89549  448137.8 1562.131 1.37181 
exponential.popSize        0.114485 0.00113  0.047828 0.10476  0.042721 0.213315 391013.7 1790.346 0.10582 
exponential.growthRate     5.452006 0.0481   3.718667 5.24081  -1.3718  13.032   117125.0 5976.943 NaN     
kappa                      9.352669 0.028869 3.371307 8.74146  4.06412  15.8762  51333.22 13637.36 8.82922 
frequencies1               0.319148 2.87E-5  0.003399 0.319152 0.312525 0.325781 50000    14001    0.31913 
frequencies2               0.214096 2.51E-5  0.002968 0.214067 0.208199 0.219822 50000    14001    0.214075
frequencies3               0.198061 2.44E-5  0.002882 0.198051 0.1924   0.203717 50000    14001    0.19804 
frequencies4               0.268696 2.72E-5  0.003208 0.268692 0.262505 0.275092 50138.95 13962.19 0.268676
alpha                      1.157463 0.032369 1.02924  0.865463 0.020777 3.20418  692407.4 1011.037 0.779857
clock.rate                 0.002195 1E-5     0.000474 0.002157 0.001341 0.003148 311742.2 2245.605 0.002144
meanRate                   0.002195 1E-5     0.000474 0.002157 0.001341 0.003148 311742.2 2245.605 0.002144
treeLikelihood_really_logG -26659.5 0.928827 28.55973 -26665.6 -26707.1 -26597.6 740440.1 945.4511 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                 119.4713 0.646619 24.51503 119.971  71.1696  167.281  487035.0 1437.370 116.7565
