replicate	num_mutations
sim_000	372
sim_001	902
sim_002	890
sim_003	1833
sim_004	641
sim_005	984
sim_006	747
sim_007	2813
sim_008	2805
sim_009	6
sim_010	69
sim_011	363
sim_012	45
sim_013	51
sim_014	1553
sim_015	1190
sim_016	175
sim_017	38
sim_018	1319
sim_019	1719
sim_020	427
sim_021	2227
sim_022	235
sim_023	1199
sim_024	158
sim_025	276
sim_026	205
sim_027	1494
sim_028	2092
sim_029	1522
sim_030	577
sim_031	4116
sim_032	385
sim_033	223
sim_034	6238
sim_035	466
sim_036	882
sim_037	246
sim_038	244
sim_039	3177
sim_040	259
sim_041	68
sim_042	1236
sim_043	66
sim_044	218
sim_045	622
sim_046	2308
sim_047	982
sim_048	0
sim_049	408
sim_050	144
sim_051	456
sim_052	194
sim_053	1071
sim_054	1657
sim_055	390
sim_056	68
sim_057	1276
sim_058	1902
sim_059	132
sim_060	180
sim_061	62
sim_062	495
sim_063	835
sim_064	214
sim_065	1738
sim_066	1079
sim_067	269
sim_068	459
sim_069	75
sim_070	865
sim_071	952
sim_072	957
sim_073	383
sim_074	189
sim_075	424
sim_076	100
sim_077	1061
sim_078	2445
sim_079	2561
sim_080	925
sim_081	242
sim_082	923
sim_083	2796
sim_084	751
sim_085	38
sim_086	154
sim_087	1823
sim_088	1579
sim_089	135
sim_090	21
sim_091	1451
sim_092	378
sim_093	149
sim_094	458
sim_095	945
sim_096	28
sim_097	328
sim_098	1377
sim_099	824
sim_100	2217
sim_101	230
sim_102	221
sim_103	462
sim_104	18
sim_105	853
sim_106	170
sim_107	682
sim_108	593
sim_109	957
sim_110	62
sim_111	1949
sim_112	607
sim_113	1750
sim_114	174
sim_115	28
sim_116	52
sim_117	1496
sim_118	2319
sim_119	1640
sim_120	980
sim_121	1254
sim_122	2936
sim_123	1422
sim_124	1026
sim_125	6026
sim_126	436
sim_127	452
sim_128	1483
sim_129	171
sim_130	913
sim_131	2301
sim_132	1060
sim_133	1957
sim_134	151
sim_135	134
sim_136	79
sim_137	843
sim_138	954
sim_139	520
sim_140	514
sim_141	698
sim_142	593
sim_143	1442
sim_144	185
sim_145	125
sim_146	1145
sim_147	202
sim_148	1116
sim_149	822
sim_150	70
sim_151	891
sim_152	378
sim_153	11
sim_154	1340
sim_155	1573
sim_156	2809
sim_157	26
sim_158	907
sim_159	652
sim_160	1203
sim_161	171
sim_162	34
sim_163	496
sim_164	2814
sim_165	3940
sim_166	1724
sim_167	120
sim_168	932
sim_169	226
sim_170	45
sim_171	301
sim_172	283
sim_173	381
sim_174	472
sim_175	332
sim_176	671
sim_177	611
sim_178	170
sim_179	1477
sim_180	673
sim_181	816
sim_182	207
sim_183	1110
sim_184	2431
sim_185	1491
sim_186	1032
sim_187	68
sim_188	36
sim_189	3428
sim_190	688
sim_191	2696
sim_192	122
sim_193	1300
sim_194	287
sim_195	588
sim_196	1196
sim_197	1104
sim_198	502
sim_199	64
