item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    1200.031 0.044488 1.923585 1200     1196     1203     748937.8 1869.580 1200.030
posterior_for_Delphy       -30616.4 9.188546 135.3334 -30608.7 -30873.6 -30361.5 6454659. 216.9285 NaN     
prior_for_Delphy           677.0509 1.303102 19.25885 677.991  640.787  714.461  6410405. 218.4261 676.7747
likelihood_really_logG     -31293.5 7.890293 116.5989 -31286.6 -31519.3 -31077.4 6411902. 218.3751 NaN     
rootHeight                 3.253301 0.013506 0.293895 3.22815  2.72057  3.84775  2957058. 473.5111 3.240389
age(root)                  2013.526 0.013502 0.29383  2013.55  2012.94  2014.06  2956444. 473.6093 2013.526
treeLength                 137.0806 0.901532 13.17939 135.743  113.488  162.604  6551812. 213.7118 136.4690
exponential.popSize        179.9419 2.284563 58.32632 169.653  84.1621  298.267  2148161. 651.8130 171.4515
exponential.growthRate     1.573235 0.004345 0.191763 1.57058  1.20619  1.95044  718984.4 1947.469 1.561442
kappa                      17.24422 0.022105 1.667983 17.1451  14.2029  20.6731  245914.2 5693.854 17.16441
frequencies1               0.260286 4.83E-5  0.004038 0.260289 0.252553 0.268351 200000   7001     0.260255
frequencies2               0.232362 4.89E-5  0.003936 0.232353 0.224648 0.239928 216576.3 6465.155 0.232329
frequencies3               0.277839 5.01E-5  0.004131 0.277815 0.269746 0.285896 205819.2 6803.058 0.277808
frequencies4               0.229512 5.2E-5   0.003961 0.229539 0.222302 0.237994 241332.7 5801.946 0.229478
clock.rate                 0.000971 6.05E-6  9.38E-5  0.000971 0.000793 0.001159 5818776. 240.6347 0.000966
meanRate                   0.000971 6.05E-6  9.38E-5  0.000971 0.000793 0.001159 5818776. 240.6347 0.000966
age(KU527068.1|2015)       1.066765 0.003716 0.204213 1.03029  0.780849 1.46359  463528.8 3020.739 1.048459
age(KU647676.1|2015-12)    0.822884 0.000293 0.024524 0.82238  0.781264 0.861669 200000   7001     0.822519
age(KU820897.5|2015-12)    0.820069 0.000297 0.024244 0.818881 0.780878 0.86056  210431.6 6653.942 0.819711
age(KX101060.1|2015-05)    1.412477 0.000293 0.02426  1.41407  1.37233  1.452    203676.5 6874.626 1.412268
age(KX101061.1|2015-05)    1.400394 0.000282 0.02356  1.39623  1.36714  1.44359  200000   7001     1.400197
age(KX101066.1|2015-05)    1.410378 0.000292 0.024449 1.41096  1.37165  1.45202  200000   7001     1.410166
age(KX280026.1|2015)       1.194281 0.003906 0.256136 1.17219  0.783578 1.65563  325658.5 4299.595 1.167117
treeLikelihood_really_logG -31293.5 7.890293 116.5989 -31286.6 -31519.3 -31077.4 6411902. 218.3751 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                 -698.900 1.29272  19.09664 -697.949 -734.48  -661.242 6416309. 218.2251 NaN     
