replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	25211	92	0.003649	546	42	0.076923	220	33	0.150000	122	24	0.196721	70	11	0.157143	57	15	0.263158	44	11	0.250000	28	13	0.464286	21	8	0.380952	16	7	0.437500	14	6	0.428571	9	8	0.888889	7	3	0.428571	6	4	0.666667	2	1	0.500000	8	7	0.875000	6	6	1.000000	11	11	1.000000	7	6	0.857143	190	190	1.000000
sim_004	12987	57	0.004389	540	52	0.096296	299	41	0.137124	150	32	0.213333	78	19	0.243590	64	15	0.234375	32	6	0.187500	28	11	0.392857	21	6	0.285714	22	11	0.500000	11	9	0.818182	16	10	0.625000	14	9	0.642857	11	5	0.454545	3	2	0.666667	9	7	0.777778	5	4	0.800000	4	3	0.750000	4	4	1.000000	196	195	0.994898
sim_005	6890	52	0.007547	557	42	0.075404	262	34	0.129771	137	21	0.153285	87	19	0.218391	46	13	0.282609	41	11	0.268293	32	10	0.312500	29	15	0.517241	23	13	0.565217	17	12	0.705882	11	6	0.545455	5	3	0.600000	12	10	0.833333	9	6	0.666667	7	5	0.714286	6	5	0.833333	7	6	0.857143	4	3	0.750000	212	212	1.000000
sim_006	15170	77	0.005076	509	38	0.074656	220	30	0.136364	141	21	0.148936	86	20	0.232558	65	14	0.215385	43	17	0.395349	26	6	0.230769	27	13	0.481481	28	11	0.392857	15	7	0.466667	10	3	0.300000	10	4	0.400000	6	4	0.666667	7	7	1.000000	1	1	1.000000	7	6	0.857143	10	8	0.800000	10	10	1.000000	201	201	1.000000
sim_007	7376	45	0.006101	586	46	0.078498	288	38	0.131944	142	20	0.140845	91	22	0.241758	57	19	0.333333	40	10	0.250000	38	15	0.394737	27	14	0.518519	25	15	0.600000	13	7	0.538462	11	6	0.545455	14	10	0.714286	12	11	0.916667	4	3	0.750000	11	7	0.636364	4	3	0.750000	4	4	1.000000	6	6	1.000000	198	197	0.994949
sim_010	10256	75	0.007313	686	51	0.074344	307	37	0.120521	170	29	0.170588	91	17	0.186813	73	20	0.273973	45	24	0.533333	37	15	0.405405	29	14	0.482759	16	1	0.062500	7	1	0.142857	7	3	0.428571	8	7	0.875000	5	1	0.200000	5	4	0.800000	8	6	0.750000	4	4	1.000000	5	5	1.000000	6	6	1.000000	178	178	1.000000
sim_012	8161	40	0.004901	516	35	0.067829	302	35	0.115894	147	27	0.183673	90	22	0.244444	70	22	0.314286	39	16	0.410256	43	21	0.488372	25	6	0.240000	28	15	0.535714	14	8	0.571429	10	7	0.700000	8	6	0.750000	11	9	0.818182	9	8	0.888889	6	4	0.666667	2	1	0.500000	6	4	0.666667	4	4	1.000000	208	208	1.000000
sim_014	5276	49	0.009287	505	28	0.055446	276	36	0.130435	153	22	0.143791	104	23	0.221154	80	23	0.287500	56	18	0.321429	33	15	0.454545	27	10	0.370370	15	10	0.666667	18	9	0.500000	16	9	0.562500	8	6	0.750000	5	4	0.800000	9	6	0.666667	3	3	1.000000	3	2	0.666667	6	6	1.000000	3	3	1.000000	216	216	1.000000
sim_015	10728	59	0.005500	542	36	0.066421	283	39	0.137809	131	24	0.183206	89	26	0.292135	59	12	0.203390	44	15	0.340909	36	15	0.416667	21	8	0.380952	23	14	0.608696	18	9	0.500000	18	12	0.666667	6	3	0.500000	10	8	0.800000	11	6	0.545455	10	8	0.800000	2	2	1.000000	6	5	0.833333	9	7	0.777778	192	190	0.989583
sim_016	12524	79	0.006308	603	28	0.046434	261	27	0.103448	158	30	0.189873	83	23	0.277108	67	19	0.283582	47	16	0.340426	31	9	0.290323	21	7	0.333333	18	8	0.444444	16	10	0.625000	15	11	0.733333	14	10	0.714286	6	4	0.666667	9	7	0.777778	3	2	0.666667	9	9	1.000000	7	7	1.000000	5	5	1.000000	187	187	1.000000
