replicate	mu	alpha	tau	gamma_0	gamma_1	gamma_2	gamma_3	gamma_4	N_bar	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.3594864479315264	0.3095577746077033	0.09272467902995721	0.015691868758915834	0.9828815977175464	0.5592011412268189	0.8601997146932953	0.3067047075606277	0.6604850213980028	0.4122681883024251	0.8944365192582026	0.1369472182596291	0.5249643366619116	0.26105563480741795	0.42082738944365194
sim_004	0.7417974322396577	0.3067047075606277	0.02710413694721826	0.7475035663338089	0.4507845934379458	0.5035663338088445	0.8687589158345221	0.8730385164051355	0.9586305278174037	0.33523537803138376	0.8502139800285307	0.49358059914407987	0.46219686162624823	0.12553495007132667	0.7146932952924394
sim_005	0.8716119828815977	0.11554921540656206	0.9229671897289586	0.34807417974322397	0.6034236804564908	0.5520684736091298	0.04850213980028531	0.3651925820256776	0.14550641940085593	0.6019971469329529	0.7375178316690443	0.536376604850214	0.30385164051355207	0.25677603423680456	0.6291012838801712
sim_006	0.8502139800285307	0.7831669044222539	0.9529243937232525	0.760342368045649	0.456490727532097	0.26676176890156916	0.5335235378031383	0.738944365192582	0.7146932952924394	0.3166904422253923	0.3152639087018545	0.19400855920114124	0.9814550641940085	0.1840228245363766	0.7874465049928673
sim_007	0.8502139800285307	0.8601997146932953	0.4964336661911555	0.43081312410841655	0.2738944365192582	0.3238231098430813	0.5920114122681883	0.21398002853067047	0.1383737517831669	0.43509272467902993	0.2239657631954351	0.9985734664764622	0.4793152639087018	0.1768901569186876	0.5991440798858774
sim_010	0.8630527817403709	0.4964336661911555	0.5763195435092725	0.7845934379457917	0.037089871611982884	0.5378031383737518	0.8202567760342369	0.06134094151212553	0.0898716119828816	0.052781740370898715	0.2767475035663338	0.7817403708987162	0.7004279600570613	0.24536376604850213	0.05848787446504993
sim_012	0.5848787446504993	0.39372325249643364	0.7788873038516405	0.7261055634807418	0.7261055634807418	0.10271041369472182	0.43651925820256776	0.8273894436519258	0.7917261055634808	0.8345221112696148	0.905848787446505	0.5406562054208274	0.18544935805991442	0.2653352353780314	0.19828815977175462
sim_014	0.21825962910128388	0.9243937232524965	0.39942938659058486	0.9343794579172611	0.19400855920114124	0.8773181169757489	0.12268188302425106	0.4479315263908702	0.6134094151212554	0.6504992867332382	0.10271041369472182	0.34236804564907275	0.9871611982881597	0.11126961483594865	0.7489300998573466
sim_015	0.08416547788873038	0.3124108416547789	0.46219686162624823	0.31383737517831667	0.8131241084165478	0.23109843081312412	0.3152639087018545	0.9800285306704708	0.8958630527817404	0.9586305278174037	0.6405135520684736	0.9386590584878745	0.24393723252496433	0.5206847360912982	0.5549215406562055
sim_016	0.8402282453637661	0.15121255349500715	0.09272467902995721	0.5378031383737518	0.9343794579172611	0.12268188302425106	0.8388017118402282	0.05706134094151213	0.23823109843081314	0.7532097004279601	0.5748930099857347	0.024251069900142655	0.20684736091298145	0.9686162624821684	0.11269614835948645
sim_017	0.20684736091298145	0.5463623395149786	0.8031383737517832	0.7689015691868759	0.8730385164051355	0.9728958630527818	0.7261055634807418	0.9015691868758916	0.9957203994293866	0.7303851640513552	0.12553495007132667	0.7061340941512125	0.30385164051355207	0.818830242510699	0.3651925820256776
sim_019	0.17403708987161198	0.43366619115549215	0.362339514978602	0.39657631954350925	0.3223965763195435	0.7931526390870185	0.6405135520684736	0.5763195435092725	0.6504992867332382	0.24108416547788872	0.7902995720399429	0.14978601997146934	0.6262482168330956	0.4536376604850214	0.44079885877318115
sim_020	0.38231098430813126	0.48787446504992865	0.7532097004279601	0.2810271041369472	0.3437945791726106	0.5007132667617689	0.5549215406562055	0.3124108416547789	0.21825962910128388	0.34236804564907275	0.2724679029957204	0.8074179743223966	0.21398002853067047	0.8830242510699001	0.6747503566333809
sim_022	0.6248216833095578	0.3908701854493581	0.39657631954350925	0.557774607703281	0.6961483594864479	0.15834522111269614	0.5420827389443652	0.8102710413694721	0.7360912981455064	0.5306704707560628	0.41512125534950073	0.34236804564907275	0.2524964336661912	0.9843081312410842	0.7845934379457917
sim_023	0.456490727532097	0.28245363766048504	0.5249643366619116	0.43081312410841655	0.7189728958630528	0.08701854493580599	0.9457917261055635	0.25962910128388017	0.39514978601997147	0.34950071326676174	0.4864479315263909	0.4550641940085592	0.05848787446504993	0.9871611982881597	0.8630527817403709
sim_024	0.09985734664764621	0.6319543509272468	0.2810271041369472	0.2211126961483595	0.1840228245363766	0.11412268188302425	0.3537803138373752	0.9900142653352354	0.7902995720399429	0.44935805991440797	0.24393723252496433	0.18972895863052783	0.7332382310984308	0.7360912981455064	0.42368045649072755
sim_025	0.9358059914407989	0.9971469329529244	0.21112696148359486	0.0028530670470756064	0.14265335235378032	0.8088445078459344	0.4051355206847361	0.8359486447931527	0.21398002853067047	0.12268188302425106	0.948644793152639	0.1797432239657632	0.5634807417974322	0.4222539229671897	0.0
sim_027	0.6761768901569187	0.9115549215406562	0.26105563480741795	0.24251069900142652	0.14693295292439373	0.4094151212553495	0.2624821683309558	0.12125534950071326	0.012838801711840228	0.5891583452211127	0.6333808844507846	0.5891583452211127	0.543509272467903	0.039942938659058486	0.4079885877318117
sim_028	0.05420827389443652	1.0	0.6105563480741797	0.0	0.514978601997147	0.2838801711840228	0.9514978601997147	0.3095577746077033	0.06562054208273894	0.8373751783166904	0.268188302425107	0.6932952924393724	0.008559201141226819	0.7018544935805991	0.0014265335235378032
sim_029	0.3509272467902996	0.49358059914407987	0.14978601997146934	0.39372325249643364	0.3166904422253923	0.11269614835948645	0.6134094151212554	0.7146932952924394	0.3651925820256776	0.34950071326676174	0.16833095577746077	0.19971469329529243	0.9586305278174037	0.1340941512125535	0.81169757489301
sim_030	0.5406562054208274	0.15834522111269614	0.37089871611982883	0.5035663338088445	0.11269614835948645	0.5021398002853067	0.0884450784593438	0.24108416547788872	0.037089871611982884	0.15549215406562053	0.3651925820256776	0.5263908701854494	0.369472182596291	0.7161198288159771	0.1840228245363766
sim_031	0.3609129814550642	0.9586305278174037	0.1326676176890157	0.738944365192582	0.024251069900142655	0.5164051355206848	0.042796005706134094	0.9900142653352354	0.7646219686162625	0.7703281027104137	0.6333808844507846	0.47503566333808844	0.14550641940085593	0.8773181169757489	0.05135520684736091
sim_032	0.9942938659058488	0.760342368045649	0.28530670470756064	0.6633380884450785	0.6319543509272468	0.10699001426533523	0.3338088445078459	0.5805991440798859	0.38231098430813126	0.9215406562054208	0.23252496433666192	0.11840228245363767	0.9286733238231099	0.7004279600570613	0.4536376604850214
sim_033	0.9557774607703281	0.23395149786019973	0.6105563480741797	0.4037089871611983	0.7517831669044223	0.2225392296718973	0.3880171184022825	0.776034236804565	0.6533523537803139	0.6547788873038516	0.8245363766048502	0.4593437945791726	0.6647646219686163	0.15263908701854492	0.05848787446504993
sim_038	0.30527817403708984	0.6533523537803139	0.015691868758915834	0.5620542082738944	0.8045649072753209	0.5948644793152639	0.9743223965763196	0.1312410841654779	0.7232524964336662	0.10556348074179743	0.5677603423680456	0.5649072753209701	0.2767475035663338	0.6005706134094151	0.9258202567760342
sim_039	0.8687589158345221	0.15121255349500715	0.03851640513552068	0.8601997146932953	0.12696148359486448	0.8601997146932953	0.015691868758915834	0.8659058487874465	0.6148359486447932	0.4579172610556348	0.029957203994293864	0.5891583452211127	0.8359486447931527	0.9243937232524965	0.33523537803138376
sim_040	0.3095577746077033	0.6062767475035663	0.24536376604850213	0.33951497860199714	0.9300998573466477	0.5549215406562055	0.9115549215406562	0.25106990014265335	0.7104136947218259	0.9329529243937232	0.5278174037089871	0.717546362339515	0.37089871611982883	0.24393723252496433	0.543509272467903
sim_042	0.362339514978602	0.11269614835948645	0.18972895863052783	0.2767475035663338	0.5905848787446505	0.7432239657631954	0.651925820256776	0.10841654778887304	0.21540656205420827	0.44650499286733236	0.5805991440798859	0.37945791726105566	0.6077032810271041	0.4108416547788873	0.3609129814550642
sim_043	0.3223965763195435	0.7902995720399429	0.007132667617689016	0.7617689015691869	0.11840228245363767	0.06134094151212553	0.9728958630527818	0.7560627674750356	0.7118402282453637	0.7945791726105563	0.15549215406562053	0.39942938659058486	0.978601997146933	0.5192582025677603	0.7646219686162625
sim_044	0.579172610556348	0.07988587731811697	0.5820256776034237	0.42938659058487877	0.6619115549215406	0.6804564907275321	0.7660485021398002	0.7960057061340942	0.8830242510699001	0.33666191155492153	0.03566333808844508	0.62339514978602	0.6462196861626248	0.8430813124108416	0.10413694721825963
sim_045	0.8659058487874465	0.11982881597717546	0.5477888730385164	0.9472182596291013	0.6462196861626248	0.3238231098430813	0.29529243937232524	0.5477888730385164	0.7503566333808844	0.3281027104136947	0.6676176890156919	0.16405135520684735	0.6034236804564908	0.7660485021398002	0.21398002853067047
sim_046	0.9700427960057061	0.09415121255349501	0.3252496433666191	0.07988587731811697	0.0456490727532097	0.666191155492154	0.009985734664764621	0.3566333808844508	0.005706134094151213	0.7560627674750356	0.7817403708987162	0.5007132667617689	0.5463623395149786	0.3751783166904422	0.1383737517831669
sim_047	0.776034236804565	0.9429386590584878	0.7717546362339515	0.7532097004279601	0.289586305278174	0.29529243937232524	0.8259629101283881	0.9971469329529244	0.9900142653352354	0.5378031383737518	0.6676176890156919	0.33808844507845937	0.28530670470756064	0.7631954350927247	0.11412268188302425
sim_048	0.4536376604850214	0.6362339514978602	0.4122681883024251	0.2282453637660485	0.20970042796005706	0.7403708987161198	0.21398002853067047	0.6704707560627675	0.3338088445078459	0.557774607703281	0.5235378031383737	0.557774607703281	0.4051355206847361	0.5877318116975749	0.9358059914407989
sim_049	0.07845934379457917	0.7446504992867332	0.920114122681883	0.20399429386590584	0.442225392296719	0.6205420827389444	0.6362339514978602	0.33666191155492153	0.3024251069900143	0.3181169757489301	0.5278174037089871	0.8430813124108416	0.3537803138373752	0.2582025677603424	0.2653352353780314
sim_050	0.7774607703281027	0.9828815977175464	0.8801711840228246	0.5863052781740371	0.38944365192582026	0.6462196861626248	0.6718972895863052	0.28530670470756064	0.4165477888730385	0.1326676176890157	0.6961483594864479	0.3594864479315264	0.3309557774607703	0.8587731811697575	0.04850213980028531
sim_051	0.4051355206847361	0.06134094151212553	0.776034236804565	0.39229671897289586	0.6604850213980028	0.49072753209700426	0.44650499286733236	0.275320970042796	0.3152639087018545	0.09415121255349501	0.0	0.7261055634807418	0.9429386590584878	0.9115549215406562	0.4194008559201141
sim_052	0.3780313837375178	0.9400855920114123	0.6291012838801712	0.3594864479315264	0.6504992867332382	0.15121255349500715	0.5249643366619116	0.9044222539229672	0.7589158345221113	0.289586305278174	0.9300998573466477	0.17403708987161198	0.47218259629101283	0.028530670470756064	0.04992867332382311
