bin_lo	bin_hi	total	true_hits	fraction
0	5	1474215	8881	0.006024223061086748
5	10	73522	5335	0.07256331438208971
10	15	35591	4411	0.12393582647298475
15	20	20019	3456	0.17263599580398623
20	25	12650	2742	0.21675889328063241
25	30	8841	2398	0.27123628548806694
30	35	6181	1965	0.3179097233457369
35	40	4544	1650	0.36311619718309857
40	45	3417	1466	0.4290313140181446
45	50	2611	1247	0.47759479126771354
50	55	1995	1078	0.5403508771929825
55	60	1594	897	0.5627352572145545
60	65	1331	823	0.6183320811419984
65	70	1127	745	0.6610470275066548
70	75	956	666	0.696652719665272
75	80	836	648	0.7751196172248804
80	85	766	636	0.8302872062663186
85	90	702	602	0.8575498575498576
90	95	742	681	0.9177897574123989
95	100	30016	29891	0.9958355543710021
