uncertainty_type	n_tips	n_covered	coverage	expected	binom_2.5%	binom_97.5%
month	10646	10093	0.9480556077399962	0.950	0.9458012399023107	0.9540672553071576
year	3488	3263	0.935493119266055	0.950	0.9426605504587156	0.9569954128440367
