#node	date	numeric date
NODE_0000054	2020-03-23	2020.226329
MA_MGH_01120|MT873083.1|2020-05-02	2020-05-02	2020.334699
NODE_0000072	2020-04-01	2020.249923
MA_DPH_00053|MT873094.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00176|MT873222.1|2020-04-03	2020-04-03	2020.255464
MA_MGH_00654|MT520405.1|2020-04-02	2020-04-02	2020.252732
NODE_0000056	2020-04-01	2020.251270
MA_DPH_00063|MT873194.1|2020-04-03	2020-04-03	2020.255464
NODE_0000073	2020-04-29	2020.326257
MA_MGH_01623|MT873051.1|2020-05-09	2020-05-09	2020.353825
MA_MGH_00900|MT873293.1|2020-05-05	2020-05-05	2020.342896
MA_MGH_01328|MT873336.1|2020-05-05	2020-05-05	2020.342896
MA_MGH_01333|MT873191.1|2020-05-05	2020-05-05	2020.342896
NODE_0000069	2020-03-23	2020.225371
NODE_0000076	2020-03-24	2020.227725
NODE_0000078	2020-03-31	2020.248391
MA_MGH_01460|MT873143.1|2020-04-28	2020-04-28	2020.323770
MA_MGH_00935|MT873181.1|2020-05-02	2020-05-02	2020.334699
NODE_0000053	2020-03-25	2020.230175
MA_MGH_00080|MT520197.1|2020-03-25	2020-03-25	2020.230874
MA_MGH_00749|MT873359.1|2020-04-10	2020-04-10	2020.274590
NODE_0000058	2020-03-31	2020.247458
NODE_0000060	2020-04-01	2020.249535
MA_MGH_01206|MT873129.1|2020-05-04	2020-05-04	2020.340164
NODE_0000061	2020-04-01	2020.249681
MA_MGH_01415|MT873131.1|2020-05-07	2020-05-07	2020.348361
NODE_0000063	2020-04-01	2020.249718
NODE_0000064	2020-04-03	2020.254428
MA_MGH_00665|MT520403.1|2020-04-04	2020-04-04	2020.258197
MA_MGH_00798|MT873448.1|2020-04-13	2020-04-13	2020.282787
NODE_0000062	2020-04-03	2020.254659
MA_DPH_00236|MT873457.1|2020-04-16	2020-04-16	2020.290984
MA_DPH_00238|MT873399.1|2020-04-16	2020-04-16	2020.290984
MA_DPH_00197|MT873351.1|2020-04-07	2020-04-07	2020.266393
NODE_0000066	2020-03-31	2020.248119
NODE_0000067	2020-04-03	2020.254162
MA_MGH_01494|MT873319.1|2020-05-07	2020-05-07	2020.348361
MA_DPH_00243|MT873295.1|2020-04-16	2020-04-16	2020.290984
NODE_0000080	2020-04-08	2020.269126
MA_MGH_00711|MT520198.1|2020-04-08	2020-04-08	2020.269126
NODE_0000081	2020-04-28	2020.323417
MA_MGH_01382|MT873397.1|2020-05-06	2020-05-06	2020.345628
MA_MGH_01248|MT873490.1|2020-05-04	2020-05-04	2020.340164
MA_MGH_01127|MT873169.1|2020-05-02	2020-05-02	2020.334699
NODE_0000070	2020-04-29	2020.326160
MA_MGH_01325|MT873120.1|2020-05-05	2020-05-05	2020.342896
MA_MGH_01169|MT873058.1|2020-04-29	2020-04-29	2020.326503
NODE_0000092	2020-04-29	2020.326335
MA_MGH_00922|MT873151.1|2020-05-02	2020-05-02	2020.334699
NODE_0000096	2020-04-30	2020.329082
MA_MGH_01195|MT873307.1|2020-05-04	2020-05-04	2020.340164
MA_MGH_01290|MT873479.1|2020-05-05	2020-05-05	2020.342896
NODE_0000071	2020-02-21	2020.139643
NODE_0000074	2020-02-28	2020.160001
NODE_0000075	2020-02-28	2020.160001
MA_MGH_00679|MT520540.1|2020-03-22	2020-03-22	2020.222678
NODE_0000101	2020-03-31	2020.248278
MA_MGH_00736|MT873392.1|2020-04-09	2020-04-09	2020.271858
NODE_0000077	2020-03-31	2020.248278
MA_MGH_00717|MT520321.1|2020-04-08	2020-04-08	2020.269126
NODE_0000103	2020-04-03	2020.255081
MA_MGH_00675|MT520228.1|2020-04-06	2020-04-06	2020.263661
NODE_0000079	2020-04-03	2020.255081
MA_MGH_00832|MT873282.1|2020-04-13	2020-04-13	2020.282787
NODE_0000104	2020-04-30	2020.329158
MA_MGH_01471|MT873481.1|2020-05-06	2020-05-06	2020.345628
MA_MGH_01132|MT873335.1|2020-05-02	2020-05-02	2020.334699
NODE_0000082	2020-02-29	2020.162551
MA_MGH_00521|MT520299.1|2020-03-16	2020-03-16	2020.206284
NODE_0000083	2020-03-04	2020.173235
MA_MGH_00628|MT520212.1|2020-03-28	2020-03-28	2020.239071
NODE_0000084	2020-03-05	2020.175897
MA_MGH_00075|MT520523.1|2020-03-25	2020-03-25	2020.230874
NODE_0000085	2020-03-06	2020.179158
NODE_0000090	2020-04-01	2020.250000
MA_MGH_00262|MT520400.1|2020-04-06	2020-04-06	2020.263661
MA_MGH_00257|MT520479.1|2020-04-06	2020-04-06	2020.263661
MA_MGH_00298|MT520340.1|2020-04-01	2020-04-01	2020.250000
NODE_0000087	2020-03-07	2020.181694
MA_MGH_00433|MT520233.1|2020-03-07	2020-03-07	2020.181694
NODE_0000088	2020-03-12	2020.196537
NODE_0000089	2020-03-25	2020.230798
MA_MGH_01467|MT873245.1|2020-05-06	2020-05-06	2020.345628
MA_MGH_00205|MT520546.1|2020-03-27	2020-03-27	2020.236339
NODE_0000091	2020-03-12	2020.196537
MA_MGH_00539|MT520527.1|2020-03-19	2020-03-19	2020.214481
NODE_0000094	2020-04-13	2020.282289
MA_MGH_01368|MT873214.1|2020-05-06	2020-05-06	2020.345628
NODE_0000126	2020-04-28	2020.323617
MA_MGH_00937|MT873116.1|2020-05-02	2020-05-02	2020.334699
NODE_0000093	2020-04-29	2020.326341
MA_MGH_01086|MT873364.1|2020-05-01	2020-05-01	2020.331967
NODE_0000095	2020-04-29	2020.326966
MA_MGH_01084|MT873379.1|2020-05-01	2020-05-01	2020.331967
MA_MGH_00939|MT873196.1|2020-05-02	2020-05-02	2020.334699
NODE_0000110	2020-02-25	2020.152301
NODE_0000112	2020-02-29	2020.162367
MA_MGH_00417|MT520192.1|2020-03-07	2020-03-07	2020.181694
NODE_0000100	2020-03-18	2020.210717
MA_MGH_00637|MT520487.1|2020-04-03	2020-04-03	2020.255464
MA_MGH_00149|MT520484.1|2020-03-26	2020-03-26	2020.233607
NODE_0000134	2020-02-29	2020.162367
MA_MGH_00444|MT520429.1|2020-03-08	2020-03-08	2020.184426
NODE_0000117	2020-03-18	2020.211164
MA_MGH_00086|MT520220.1|2020-03-24	2020-03-24	2020.228142
