item                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                -5867.85 0.693365 21.92883 -5867.54 -5911.86 -5826.48 69992.69 1000.247 NaN     
prior                -412.178 0.728422 20.88759 -412.123 -452.770 -371.111 85142.98 822.2639 NaN     
likelihood           -5455.67 0.142837 9.985767 -5455.25 -5475.75 -5436.85 14324.48 4887.434 NaN     
rootHeight           6.337553 0.019719 0.764916 6.237309 5.084491 7.867421 46527.93 1504.687 6.293485
age(root)            1997.643 0.019719 0.764916 1997.743 1996.113 1998.896 46527.93 1504.687 1997.643
treeLength           68.62603 0.255222 7.156523 68.10506 55.06472 82.34005 89041.31 786.2642 68.25946
skygrid.precision    5.09935  NaN      NaN      5.09935  5.09935  5.09935  10000    7001     5.09935 
skygrid.logPopSize1  1.619409 0.008725 0.478626 1.597213 0.716403 2.562558 23264.24 3009.339 NaN     
skygrid.logPopSize2  1.493006 0.009151 0.404589 1.476117 0.761377 2.327136 35812.32 1954.913 1.434059
skygrid.logPopSize3  1.106778 0.010265 0.421686 1.098165 0.311127 1.948532 41488.83 1687.442 NaN     
skygrid.logPopSize4  0.736965 0.010931 0.453218 0.729779 -0.12480 1.631259 40722.78 1719.184 NaN     
skygrid.logPopSize5  0.461827 0.009706 0.47013  0.44978  -0.47017 1.377925 29840.17 2346.166 NaN     
skygrid.logPopSize6  0.392052 0.007316 0.461434 0.379331 -0.50969 1.295184 17597.20 3978.471 NaN     
skygrid.logPopSize7  0.566891 0.005726 0.44096  0.553546 -0.26083 1.450478 11805.34 5930.363 NaN     
skygrid.logPopSize8  0.948639 0.005467 0.425324 0.93818  0.134547 1.81808  11568.27 6051.898 NaN     
skygrid.logPopSize9  1.282547 0.005876 0.430498 1.274825 0.473055 2.142605 13040.94 5368.475 NaN     
skygrid.logPopSize10 1.382657 0.007288 0.464117 1.375369 0.487784 2.302718 17264.34 4055.177 NaN     
skygrid.logPopSize11 1.332918 0.007282 0.488997 1.326408 0.408706 2.326215 15523.89 4509.822 NaN     
skygrid.logPopSize12 1.334167 0.006537 0.498945 1.318355 0.359776 2.316996 12018.10 5825.379 NaN     
skygrid.logPopSize13 1.447809 0.006395 0.521404 1.425642 0.425817 2.48156  10533.05 6646.697 NaN     
skygrid.logPopSize14 1.625458 0.006816 0.554004 1.611376 0.602335 2.751889 10596.10 6607.147 NaN     
skygrid.logPopSize15 1.853551 0.007064 0.572933 1.837867 0.807971 3.032087 10643.33 6577.823 NaN     
skygrid.logPopSize16 2.110015 0.007288 0.589409 2.100167 0.938586 3.215186 10703.57 6540.805 NaN     
skygrid.logPopSize17 2.38521  0.00751  0.569768 2.377007 1.253815 3.479162 12162.52 5756.207 2.312536
skygrid.logPopSize18 2.659905 0.007342 0.501682 2.648179 1.665131 3.635815 14995.64 4668.689 2.611089
skygrid.logPopSize19 2.922958 0.007285 0.399673 2.909913 2.155481 3.707535 23258.40 3010.095 2.895417
skygrid.logPopSize20 2.661452 0.010718 0.405469 2.658227 1.850122 3.420813 48918.40 1431.158 2.630062
skygrid.logPopSize21 1.895969 0.01381  0.465044 1.882949 1.006467 2.815883 61740.04 1133.947 1.835306
skygrid.logPopSize22 1.209407 0.012607 0.462155 1.188807 0.351927 2.153105 52095.11 1343.887 NaN     
skygrid.logPopSize23 0.803362 0.009804 0.429306 0.781477 -0.07119 1.592136 36511.43 1917.481 NaN     
skygrid.logPopSize24 0.603187 0.007633 0.439542 0.595418 -0.24999 1.457535 21113.41 3315.901 NaN     
skygrid.logPopSize25 0.521151 0.006506 0.461204 0.516621 -0.38821 1.412781 13931.60 5025.265 NaN     
skygrid.logPopSize26 0.486038 0.006071 0.479117 0.470214 -0.43536 1.426624 11242.16 6227.448 NaN     
skygrid.logPopSize27 0.489732 0.006258 0.509026 0.479863 -0.51273 1.481463 10582.28 6615.775 NaN     
skygrid.logPopSize28 0.486294 0.006678 0.551405 0.472798 -0.58684 1.588861 10267.79 6818.404 NaN     
skygrid.logPopSize29 0.461108 0.007815 0.583044 0.439881 -0.67074 1.607919 12576.57 5566.697 NaN     
skygrid.logPopSize30 0.479736 0.007913 0.620299 0.46809  -0.76620 1.671202 11393.92 6144.504 NaN     
skygrid.logPopSize31 0.559788 0.008005 0.653822 0.546721 -0.64765 1.91245  10494.80 6670.917 NaN     
skygrid.logPopSize32 0.690419 0.008156 0.682392 0.68166  -0.65323 2.00774  10000    7001     NaN     
skygrid.logPopSize33 0.850802 0.008857 0.708367 0.833444 -0.48003 2.253559 10944.35 6396.904 NaN     
skygrid.logPopSize34 1.03667  0.008762 0.723176 1.028776 -0.27356 2.565543 10276.42 6812.679 NaN     
skygrid.logPopSize35 1.247627 0.008501 0.711258 1.235033 -0.11077 2.642843 10000    7001     NaN     
skygrid.logPopSize36 1.472278 0.008229 0.685536 1.463228 0.086361 2.771644 10087.42 6940.327 NaN     
skygrid.logPopSize37 1.7132   0.008226 0.653474 1.707185 0.420949 2.996427 11095.09 6309.996 NaN     
skygrid.logPopSize38 1.964406 0.007834 0.579744 1.956908 0.817689 3.091251 12785.02 5475.939 NaN     
skygrid.logPopSize39 2.184222 0.007353 0.481974 2.17421  1.259013 3.11546  16293.87 4296.706 2.128762
skygrid.logPopSize40 2.111623 0.009095 0.46015  2.098797 1.23632  3.014518 27348.94 2559.879 2.059426
skygrid.logPopSize41 1.441071 0.012373 0.545618 1.430208 0.386213 2.510104 36004.98 1944.452 NaN     
skygrid.logPopSize42 0.738387 0.011993 0.543958 0.714407 -0.29966 1.799062 34031.27 2057.225 NaN     
skygrid.logPopSize43 0.353286 0.008206 0.471686 0.341924 -0.58677 1.256279 21189.92 3303.928 NaN     
skygrid.logPopSize44 0.281208 0.006337 0.464188 0.279889 -0.60749 1.18804  13049.88 5364.798 NaN     
skygrid.logPopSize45 0.35441  0.006439 0.516989 0.351856 -0.63995 1.383016 10859.95 6446.617 NaN     
skygrid.logPopSize46 0.441702 0.007247 0.568739 0.435283 -0.66236 1.55773  11367.83 6158.604 NaN     
skygrid.logPopSize47 0.5136   0.008257 0.61285  0.510692 -0.62846 1.759967 12708.16 5509.057 NaN     
skygrid.logPopSize48 0.528221 0.010425 0.657294 0.543421 -0.72242 1.866933 17609.92 3975.598 NaN     
skygrid.logPopSize49 0.492443 0.012358 0.690302 0.50992  -0.87405 1.852816 22436.61 3120.346 NaN     
skygrid.logPopSize50 0.410548 0.013626 0.716644 0.439126 -1.00470 1.838681 25310.81 2766.010 NaN     
skygrid.cutOff       5        0        0        5        5        5        NaN      NaN      5       
kappa                11.41448 0.01952  1.629731 11.28425 8.393546 14.64576 10043.47 6970.696 11.30091
frequencies1         0.340405 0.000128 0.01073  0.340343 0.319355 0.360737 10000    7001     0.340236
frequencies2         0.193882 0.000108 0.008735 0.193837 0.176294 0.210553 10691.29 6548.316 0.193685
frequencies3         0.223827 0.000109 0.009145 0.223708 0.205965 0.241794 10000    7001     0.22364 
frequencies4         0.241886 0.000115 0.009446 0.241714 0.223716 0.26048  10387.22 6740.007 0.241702
alpha                0.307576 0.000884 0.066157 0.300344 0.1897   0.438328 12506.32 5597.969 0.300793
clock.rate           0.003498 1.32E-5  0.000422 0.003482 0.002715 0.004344 68182.24 1026.806 0.003472
meanRate             0.003498 1.32E-5  0.000422 0.003482 0.002715 0.004344 68182.24 1026.806 0.003472
