bin_lo	bin_hi	total	true_hits	fraction
0	5	1640866	5099	0.003108
5	10	22976	1591	0.069246
10	15	10917	1345	0.123202
15	20	6279	1057	0.168339
20	25	4213	950	0.225493
25	30	3141	857	0.272843
30	35	2366	711	0.300507
35	40	1654	648	0.391778
40	45	1208	517	0.427980
45	50	900	425	0.472222
50	55	680	362	0.532353
55	60	525	294	0.560000
60	65	401	250	0.623441
65	70	353	252	0.713881
70	75	286	203	0.709790
75	80	242	202	0.834711
80	85	241	195	0.809129
85	90	145	124	0.855172
90	95	162	148	0.913580
95	100	15676	15658	0.998852
