replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	1182	15	0.012690	124	8	0.064516	100	9	0.090000	50	5	0.100000	28	5	0.178571	32	6	0.187500	18	10	0.555556	3	2	0.666667	13	7	0.538462	3	2	0.666667	10	7	0.700000	10	5	0.500000	4	3	0.750000	8	5	0.625000	2	1	0.500000	4	3	0.750000	2	2	1.000000	1	1	1.000000	2	2	1.000000	100	100	1.000000
sim_001	68	2	0.029412	49	4	0.081633	67	11	0.164179	43	2	0.046512	27	5	0.185185	34	13	0.382353	18	5	0.277778	15	4	0.266667	6	2	0.333333	7	2	0.285714	4	3	0.750000	2	2	1.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	2	2	1.000000	1	1	1.000000	135	135	1.000000
sim_002	364	5	0.013736	92	8	0.086957	45	5	0.111111	39	7	0.179487	23	6	0.260870	22	5	0.227273	24	9	0.375000	14	5	0.357143	11	4	0.363636	2	1	0.500000	6	2	0.333333	3	1	0.333333	2	2	1.000000	2	1	0.500000	3	2	0.666667	1	1	1.000000	4	4	1.000000	3	2	0.666667	0	0	NaN	128	128	1.000000
sim_004	321	7	0.021807	78	6	0.076923	100	9	0.090000	66	12	0.181818	41	9	0.219512	25	7	0.280000	21	8	0.380952	9	1	0.111111	16	4	0.250000	7	4	0.571429	7	6	0.857143	4	2	0.500000	2	1	0.500000	2	1	0.500000	2	2	1.000000	3	3	1.000000	0	0	NaN	0	0	NaN	2	2	1.000000	114	114	1.000000
sim_005	210	5	0.023810	51	5	0.098039	43	5	0.116279	40	7	0.175000	42	10	0.238095	24	4	0.166667	10	4	0.400000	11	5	0.454545	5	2	0.400000	9	3	0.333333	4	3	0.750000	4	1	0.250000	4	2	0.500000	1	0	0.000000	0	0	NaN	1	1	1.000000	2	2	1.000000	0	0	NaN	1	1	1.000000	139	138	0.992806
sim_006	158	0	0.000000	57	6	0.105263	50	5	0.100000	49	10	0.204082	41	9	0.219512	25	7	0.280000	15	4	0.266667	15	7	0.466667	14	6	0.428571	2	0	0.000000	2	0	0.000000	9	6	0.666667	2	2	1.000000	5	4	0.800000	1	0	0.000000	1	1	1.000000	2	2	1.000000	0	0	NaN	2	2	1.000000	127	127	1.000000
sim_010	46979	116	0.002469	223	12	0.053812	49	9	0.183673	27	2	0.074074	18	3	0.166667	13	2	0.153846	1	0	0.000000	4	2	0.500000	10	4	0.400000	6	4	0.666667	1	0	0.000000	1	1	1.000000	1	1	1.000000	3	2	0.666667	2	2	1.000000	5	3	0.600000	1	1	1.000000	1	1	1.000000	0	0	NaN	33	33	1.000000
sim_011	7082	32	0.004518	175	10	0.057143	103	13	0.126214	53	7	0.132075	39	12	0.307692	25	4	0.160000	17	8	0.470588	7	2	0.285714	9	5	0.555556	6	3	0.500000	4	2	0.500000	8	4	0.500000	2	1	0.500000	3	3	1.000000	2	1	0.500000	2	2	1.000000	4	3	0.750000	2	2	1.000000	2	2	1.000000	82	82	1.000000
sim_012	60662	141	0.002324	240	9	0.037500	58	6	0.103448	23	5	0.217391	18	6	0.333333	9	2	0.222222	5	1	0.200000	5	2	0.400000	1	1	1.000000	1	1	1.000000	7	4	0.571429	1	1	1.000000	0	0	NaN	1	0	0.000000	0	0	NaN	0	0	NaN	0	0	NaN	1	1	1.000000	0	0	NaN	18	18	1.000000
sim_013	54584	134	0.002455	226	10	0.044248	67	8	0.119403	26	1	0.038462	16	7	0.437500	7	1	0.142857	3	1	0.333333	3	3	1.000000	2	1	0.500000	1	1	1.000000	1	0	0.000000	2	0	0.000000	1	1	1.000000	2	1	0.500000	0	0	NaN	3	2	0.666667	2	2	1.000000	1	1	1.000000	2	2	1.000000	22	22	1.000000
sim_014	69	0	0.000000	17	1	0.058824	26	4	0.153846	12	0	0.000000	18	7	0.388889	24	7	0.291667	11	4	0.363636	15	3	0.200000	8	3	0.375000	6	3	0.500000	3	2	0.666667	0	0	NaN	2	2	1.000000	1	1	1.000000	1	0	0.000000	4	4	1.000000	1	0	0.000000	1	1	1.000000	1	1	1.000000	155	155	1.000000
sim_015	291	3	0.010309	80	6	0.075000	68	8	0.117647	37	3	0.081081	27	8	0.296296	26	9	0.346154	13	6	0.461538	8	2	0.250000	9	1	0.111111	7	5	0.714286	6	2	0.333333	3	2	0.666667	2	2	1.000000	3	3	1.000000	1	1	1.000000	2	2	1.000000	0	0	NaN	0	0	NaN	0	0	NaN	135	135	1.000000
sim_017	51899	126	0.002428	324	27	0.083333	68	7	0.102941	32	5	0.156250	11	3	0.272727	7	1	0.142857	8	5	0.625000	4	3	0.750000	0	0	NaN	2	0	0.000000	1	0	0.000000	0	0	NaN	0	0	NaN	2	1	0.500000	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	3	3	1.000000	17	17	1.000000
sim_018	102	2	0.019608	52	5	0.096154	43	6	0.139535	27	4	0.148148	20	3	0.150000	16	4	0.250000	16	7	0.437500	13	3	0.230769	5	0	0.000000	4	4	1.000000	2	1	0.500000	2	1	0.500000	1	1	1.000000	1	1	1.000000	0	0	NaN	1	1	1.000000	0	0	NaN	0	0	NaN	1	1	1.000000	154	154	1.000000
sim_019	159	2	0.012579	52	8	0.153846	29	3	0.103448	18	4	0.222222	13	1	0.076923	23	6	0.260870	11	2	0.181818	16	6	0.375000	8	3	0.375000	1	0	0.000000	1	1	1.000000	2	1	0.500000	0	0	NaN	1	1	1.000000	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	1	1	1.000000	159	159	1.000000
