Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9358974358974359	156	0.950	0.9102564102564102	0.9807692307692307
alpha	0.9423076923076923	156	0.950	0.9102564102564102	0.9807692307692307
n0	0.9294871794871795	156	0.950	0.9102564102564102	0.9807692307692307
g	0.9551282051282052	156	0.950	0.9102564102564102	0.9807692307692307
kappa	0.9358974358974359	156	0.950	0.9102564102564102	0.9807692307692307
pi_A	0.9358974358974359	156	0.950	0.9102564102564102	0.9807692307692307
pi_C	0.9487179487179487	156	0.950	0.9102564102564102	0.9807692307692307
pi_G	0.9423076923076923	156	0.950	0.9102564102564102	0.9807692307692307
pi_T	0.9487179487179487	156	0.950	0.9102564102564102	0.9807692307692307
rootHeight	0.9294871794871795	156	0.950	0.9102564102564102	0.9807692307692307
