name,date
KM034563-G3687|2014-05-28,2014-05-28
KM034562-G3686|2014-05-28,2014-05-28
KM034561-G3683|2014-05-28,2014-05-28
KM034560-G3682|2014-05-28,2014-05-28
KM034559-G3680|2014-05-28,2014-05-28
KM034558-G3679|2014-05-28,2014-05-28
KM034556-G3677|2014-05-26,2014-05-26
KM034554-G3676|2014-05-27,2014-05-27
KM034553-G3670|2014-05-27,2014-05-27
KM034552-EM098|2014-05-26,2014-05-26
KM034551-EM096|2014-05-26,2014-05-26
KM034550-EM095|2014-05-25,2014-05-25
KJ660348-Gueckedou-C05|2014-03-19,2014-03-19
KJ660347-Gueckedou-C07|2014-03-20,2014-03-20
KJ660346-Kissidougou-C15|2014-03-17,2014-03-17
AA000000-NM042|2014-06-04,2014-06-04
AA000000-G3857|2014-06-18,2014-06-18
AA000000-G3856|2014-06-18,2014-06-18
AA000000-G3851|2014-06-18,2014-06-18
AA000000-G3850|2014-06-18,2014-06-18
AA000000-G3848|2014-06-18,2014-06-18
AA000000-G3846|2014-06-18,2014-06-18
AA000000-G3845|2014-06-18,2014-06-18
AA000000-G3841|2014-06-17,2014-06-17
AA000000-G3840|2014-06-17,2014-06-17
AA000000-G3838|2014-06-17,2014-06-17
AA000000-G3834|2014-06-17,2014-06-17
AA000000-G3831|2014-06-16,2014-06-16
AA000000-G3829|2014-06-16,2014-06-16
AA000000-G3827|2014-06-16,2014-06-16
AA000000-G3826|2014-06-16,2014-06-16
AA000000-G3825|2014-06-16,2014-06-16
AA000000-G3823|2014-06-15,2014-06-15
AA000000-G3822|2014-06-15,2014-06-15
AA000000-G3821|2014-06-15,2014-06-15
AA000000-G3820|2014-06-15,2014-06-15
AA000000-G3819|2014-06-15,2014-06-15
AA000000-G3818|2014-06-15,2014-06-15
AA000000-G3817|2014-06-15,2014-06-15
AA000000-G3816|2014-06-15,2014-06-15
AA000000-G3814|2014-06-15,2014-06-15
AA000000-G3810|2014-06-15,2014-06-15
AA000000-G3809|2014-06-15,2014-06-15
AA000000-G3808|2014-06-15,2014-06-15
AA000000-G3807|2014-06-15,2014-06-15
AA000000-G3805|2014-06-15,2014-06-15
AA000000-G3800|2014-06-15,2014-06-15
AA000000-G3799|2014-06-15,2014-06-15
AA000000-G3798|2014-06-15,2014-06-15
AA000000-G3796|2014-06-15,2014-06-15
AA000000-G3795|2014-06-15,2014-06-15
AA000000-G3789|2014-06-14,2014-06-14
AA000000-G3788|2014-06-14,2014-06-14
AA000000-G3787|2014-06-14,2014-06-14
AA000000-G3786|2014-06-14,2014-06-14
AA000000-G3782|2014-06-14,2014-06-14
AA000000-G3771|2014-06-12,2014-06-12
AA000000-G3770|2014-06-12,2014-06-12
AA000000-G3769|2014-06-12,2014-06-12
AA000000-G3765|2014-06-14,2014-06-14
AA000000-G3764|2014-06-12,2014-06-12
AA000000-G3758|2014-06-11,2014-06-11
AA000000-G3752|2014-06-10,2014-06-10
AA000000-G3750|2014-06-10,2014-06-10
AA000000-G3735|2014-06-07,2014-06-07
AA000000-G3734|2014-06-07,2014-06-07
AA000000-G3729|2014-06-07,2014-06-07
AA000000-G3724|2014-06-05,2014-06-05
AA000000-G3713|2014-06-09,2014-06-09
AA000000-G3707|2014-05-31,2014-05-31
AA000000-EM124|2014-06-04,2014-06-04
AA000000-EM121|2014-06-04,2014-06-04
AA000000-EM120|2014-06-03,2014-06-03
AA000000-EM119|2014-06-03,2014-06-03
AA000000-EM115|2014-06-03,2014-06-03
AA000000-EM113|2014-06-03,2014-06-03
AA000000-EM112|2014-06-03,2014-06-03
AA000000-EM111|2014-06-03,2014-06-03
AA000000-EM110|2014-06-03,2014-06-03
AA000000-EM106|2014-06-02,2014-06-02
AA000000-EM104|2014-06-02,2014-06-02
