bin_lo	bin_hi	total	true_hits	fraction
0	5	1889876	5754	0.003045
5	10	26816	1948	0.072643
10	15	12984	1595	0.122843
15	20	7494	1285	0.171471
20	25	5177	1214	0.234499
25	30	3767	1018	0.270242
30	35	2773	872	0.314461
35	40	1964	730	0.371690
40	45	1428	628	0.439776
45	50	1088	512	0.470588
50	55	800	426	0.532500
55	60	656	361	0.550305
60	65	496	304	0.612903
65	70	441	292	0.662132
70	75	325	234	0.720000
75	80	286	223	0.779720
80	85	258	218	0.844961
85	90	179	157	0.877095
90	95	167	158	0.946108
95	100	19702	19691	0.999442
