Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9473684210526315	190	0.950	0.9157894736842105	0.9789473684210527
n0	0.9315789473684211	190	0.950	0.9157894736842105	0.9789473684210527
g	0.9315789473684211	190	0.950	0.9157894736842105	0.9789473684210527
kappa	0.968421052631579	190	0.950	0.9157894736842105	0.9789473684210527
pi_A	0.9631578947368421	190	0.950	0.9157894736842105	0.9789473684210527
pi_C	0.9157894736842105	190	0.950	0.9157894736842105	0.9789473684210527
pi_G	0.9157894736842105	190	0.950	0.9157894736842105	0.9789473684210527
pi_T	0.9	190	0.950	0.9157894736842105	0.9789473684210527
rootHeight	0.9526315789473684	190	0.950	0.9157894736842105	0.9789473684210527
