replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	2438	18	0.007383	168	19	0.113095	80	9	0.112500	53	7	0.132075	39	8	0.205128	32	10	0.312500	16	2	0.125000	10	3	0.300000	10	5	0.500000	10	1	0.100000	2	1	0.500000	6	4	0.666667	4	4	1.000000	6	3	0.500000	4	4	1.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	1	1	1.000000	96	96	1.000000
sim_001	378	6	0.015873	71	3	0.042254	79	15	0.189873	45	7	0.155556	32	8	0.250000	26	7	0.269231	15	4	0.266667	11	4	0.363636	11	4	0.363636	6	1	0.166667	5	2	0.400000	5	2	0.400000	2	2	1.000000	3	2	0.666667	2	2	1.000000	4	2	0.500000	0	0	NaN	1	1	1.000000	4	4	1.000000	122	122	1.000000
sim_002	234	3	0.012821	68	5	0.073529	62	11	0.177419	42	6	0.142857	27	5	0.185185	21	2	0.095238	19	4	0.210526	12	7	0.583333	8	6	0.750000	9	5	0.555556	4	4	1.000000	5	2	0.400000	5	4	0.800000	2	0	0.000000	1	1	1.000000	2	1	0.500000	0	0	NaN	1	1	1.000000	1	1	1.000000	130	130	1.000000
sim_003	45	2	0.044444	46	2	0.043478	46	4	0.086957	20	4	0.200000	33	11	0.333333	32	6	0.187500	16	6	0.375000	8	2	0.250000	11	5	0.454545	4	3	0.750000	4	1	0.250000	2	1	0.500000	3	2	0.666667	0	0	NaN	1	1	1.000000	0	0	NaN	1	1	1.000000	0	0	NaN	0	0	NaN	147	147	1.000000
sim_004	798	8	0.010025	126	11	0.087302	82	10	0.121951	59	14	0.237288	41	9	0.219512	19	9	0.473684	15	2	0.133333	9	3	0.333333	7	2	0.285714	1	0	0.000000	5	1	0.200000	7	2	0.285714	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	1	1	1.000000	3	2	0.666667	1	1	1.000000	123	123	1.000000
sim_005	560	4	0.007143	64	4	0.062500	35	6	0.171429	28	4	0.142857	24	6	0.250000	18	7	0.388889	15	6	0.400000	16	2	0.125000	8	3	0.375000	3	2	0.666667	5	5	1.000000	3	2	0.666667	1	0	0.000000	2	0	0.000000	0	0	NaN	0	0	NaN	2	2	1.000000	0	0	NaN	1	1	1.000000	144	144	1.000000
sim_006	104	2	0.019231	34	2	0.058824	46	6	0.130435	32	6	0.187500	29	4	0.137931	30	9	0.300000	19	5	0.263158	14	6	0.428571	9	4	0.444444	9	5	0.555556	9	7	0.777778	3	1	0.333333	2	1	0.500000	2	1	0.500000	1	0	0.000000	1	1	1.000000	0	0	NaN	1	1	1.000000	2	2	1.000000	135	135	1.000000
sim_008	40	0	0.000000	14	0	0.000000	17	2	0.117647	8	2	0.250000	12	4	0.333333	13	2	0.153846	15	7	0.466667	8	3	0.375000	8	1	0.125000	2	1	0.500000	4	2	0.500000	1	1	1.000000	2	2	1.000000	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	1	1	1.000000	170	170	1.000000
sim_010	30445	94	0.003088	327	29	0.088685	73	4	0.054795	54	7	0.129630	26	5	0.192308	15	5	0.333333	8	2	0.250000	5	2	0.400000	12	5	0.416667	4	2	0.500000	3	1	0.333333	3	3	1.000000	2	1	0.500000	3	1	0.333333	0	0	NaN	3	0	0.000000	1	1	1.000000	1	1	1.000000	2	2	1.000000	33	33	1.000000
sim_011	2347	19	0.008095	242	22	0.090909	101	10	0.099010	54	13	0.240741	36	6	0.166667	23	3	0.130435	17	7	0.411765	4	1	0.250000	12	7	0.583333	11	6	0.545455	7	5	0.714286	12	5	0.416667	2	0	0.000000	2	2	1.000000	2	1	0.500000	1	1	1.000000	3	2	0.666667	1	1	1.000000	2	2	1.000000	85	85	1.000000
