replicate	mu	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.12838801711840228	0.9985734664764622	0.9828815977175464	0.009985734664764621	0.3124108416547789	0.9728958630527818	0.6975748930099858	0.2396576319543509	0.5235378031383737
sim_001	0.28815977175463625	0.43651925820256776	0.12125534950071326	0.3024251069900143	0.03851640513552068	0.34522111269614836	0.9572039942938659	0.8017118402282454	0.7303851640513552
sim_002	0.42938659058487877	0.2396576319543509	0.16405135520684735	0.948644793152639	0.9029957203994294	0.1398002853067047	0.7118402282453637	0.2239657631954351	0.3666191155492154
sim_003	0.16833095577746077	0.9144079885877318	0.5492154065620543	0.43366619115549215	0.24536376604850213	0.6048502139800286	0.46790299572039945	0.7803138373751783	0.579172610556348
sim_004	0.07988587731811697	0.5492154065620543	0.5292439372325249	0.8131241084165478	0.7817403708987162	0.7275320970042796	0.0884450784593438	0.33238231098430815	0.9343794579172611
sim_005	0.7617689015691869	0.7503566333808844	0.9115549215406562	0.543509272467903	0.7560627674750356	0.5392296718972895	0.3309557774607703	0.4479315263908702	0.04992867332382311
sim_006	0.340941512125535	0.6191155492154066	0.23680456490727533	0.7289586305278174	0.6847360912981455	0.44650499286733236	0.2838801711840228	0.6176890156918687	0.8373751783166904
sim_008	0.4008559201141227	0.017118402282453638	0.0	0.275320970042796	0.6975748930099858	0.4194008559201141	0.28530670470756064	0.6804564907275321	0.7346647646219686
sim_010	0.8502139800285307	0.48074179743223966	0.33238231098430815	0.8659058487874465	0.3637660485021398	0.38516405135520687	0.985734664764622	0.35520684736091296	0.14265335235378032
sim_011	0.8815977175463623	0.7047075606276747	0.5977175463623395	0.23109843081312412	0.49072753209700426	0.5192582025677603	0.17261055634807418	0.7332382310984308	0.4165477888730385
sim_012	0.24108416547788872	0.7446504992867332	0.8815977175463623	0.7788873038516405	0.5477888730385164	0.4764621968616263	0.5563480741797432	0.42938659058487877	0.2396576319543509
sim_013	0.5420827389443652	0.44079885877318115	0.5663338088445078	0.9529243937232525	0.9072753209700428	0.29529243937232524	0.24536376604850213	0.07988587731811697	0.651925820256776
sim_014	0.5392296718972895	0.15691868758915833	0.19828815977175462	0.29243937232524964	0.35805991440798857	0.6262482168330956	0.6276747503566333	0.4051355206847361	0.9044222539229672
sim_015	0.05848787446504993	0.06990014265335236	0.0442225392296719	0.40228245363766046	0.15834522111269614	0.7960057061340942	0.3594864479315264	0.5920114122681883	0.9457917261055635
sim_016	0.2268188302425107	0.4450784593437946	0.4079885877318117	0.04850213980028531	0.81169757489301	0.1340941512125535	0.28245363766048504	0.7988587731811697	0.7874465049928673
sim_017	0.47075606276747506	0.30385164051355207	0.5934379457917262	0.8430813124108416	0.181169757489301	0.07703281027104136	0.978601997146933	0.10841654778887304	0.8530670470756063
sim_018	0.18687589158345222	0.34236804564907275	0.6048502139800286	0.8002853067047075	0.6747503566333809	0.7118402282453637	0.268188302425107	0.42368045649072755	0.34522111269614836
sim_019	0.4122681883024251	0.8773181169757489	0.4893009985734665	0.03281027104136947	0.09272467902995721	0.8102710413694721	0.6890156918687589	0.7689015691868759	0.5534950071326676
sim_020	0.6604850213980028	0.9871611982881597	1.0	0.8801711840228246	0.5592011412268189	0.2268188302425107	0.9828815977175464	0.11982881597717546	0.19971469329529243
sim_021	0.550641940085592	0.6319543509272468	0.5235378031383737	0.7546362339514978	0.8302425106990015	0.8873038516405135	0.6319543509272468	0.0042796005706134095	0.04850213980028531
sim_022	0.5320970042796006	0.23823109843081314	0.30099857346647646	0.9286733238231099	0.8302425106990015	0.7489300998573466	0.05848787446504993	0.5021398002853067	0.43937232524964337
sim_023	0.9900142653352354	0.6148359486447932	0.6119828815977175	0.703281027104137	0.19258202567760344	0.9700427960057061	0.8830242510699001	0.268188302425107	0.854493580599144
sim_024	0.29243937232524964	0.42653352353780316	0.08559201141226819	0.7945791726105563	0.09985734664764621	0.9072753209700428	0.5920114122681883	0.30813124108416545	0.9828815977175464
sim_025	0.2296718972895863	0.8202567760342369	0.4479315263908702	0.5349500713266762	0.20256776034236804	0.8601997146932953	0.4108416547788873	0.10556348074179743	0.8587731811697575
sim_026	0.5634807417974322	0.4108416547788873	0.5406562054208274	0.7831669044222539	0.6390870185449358	0.2396576319543509	0.7403708987161198	0.16690442225392296	0.034236804564907276
sim_027	0.2239657631954351	0.6219686162624821	0.8373751783166904	0.5263908701854494	0.9529243937232525	0.07417974322396577	0.021398002853067047	0.7660485021398002	0.29243937232524964
sim_028	0.42796005706134094	0.8758915834522111	0.8088445078459344	0.9686162624821684	0.19971469329529243	0.5991440798858774	0.4450784593437946	0.6162624821683309	0.651925820256776
sim_029	0.4864479315263909	0.2524964336661912	0.26676176890156916	0.05991440798858773	0.760342368045649	0.06990014265335236	0.8059914407988588	0.6776034236804565	0.2624821683309558
sim_030	0.9529243937232525	0.4037089871611983	0.6248216833095578	0.666191155492154	0.42082738944365194	0.9771754636233951	0.029957203994293864	0.6362339514978602	0.5734664764621968
sim_032	0.0884450784593438	0.24108416547788872	0.12696148359486448	0.7945791726105563	0.09700427960057062	0.7988587731811697	0.48216833095577744	0.760342368045649	0.6405135520684736
sim_033	0.5121255349500713	0.019971469329529243	0.11982881597717546	0.4008559201141227	0.6990014265335235	0.6462196861626248	0.6490727532097005	0.09700427960057062	0.7047075606276747
sim_035	0.5891583452211127	0.2967189728958631	0.042796005706134094	0.5848787446504993	0.08416547788873038	0.7360912981455064	0.11554921540656206	0.8944365192582026	0.8473609129814551
sim_036	0.644793152639087	0.16975748930099857	0.19115549215406563	0.5392296718972895	0.014265335235378032	0.6647646219686163	0.4593437945791726	0.9529243937232525	0.8059914407988588
sim_037	0.9614835948644793	0.81169757489301	0.948644793152639	0.9215406562054208	0.8359486447931527	0.5007132667617689	0.21825962910128388	0.2810271041369472	0.3024251069900143
sim_038	0.8316690442225392	0.10841654778887304	0.21112696148359486	0.9942938659058488	0.5292439372325249	0.738944365192582	0.10413694721825963	0.5920114122681883	0.3181169757489301
sim_039	0.21112696148359486	0.2781740370898716	0.23680456490727533	0.43937232524964337	0.6262482168330956	0.6148359486447932	0.362339514978602	0.37375178316690444	0.5777460770328102
sim_040	0.2796005706134094	0.43509272467902993	0.724679029957204	0.43509272467902993	0.23823109843081314	0.02710413694721826	0.9215406562054208	0.776034236804565	0.47075606276747506
sim_041	0.15549215406562053	0.7403708987161198	0.6875891583452212	0.8430813124108416	0.7089871611982882	0.49358059914407987	0.5620542082738944	0.08273894436519258	0.6191155492154066
sim_042	0.8288159771754636	0.1383737517831669	0.3209700427960057	0.8873038516405135	0.5306704707560628	0.543509272467903	0.9101283880171184	0.10271041369472182	0.854493580599144
sim_043	0.42082738944365194	0.6533523537803139	0.20684736091298145	0.9001426533523538	0.9443651925820257	0.985734664764622	0.0028530670470756064	0.7075606276747504	0.9914407988587732
sim_044	0.637660485021398	0.833095577746077	0.6619115549215406	0.8459343794579173	0.8231098430813124	0.3651925820256776	0.02282453637660485	0.9315263908701854	0.4322396576319544
sim_045	0.3181169757489301	0.7018544935805991	0.854493580599144	0.5164051355206848	0.5292439372325249	0.6462196861626248	0.3566333808844508	0.5078459343794579	0.28245363766048504
sim_046	0.10699001426533523	0.3666191155492154	0.24964336661911554	0.24108416547788872	0.47218259629101283	0.07417974322396577	0.8174037089871612	0.8587731811697575	0.4579172610556348
sim_047	0.42938659058487877	0.5135520684736091	0.6219686162624821	0.46219686162624823	0.38088445078459343	0.9942938659058488	0.62339514978602	0.05420827389443652	0.8159771754636234
sim_049	0.48787446504992865	0.24393723252496433	0.5520684736091298	0.5249643366619116	0.1355206847360913	0.9500713266761769	0.12410841654778887	0.7360912981455064	0.16975748930099857
