item                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                   -25439.0 0.825313 21.15020 -25437.5 -25480.5 -25399.2 213205.3 656.7378 NaN     
prior                   -714.787 0.872073 19.80806 -713.540 -754.385 -677.657 271400.7 515.9159 NaN     
likelihood              -24724.2 0.161354 11.50823 -24723.8 -24747.4 -24702.8 27525.33 5086.950 NaN     
rootHeight              3.290854 0.010066 0.308395 3.257286 2.743653 3.908559 149180.5 938.5941 3.276899
age(root)               2013.487 0.010066 0.308395 2013.521 2012.870 2014.035 149180.7 938.5928 2013.487
treeLength              139.3189 0.621615 13.88085 137.5706 113.4189 165.3752 280802.1 498.6429 138.6543
exponential.popSize     184.7074 1.533018 59.29515 175.2042 84.07045 301.7456 93593.57 1496.042 176.0415
exponential.growthRate  1.566258 0.003765 0.193052 1.559244 1.209401 1.947578 53250.86 2629.440 1.554274
kappa                   17.26592 0.019772 1.654377 17.1724  13.99128 20.41516 20000    7001     17.18765
frequencies1            0.260289 4.87E-5  0.004073 0.260262 0.252346 0.268245 20000    7001     0.260257
frequencies2            0.232251 4.79E-5  0.004006 0.232187 0.224886 0.240473 20000    7001     0.232216
frequencies3            0.278015 5.05E-5  0.004176 0.27801  0.270121 0.286485 20437.21 6851.227 0.277984
frequencies4            0.229446 4.9E-5   0.003967 0.229431 0.221605 0.237055 21384.33 6547.782 0.229411
clock.rate              0.000956 4.01E-6  9.48E-5  0.000956 0.000763 0.001134 250141.8 559.7622 0.000951
meanRate                0.000956 4.01E-6  9.48E-5  0.000956 0.000763 0.001134 250141.8 559.7622 0.000951
age(KU527068.1|2015)    1.07394  0.003321 0.210379 1.037975 0.778748 1.476921 34889.86 4013.199 1.054529
age(KU647676.1|2015-12) 0.821481 0.000291 0.024321 0.821578 0.782174 0.862502 20000    7001     0.821121
age(KU820897.5|2015-12) 0.818186 0.000288 0.024098 0.817054 0.778695 0.858    20000    7001     0.817832
age(KX101060.1|2015-05) 1.410053 0.000292 0.024421 1.4113   1.37022  1.449784 20000    7001     1.409841
age(KX101061.1|2015-05) 1.39965  0.000293 0.023925 1.395973 1.365074 1.442933 21016.62 6662.344 1.399447
age(KX101066.1|2015-05) 1.40823  0.00031  0.024488 1.40853  1.369054 1.44932  22443.66 6238.732 1.408017
age(KX280026.1|2015)    1.204123 0.003034 0.253832 1.18397  0.779163 1.654671 20000    7001     1.177539
treeLikelihood          -24724.2 0.161354 11.50823 -24723.8 -24747.4 -24702.8 27525.33 5086.950 NaN     
branchRates             0        0        0        0        0        0        NaN      NaN      NaN     
coalescent              -702.162 0.865161 19.64835 -700.882 -741.229 -665.238 271475.9 515.7731 NaN     
