sample	country	date	date-in-years	distance	residual
JN860885.1	Cambodia	2010	2010.5	0.010465524247436872	6.636690636888844E-4
KF993678.1	Thailand	2013-02-19	2013.1342465753426	0.012650524247436871	7.095431308768146E-4
KU681081.3	Thailand	2014-07-19	2014.545205479452	0.013647524247436872	5.60781450795635E-4
KJ776791.2	French_Polynesia	2013-11-28	2013.9068493150685	0.012029524247436871	-5.388448182159691E-4
ZBRD116	Brazil	2015-08-28	2015.654794520548	0.013289524247436872	-6.982544335401315E-4
BRA_2016_FC-DQ49D1-PLA	Brazil	2016-03-28	2016.2377049180327	0.01342652424743687	-0.0010346037241633927
BRA_2016_FC-6696-SER	Brazil	2016-04-05	2016.25956284153	0.013434524247436871	-0.0010443533347837906
BRA_2016_FC-6706-SER	Brazil	2016-04-08	2016.2677595628415	0.013595524247436873	-8.900094387664387E-4
BRA_2016_FC-6703-SER	Brazil	2016-04-08	2016.2677595628415	0.013415524247436873	-0.0010700094387664384
ZBRX128	Brazil	2016-03-13	2016.1967213114754	0.013755524247436873	-6.723232042501418E-4
BRA_2016_FC-DQ116D1-PLA	Brazil	2016-04-14	2016.2841530054645	0.013359524247436872	-0.001139321646731738
KU497555.1	Brazil	2015-11-30	2015.9123287671232	0.014688524247436873	4.916162500956823E-4
ZBRD107	Brazil	2015-09-09	2015.6876712328767	0.01288252424743687	-0.001131951793075887
ZBRC301	Brazil	2015-05-13	2015.3616438356164	0.013342524247436873	-4.0720297767837636E-4
ZBRC18	Brazil	2016-01-06	2016.0136612021859	0.013937524247436871	-3.416702153045247E-4
ZBRD103	Brazil	2015-08-20	2015.6328767123289	0.013384524247436873	-5.854561938496271E-4
ZBRC319	Brazil	2016-07-10	2016.5218579234972	0.013016524247436873	-0.001675348662228576
ZBRC302	Brazil	2015-05-13	2015.3616438356164	0.013363524247436873	-3.862029776783762E-4
KY317937.1	Colombia	2016-01-07	2016.016393442623	0.014175524247436873	-1.0588891663207249E-4
KU647676.1	Martinique	2015-12	2015.9567351598175	0.01388152424743687	-3.5144372511104575E-4
MTQ_2016_FL-001-SAL	Martinique	2016-03-22	2016.22131147541	0.014132524247436872	-3.152915161983138E-4
COL_2016_SU-1856A-SER	Colombia	2016-04-28	2016.3224043715848	0.013612524247436872	-9.173834653174364E-4
COL_2016_SU-2293A-SER	Colombia	2016-06-09	2016.4371584699454	0.01447152424743687	-1.515689210745321E-4
COL_2016_SU-1810A-SER	Colombia	2016-04-06	2016.2622950819673	0.01407952424743687	-4.0157203611156274E-4
COL_2016_SU-2724A-SER	Colombia	2016-04-05	2016.25956284153	0.01407952424743687	-3.9935333478379083E-4
DOM_2016_BB-0127-SER	Dominican_Republic	2016-04-11	2016.275956284153	0.013882524247436872	-6.096655427490893E-4
KY317938.1	Colombia	2016-01-10	2016.0245901639344	0.01361052424743687	-6.775450206147251E-4
KY317940.1	Colombia	2016-01-09	2016.0218579234972	0.01418952424743687	-9.632631928717557E-5
KU820897.5	Colombia	2015-12	2015.9567351598175	0.01429452424743687	6.155627488895442E-5
KY317936.1	Colombia	2016-01-16	2016.0409836065573	0.014084524247436872	-2.1685722858002209E-4
KY317939.1	Colombia	2016-01-06	2016.0136612021859	0.013793524247436873	-4.85670215304523E-4
ZBRX14	Brazil	2016-04-24	2016.311475409836	0.013913524247436871	-6.075086600072378E-4
ZBRX15	Brazil	2016-04-24	2016.311475409836	0.013400524247436872	-0.0011205086600072373
BRA_2016_FC-DQ62D1-PLA	Brazil	2016-03-30	2016.2431693989072	0.01481752424743687	3.519588731812854E-4
BRA_2016_FC-DQ62D2-URI	Brazil	2016-04-06	2016.2622950819673	0.014607524247436872	1.2642796388843795E-4
