replicate	num_mutations
sim_000	917
sim_001	1021
sim_002	1067
sim_003	1084
sim_004	989
sim_005	981
sim_006	737
sim_007	1018
sim_008	1044
sim_009	787
sim_010	1044
sim_011	1001
sim_012	989
sim_013	936
sim_014	933
sim_015	964
sim_016	973
sim_017	996
sim_018	939
sim_019	795
sim_020	868
sim_021	1096
sim_022	1064
sim_023	771
sim_024	1017
sim_025	874
sim_026	1059
sim_027	786
sim_028	1085
sim_029	845
sim_030	769
sim_031	1014
sim_032	1020
sim_033	892
sim_034	1125
sim_035	706
sim_036	885
sim_037	1061
sim_038	952
sim_039	677
sim_040	903
sim_041	874
sim_042	982
sim_043	781
sim_044	765
sim_045	768
sim_046	792
sim_047	962
sim_048	936
sim_049	1015
sim_050	729
sim_051	1048
sim_052	931
sim_053	893
sim_054	1138
sim_055	860
sim_056	949
sim_057	840
sim_058	978
sim_059	1074
sim_060	1051
sim_061	904
sim_062	1068
sim_063	835
sim_064	944
sim_065	1120
sim_066	839
sim_067	989
sim_068	1041
sim_069	814
sim_070	771
sim_071	775
sim_072	836
sim_073	1170
sim_074	821
sim_075	1089
sim_076	902
sim_077	881
sim_078	1064
sim_079	992
sim_080	1018
sim_081	1047
sim_082	1094
sim_083	1001
sim_084	998
sim_085	1010
sim_086	961
sim_087	991
sim_088	988
sim_089	862
sim_090	1142
sim_091	754
sim_092	903
sim_093	968
sim_094	1145
sim_095	1159
sim_096	972
sim_097	817
sim_098	1217
sim_099	1262
sim_100	1144
sim_101	881
sim_102	889
sim_103	1220
sim_104	967
sim_105	814
sim_106	724
sim_107	997
sim_108	1272
sim_109	1151
sim_110	1209
sim_111	727
sim_112	1010
sim_113	757
sim_114	887
sim_115	1239
sim_116	1248
sim_117	916
sim_118	979
sim_119	948
sim_120	907
sim_121	937
sim_122	876
sim_123	782
sim_124	1128
sim_125	811
sim_126	974
sim_127	908
sim_128	827
sim_129	887
sim_130	874
sim_131	1149
sim_132	701
sim_133	983
sim_134	853
sim_135	721
sim_136	949
sim_137	937
sim_138	990
sim_139	827
sim_140	986
sim_141	962
sim_142	1040
sim_143	1112
sim_144	1168
sim_145	1527
sim_146	579
sim_147	696
sim_148	722
sim_149	938
sim_150	1028
sim_151	781
sim_152	874
sim_153	955
sim_154	761
sim_155	1151
sim_156	774
sim_157	934
sim_158	873
sim_159	1002
sim_160	869
sim_161	921
sim_162	816
sim_163	1154
sim_164	661
sim_165	897
sim_166	764
sim_167	995
sim_168	937
sim_169	656
sim_170	890
sim_171	769
sim_172	675
sim_173	1077
sim_174	713
sim_175	764
sim_176	1132
sim_177	771
sim_178	978
sim_179	939
sim_180	955
sim_181	923
sim_182	929
sim_183	1222
sim_184	896
sim_185	872
sim_186	1546
sim_187	962
sim_188	704
sim_189	854
sim_190	765
sim_191	853
sim_192	803
sim_193	860
sim_194	917
sim_195	915
sim_196	902
sim_197	1005
sim_198	1150
sim_199	763
