item                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                   -25284.4 1.039969 22.52650 -25283.0 -25327.4 -25240.5 298430.4 469.1881 NaN     
prior                   -715.633 1.077438 20.84175 -714.231 -757.466 -677.759 374201.6 374.1832 NaN     
likelihood              -24568.8 0.182114 12.37901 -24568.3 -24593.6 -24545.0 30304.44 4620.444 NaN     
rootHeight              3.309117 0.012415 0.324417 3.267014 2.710187 3.937048 205064.3 682.8099 3.293766
age(root)               2013.469 0.012415 0.324417 2013.511 2012.841 2014.068 205064.4 682.8098 2013.469
treeLength              139.9840 0.777912 14.80680 138.1372 114.2234 168.4770 386480.5 362.2950 139.2376
exponential.popSize     184.0638 1.82294  58.75724 174.6522 88.48628 303.5712 134775.8 1038.909 175.5501
exponential.growthRate  1.557268 0.003703 0.192109 1.55493  1.191035 1.931859 52027.79 2691.253 1.545278
kappa                   17.70719 0.020315 1.699801 17.59441 14.54131 21.03112 20000    7001     17.62649
frequencies1            0.263434 4.88E-5  0.004082 0.26344  0.25558  0.271314 20000    7001     0.263403
frequencies2            0.229832 4.7E-5   0.003933 0.229807 0.222302 0.237828 20000    7001     0.229799
frequencies3            0.280001 5.05E-5  0.004223 0.279979 0.271763 0.288302 20000    7001     0.27997 
frequencies4            0.226732 5.14E-5  0.00396  0.226657 0.219065 0.234427 23568.92 5940.873 0.226697
alpha                   0.060525 0.000427 0.034943 0.059179 0.002791 0.119425 20923.16 6692.103 0.047214
clock.rate              0.000969 5.04E-6  0.000102 0.000971 0.000776 0.00117  342682.2 408.6000 0.000964
meanRate                0.000969 5.04E-6  0.000102 0.000971 0.000776 0.00117  342682.2 408.6000 0.000964
age(KU527068.1|2015)    1.086424 0.003427 0.214136 1.053473 0.7787   1.49725  35870.62 3903.473 1.066456
age(KU647676.1|2015-12) 0.820422 0.000292 0.024426 0.819868 0.779236 0.859459 20000    7001     0.820059
age(KU820897.5|2015-12) 0.817772 0.000291 0.024336 0.815884 0.77876  0.858185 20000    7001     0.817411
age(KX101060.1|2015-05) 1.410245 0.000291 0.024317 1.411686 1.370482 1.449841 20000    7001     1.410035
age(KX101061.1|2015-05) 1.402    0.000291 0.024185 1.399465 1.365026 1.443934 20244.63 6916.398 1.401792
age(KX101066.1|2015-05) 1.407415 0.000297 0.024585 1.407447 1.365615 1.44622  20384.74 6868.861 1.407201
age(KX280026.1|2015)    1.207896 0.003213 0.258124 1.185526 0.778754 1.666556 21693.98 6454.322 1.180429
treeLikelihood          -24568.8 0.182114 12.37901 -24568.3 -24593.6 -24545.0 30304.44 4620.444 NaN     
branchRates             0        0        0        0        0        0        NaN      NaN      NaN     
coalescent              -702.895 1.06868  20.67564 -701.486 -744.014 -665.198 374082.2 374.3027 NaN     
