item                   mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                  -26481.1 0.441864 24.16574 -26480.5 -26529.2 -26434.6 23404.87 2991.042 NaN     
prior                  113.7613 0.453046 24.58028 114.1579 65.79354 161.5297 23781.49 2943.675 110.8428
likelihood             -26594.8 0.045243 5.099814 -26594.6 -26604.9 -26585.1 5509.635 12705.92 NaN     
rootHeight             0.293852 0.000303 0.026879 0.287928 0.256356 0.345347 8909.934 7856.959 0.292726
age(root)              2014.166 0.000303 0.026878 2014.172 2014.114 2014.203 8905.123 7861.204 2014.166
treeLength             1.404578 0.004455 0.249624 1.370333 0.975909 1.899592 22292.64 3140.272 1.383898
exponential.popSize    0.116294 0.000815 0.048156 0.10721  0.041664 0.210704 20074.95 3487.181 0.107729
exponential.growthRate 5.403634 0.038363 3.63906  5.212373 -1.64494 12.47825 7779.812 8998.288 NaN     
kappa                  9.267508 0.027647 3.271394 8.675757 4.003467 15.59980 5000     14001    8.76508 
frequencies1           0.31917  2.85E-5  0.003373 0.319153 0.312728 0.325914 5000     14001    0.319152
frequencies2           0.214021 2.55E-5  0.002937 0.214033 0.208449 0.219821 5257.875 13314.31 0.214001
frequencies3           0.198074 2.41E-5  0.002851 0.198043 0.192395 0.203478 5000     14001    0.198053
frequencies4           0.268736 2.73E-5  0.003204 0.268738 0.26248  0.275123 5091.653 13748.97 0.268717
clock.rate             0.002171 6.92E-6  0.000466 0.002134 0.001308 0.003108 15436.90 4534.912 0.002122
meanRate               0.002171 6.92E-6  0.000466 0.002134 0.001308 0.003108 15436.90 4534.912 0.002122
treeLikelihood         -26594.8 0.045243 5.099814 -26594.6 -26604.9 -26585.1 5509.635 12705.92 NaN     
branchRates            0        0        0        0        0        0        NaN      NaN      NaN     
coalescent             117.8262 0.446161 24.23126 118.2580 70.04706 164.4656 23733.43 2949.636 115.1138
